pis,start,end,amount,agency,relationship,id,title,abstract,start-year,end-year
Ralph Archuleta,2/1/08,1/31/12,"$43,000 ",University of Southern California,Institutes of higher education,120044,SCEC3: Rupture Nucleation and the Evolution of dc,This is a continuation of prior research goals as follows: 1) to complete our work on the effect of heterogeneities on nucleation and 2) to focus on dynamic ruptures where the effect of heterogeneous strength and stress fields are analyzed in terms of the rupture velocity and slip rate functions that they produce. The first objective will allow us to examine how fracture energy scales as the rupture initially grows. At some point the relevant length scales are likely to come from the correlation lengths found in the strength/stress fields. Exactly how the heterogeneity affects the friction law seems to follow the predictions of Campillo et al. (2001) but this still has be examined further. Once a rupture is propagating the correlation lengths of the strength/stress fields looks to be of primary importance. We have already shown that if the fields are strongly correlated the rupture velocity can range from sub- to super-shear. Whereas if the fields are weakly correlated the rupture velocity is generally limited to sub-shear. The dynamics of the rupture from initiation through completion forms the basis for earthquake physics. Phenomena from earthquake scaling spontaneous triggering crack behavior versus pulse-like to ground motion prediction depend fundamentally on what happens during the spontaneous propagation of a frictional shear fracture. It is only recently that we have had the tools and the computational power to explore the fundamentals of the earthquake process. However we cannot model the stress heterogeneity on all scales. Thus we must determine an “effective” friction law that accounts for the stress heterogeneity at scales smaller than what can be modeled. Using this effective friction we will explore its consequences on the dynamics of a propagating rupture.,2008,2012
Ralph Archuleta,2/1/09,1/31/12,"$30,000 ",University of Southern California,Institutes of higher education,120044,SCEC3 Participations: Validation of High Frequency Ground Motion Simulations on the SCEC Broadband Platform,Task 1. Set up validation of the 1994 Northridge earthquake We validated our simulation methods for the 1994 Northridge earthquake before the Platform was developed. In this task we will set up the validation of our high frequency simulation method for the 1994 Northridge earthquake on the Platform using our simulation method. The Platform will be set up so that other investigators can repeat the validation exercises of these earthquakes on the Platform. URS will provide the following data and metadata: rupture models derived using 3D velocity models lists of recording stations and their Vs30 values and generic 1D velocity models. Task 2. Set up validation of the 1989 Loma Prieta and 1992 Landers earthquakes We will set up the validation of our high frequency simulation method for the 1989 Loma Prieta and 1992 Landers earthquakes on the Platform. The Platform will be set up so that other investigators can repeat the validation exercises of these earthquakes on the Platform. URS will provide the following data and metadata: rupture models derived using 3D velocity models lists of recording stations and their Vs30 values and generic 1D velocity models. Task 3. Implement improvements to the broadband simulation procedures that have been made since the initial installation of the Broadband Platform Improvements to the broadband simulation procedures have been made to the procedures that were initially installed on the platform. The improved simulation procedures will be implemented on the Broadband Platform. Task 4. Separation of ground motion simulation and site response simulation into separate modules in the Broadband Platform Currently the strong motion simulation codes incorporate site response in the same module. The site response component needs to placed into a separate module so that the user of the platform can select from alternative site response modules. In due course additional site response modules from other SCEC investigators such as Assimaki will be added to the platform but they will not be usable with the broadband simulation methods until this separation is made. Task 5. Verification of methods for measuring goodness of fit for validation of simulations on the Broadband Platform Validation of strong motion simulation procedures against strong motion recordings requires measures of goodness of fit. The purpose of this task is to install and test a comprehensive suite of measures of goodness of fit on the platform to allow the user of the platform to select and use implement their preferred measures in the course of validation exercises. SDSU will take the lead (in a separate contract) in developing these modules for the Platform and UCSB and URS will review and test the modules.,2009,2012
Ralph Archuleta,2/1/07,1/31/12,"$8,000 ",University of Southern California,Institutes of higher education,120044,A Collaborative Project: Rupture Dynamics Validation of the Numerical Simulation Method,In 2011 we plan to visit heterogeneous initial stress conditions on a planar vertical fault TPV18. With classic benchmark TPV5 we have already addressed light stress heterogeneity on a vertical strike-slip fault but it was so light as to be almost homogeneous. Instead we wish to address the true variability that is envisioned for most faults by earthquake geologists and seismologists. Many members of our SCEC code community participated in a PGE/SCEC workshop in May 2010 where different approaches to assigning heterogeneous initial stress conditions were presented and discussed. Subsequently a hybrid method has been developed and implemented to assign heterogeneous initial conditions in the limited-PI PGE/SCEC dipping-fault 100-runs project. It is now time that we investigate this heterogeneity topic as an open group exercise. TPV18 is proposed to be an implementation of the a hybrid method but on a vertical strike-slip fault. It is also hoped that TPV18 will help address some interesting issues that have arisen in the 100-runs project whereby the near-surface results produced by the three assigned codes although matching well at some of the synthetic ground motion stations do not match as perfectly as we had originally hoped for the dipping-fault scenario. By having our entire code group tackle a related benchmark on a vertical fault we hope that we can solve this problem and move forward with future heterogeneous initial conditions research and implementation. UCSB will work on only this problem within the Collaborative Project.,2007,2012
Ralph Archuleta Jamison Steidl,2/1/07,1/31/12,"$135,000 ",University of Southern California,Institutes of higher education,120044,SCEC3 Participation: SCEC Borehole Instrumentation Center,The SCEC borehole program continues to be a collaborative effort between SCEC and other agencies to maintain the existing network of borehole stations in California and to facilitate the integration of this data into CISN and the SCEC data center. The borehole program is highly leveraged taking advantage of the resources of other programs and agencies that are active in monitoring southern California earthquake activity. This data is made available online to the public and research community. The SCEC borehole data gathering effort is contributing to the overall scientific goals of the SCEC collaboratory. For example the borehole data available online at the SCEDC and at IRIS from the SCEC/PBO stations in the Anza region are providing a unique new high-resolution data set for analysis of earthquake source parameters (Priority A4) as well as providing observations of non-volcanic tremor induced events in the region following large regional and very large global earthquakes. In addition the borehole instrumentation is critical to improving our understanding of nonlinear effects and to developing methodologies to include these effects into ground motion simulations (Priority B4 B5). As has been the case for many years joint monitoring efforts continue between SCEC and the US Geological Survey and Caltech through ANSS NSMP and CISN and the California Geological Survey to maintain the existing network of borehole stations. Other collaborators include the NSF funded NEES and HPWREN programs as well as a newly funded NSF project to look at the San Jacinto Fault zone including the installation of additional borehole sensors. In 2011 SCEC borehole stations will continue to be upgraded along with the CISN network stations in southern California. This includes migration to new datalogger technology and the upgrade of surface sensors. As the SCEC borehole stations come up on the schedule for network wide upgrades we will continue to work with the SCSN field technicians during the upgrade process. The SCEC borehole program will also continue the collaboration with the NEES program (Priority B6) through processing and data dissemination of the SCEC borehole data; the SCEC/EarthScope Plate Boundary Observatory borehole strainmeter program that includes both weak- and strong-motion seismic monitoring in the Anza region; and the strong-motion borehole sensors being installed as part of a new NSF funded study of the San Jacinto fault zone.,2007,2012
Ralph Archuleta Dylan Rood,2/1/07,1/31/12,"$20,053 ",University of Southern California,Institutes of higher education,120044,Evolution of Precariously Balanced Rocks in the Mojave Desert:Constraints on San Andreas Fault Rupture and Hazard Models,The primary goal of this study is to constrain the evolution (timing and formation rate) and comparative geomorphic development of precariously balanced rocks (PBRs) at two well- characterized but contrasting sites in the Mojave Desert: one in a region of low seismicity (Granite Pediment) and another (Lovejoy Buttes) with high hazard from numerous large (~M7.5) San Andreas fault (SAF) ruptures. Results from PBRs (ages and fragilities) will directly test seismicity models ground motion prediction equations and hazard estimates associated with the 2008 USGS National Seismic Hazard Maps (NSHM) and Cybershake. Detailed work will be conducted in one catchment at each site. Morphometric characteristics of each catchment (e.g. area slope hypsometry channel steepness) will be analyzed using a digital elevation model (DEM) constructed using ground-based LiDAR and differential-GPS survey data (with collaborator B. Bookhagen). 10Be stream sediment samples will allow us to estimate the average denudation rate in each basin where PBRs were exhumed. Saprolite will be sampled near a PBR in each catchment to address the site-specific denudation rate. Detailed profiles will be collected from a total of 5 additional PBRs (3 rocks from Granite Pediment and 2 additional rocks from Lovejoy Buttes) in order to address the timing of PBR exhumation (with collaborator G. Balco). At Granite Pediment a 10Be sample from a slowly eroding bedrock exposure on the pediment surface will be used to estimate the grain-by-grain rock erosion rate. Our goal is to compile new and existing shape models tipping test 10Be data and VML limiting ages for the Mojave Desert PBRs. We will systematically compare results from (1) 2-D alpha and 3-D overturning probability estimates from shape models with quasi-static toppling accelerations and alpha calculations from force-inclination (tipping) tests and (2) model 10Be exposure ages with minimum VML ages.,2007,2012
Ralph Archuleta,2/1/07,1/31/12,"$24,000 ",University of Southern California,Institutes of higher education,120044,Rupture Dynamics on Sulti-Segment Faults,The basic goals of this research are as following: 1) Calculate multiple earthquake scenarios on a multi-segment fault to understand how the absolute initial stress conditions influence the rupture behavior and the resulting ground motion. Assigning absolute stress values in the dynamic rupture calculations is controversial. For example with constant static and dynamic coefficients of friction one would expect the stress drop to increase with depth if σN increases with depth —as would be expected because of the lithostatic overburden. However estimates of stress drop show no clear evidence of increasing with depth. We can have nearly constant shear stress as well as stress drop out of uniform normal stress σN. However with increasing normal stress σN along depth we tend to get depth dependent stress drops (Dalguer and Mai 2010). Previous research (Shearer et al 2006 Allmann and Shearer 2007 Hardebeck 2009) shows that the median stress drop tends to be depth independent for depths as much as 15 km. An approach taken by Aagaard and Heaton (2001) reconciles the depth dependent normal stress and depth independent stress drop by making the friction coefficient depth dependent. Rice (1992) proposed making the effective normal stress constant by allowing the pore pressure to increase linearly with depth. It is likely that the configuration of the initial stress conditions has a pronounced effect on allowing the jump from one fault to another. Both a depth dependent and a depth independent initial stress will be considered. Of course in both cases the stress will be overprinted stress heterogeneity (Lavallée et al 2006). 2) Investigate the geometrical conditions (degree of overlapping and step over between adjacent segments) under which a cascading earthquake can occur. Whether an earthquake will be limited to a single fault or will jump over physical boundaries between faults makes a significant difference in the seismic moment and ground motion. To give a more reliable estimate of seismic hazard in areas with multi-segmented faults we will focus on two parameters: separation distance and overlapping distance between the adjacent fault segments. We will systematically alter these two parameters to quantify the conditions when a rupture jumps from one segment to another. 3) Study the velocity strengthening layer its depth and its implementation. In rupture dynamics as well as rock physics studies it is well known that the friction on the fault plane is slip rate dependent (e.g. Dieterich 1979). Based on laboratory experiments (Blanpied et al. 1991) the upper 3-4 km of the crust would show velocity strengthening. In this zone the friction increases with the slip rate and thus would inhibit slip (Scholz 1998). Earthquakes such as Morgan Hill Loma Prieta Tottori Parkfield are events with M > 6 but with no obvious co- seismic slip at the surface. There are different ways to mimic the friction in the velocity strengthening zone when using a slip weakening friction law. For example one can make the critical distance dc infinite in the zone (e.g. Day and Ely 2002) increase dynamic friction 1coefficient to static coefficient level (e.g. Barall et al 2010) or make the dynamic friction coefficient velocity dependent (e.g. Aagaard et al 2004). We will test each of these implementations.,2007,2012
Ralph Archuleta,2/1/07,1/31/12,"$24,000 ",University of Southern California,Institutes of higher education,120044,Stress Drop and Source Description for Earthquakes 4 M 5.5 in Southern California,Systematic evaluation of stress drops for the approximately 65 earthquakes 4.0 < M < 5.5 recorded at BVDA. We will use the BVDA data and the data from the SCEC deployment that coincide with events recorded at BVDA. In doing this we will determine Q(f). We will also try to determine site amplification factors for the SCEC portable stations; we will back out the amplification using BVDA data or by using representative shallow velocity structure measured in Imperial Valley. We will compare stress drops of the aftershocks with those on the San Jacinto to see i) if the same spatial distribution exists as found by Shearer et al. (2006) and ii) if stress drops for 4.0 < M < 5.5 have the same median and variation found for events in other magnitude ranges. We will use the spatial variation of the stress on the northern end (Paso Superior fault) as a proxy for the slip in a finite fault simulation (Schmedes et al. 2010). Our intent is to use an empirical Green’s function approach (Archuleta et al. 2003) to simulate the mainshock ground motion at BVDA. Simulations of the mainshock by Graves and Aagaard (2010) show that the radiated waves are strongly refracted by the velocity structure causing focusing in the region near BVDA as opposed to the expected strong directivity along strike. This may explain why the spectrum of the El Mayor mainshock at BVDA is amplified and its corner frequency much higher than expected.,2007,2012
Jean Carlson Ralph Archuleta,2/1/09,1/31/12,"$25,000 ",University of Southern California,Institutes of higher education,120044,SCEC3 Participation: Shear Strain Localization in Dynamic Earthquake Rupture: Shear Heating Dynamic Weakening and Slip Below the Seismogenic Zone,This project will accomplish the following tasks: Constitutive Laws and Thermal Heating Determine how frictional dissipation during seismic slip is distributed between configurational entropy and thermal heating Add thermal weakening mechanisms to STZ Theory to determine how localization and thermal heating in concert influence rupture propagation Slip Below the Seismogenic Zone Extend models of earthquake slip to include dynamic formation of shear bands in a rate strengthening region below the seismogenic zone Study discrete block-slider models that represent distinct rheological layers in the crust by blocks connected by springs Model slip in the lower crust using spontaneous elastodynamic ruptures with constitutive parameters that transition from rate weakening to rate strengthening continuously Determine the contribution of the lower crust to the overall slip in earthquake rupture,2009,2012
Jean Carlson,2/1/07,1/31/12,"$22,000 ",University of Southern California,Institutes of higher education,120044,SCEC3 Participation: Dynamic Fault Weakening due to Shear Strain Localization: Constitutive Laws Rupture Dynamics and Ground Motion,This project addresses uncertainty in the inverse earthquake problem. Using methods from robust control theory [Dullerus and Paganini 2005] this project develops bounds on source characteristics by defining and solving a series of optimization problems which maximize the information extracted from seismic inversions and determine which features are well-constrained by the data. Quantifying uncertainty in kinematic inversions is necessary in order to interpret the variability and features seen in source models. While kinematic inversions provide direct images of the seismic source the robust features of these images are not well known. A thorough treatment of the consequences of uncertain models and statistical correlations in seismic inversions is necessary in order to characterize the inherent variability of the seismic process. This work fits SCEC3 objectives A4 A10 and B1. Objective A4 calls for statistical analysis and mapping of source parameters with an emphasis on their relation to known faults. Our project focuses on better understanding the statistical correlations between possible models of slip (and therefore stress change) on the Parkfield segment of the San Andreas fault. Also Objective A10 describes the development of statistical descriptions of heterogeneities over multiple earthquake cycles. Indeed the Parkfield segment is ideal for studying the earthquake cycle as data from multiple moderately sized earthquakes have been recorded there. It is necessary to know the error in inversion methods in order to determine to what extent the Parkfield earthquake are “characteristic”. Finally Objective B1 asks for the development of kinematic rupture scenarios consistent with observations. Our project seeks to better describe this large solution space that is consistent with observations (as opposed to selecting only a few arbitrary models from this space).,2007,2012
Jean Carlson Ralph Archuleta Jim Langer,2/1/07,1/31/12,"$21,000 ",University of Southern California,Institutes of higher education,120044,Multi-Statistical Theories for Frictional Weakening and Variability in Earthquakes,This project will accomplish the following tasks: Extension of STZ constitutive laws describing plasticity to include additional geophysical mechanisms for dissipation such as material evolution and wear. Inclusion of a broad spectrum of trapping energies and transition rates in STZ theory to capture inherent variability arising from the broad range of grain sizes in fault gouge. Resolution of dynamics which arise from these constitutive laws to obtain predictive results for dissipation and fracture from laboratory to tectonic scales. Analysis of energy balance and thermal heating during large earthquakes based on general thermodynamic principles as well as specific information regarding the materials and failure mechanisms that occur in faults.,2007,2012
Chen Ji,2/1/07,1/31/12,"$70,000 ",University of Southern California,Institutes of higher education,120044,SCEC3 Participation: Finite fault parameterization of intermediate and large earthquakes in Southern California,With the support of SCEC we will implement the quick finite fault software package which is currently used to monitor the global large earthquakes to routinely study finite fault parameters of the intermediate and large earthquakes in the California. In the year 2008 it includes following four tasks: Modify the data processing programs to use realtime data flow from the SCEC STP data server. Construct the GreenÕs function banks for 1D smooth SoCal model and lookup tables for each CISN station which stores the differential P and S time between the 1D SoCal model and the 3D Hauksson Model. Modify the finite fault inverse method to include frequency dependent 3D “timeshift” and “AAF” (amplitude amplification factor) corrections e.g. Tan and Helmberger [2007]. Revisit two events 1999 Mw 7.1 Hector Mine and 2003 Big Bear earthquakes to benchmark the system.,2007,2012
