pis,start,end,amount,agency,relationship,id,title,funded,start-year,end-year
Stevenson,9/1/19,8/31/22,"$758,495 ",National Oceanic and Atmospheric Administration,Federal agencies,20190618,Tropical Instability Waves and the Future of the El Niño/Southern Oscillation,n,2019,2022
"Knapp, Smith",5/1/19,4/30/20,"$40,000 ",National Park Service,Federal agencies,20191115,Restoring rare frogs in Yosemite National Park,n,2019,2020
Clarke,1/1/15,12/31/17,"$75,567 ",National Science Foundation,Federal agencies,20150042,Collaborative Research: Dynamic Response of the Soil Production Function to Erosion Rates,n,2015,2017
Cottle,1/1/16,12/31/18,"$51,670 ",National Science Foundation,Federal agencies,20151423,"Collaborative Research: A Plutonic Record of Generation, Storage, and Eruption of Rhyolitic Magma",n,2016,2018
"Cottle, Shea",7/1/15,6/30/18,"$374,545 ",National Science Foundation,Federal agencies,20150692,Identification and Characterization of Cryptic Discontinuities in the Himalayan Metamorphic Core,n,2015,2018
DeVries,9/1/15,8/31/18,"$360,195 ",National Science Foundation,Federal agencies,20150919,Collaborative Research: The effects of variable stoichiometry and remineralization depth on the biological pump,n,2015,2018
Dozier,9/1/15,8/31/17,"$196,826 ",National Science Foundation,Federal agencies,20150965,CyberSEES Type 1: Collaborative Research: Inductive Methods for Sustainable Snowpack Estimation at Multiple Scales,n,2015,2017
Jackson,2/1/15,1/31/17,"$267,156 ",National Science Foundation,Federal agencies,20150156,"Collaborative Research: The ""Missing"" Rarotonga hotspot: Implications for Global Intra-Plate Volcanic Processes",n,2015,2017
Jackson,7/1/15,6/30/18,"$266,783 ",National Science Foundation,Federal agencies,20150735,The early Iceland hotspot: clues to the origin of the highest 3He/4He mantle domain,n,2015,2018
Jackson,1/1/16,12/31/18,"$297,747 ",National Science Foundation,Federal agencies,20151457,Investigating the implications of heterogeneous Sr-isotopes in olivines from Samoan lavas,n,2016,2018
Matoza,3/1/16,2/28/19,"$142,211 ",National Science Foundation,Federal agencies,20151324,Collaborative Research: Investigating the sound generation and correlated fluid dynamics of explosive volcanic jet flows,n,2016,2019
"Michaelides, Singer",4/1/15,3/31/18,"$290,695 ",National Science Foundation,Federal agencies,20150037,Collaborative Research: Reconciling storm-driven dynamics of hillslope sediment supply with rates of landscape evolution in dryland basins,n,2015,2018
Rioux,1/1/15,12/31/17,"$98,255 ",National Science Foundation,Federal agencies,20150107,Collaborative Research: Focused Study of Aleutian Plutons and their Host Rocks: Understanding the building blocks of continental crust,n,2015,2017
"Romero, Ohlmann",2/1/15,1/31/18,"$768,015 ",National Science Foundation,Federal agencies,20150189,Lagrangian analyses of Inner Shelf Circulation: Observations and Numerical Simulations,n,2015,2018
Schimel,9/1/15,8/31/16,$0 ,National Science Foundation,Federal agencies,20150849,Preliminary Proposal: The Fate of Root Carbon in Grasslands,n,2015,2016
Schimel,1/1/16,12/31/18,"$320,878 ",National Science Foundation,Federal agencies,20150416,Collaborative Research: Predicting the future of High Arctic tundra N-C interactions to climate feedbacks by coupling long-term experiments and modeling,n,2016,2018
Siegel,5/1/16,4/30/19,"$199,311 ",National Science Foundation,Federal agencies,20150920,RUI: Collaborative Research: Resolving spatial and temporal patterns of demographic connectivity and its drivers in open-coast marine systems using a multidisciplinary approach,n,2016,2019
Simms,1/1/16,12/31/17,"$183,680 ",National Science Foundation,Federal agencies,20150751,The Role of Valley Morphology on Bayhead Delta Evolution,n,2016,2017
Simms,8/1/16,7/31/18,"$205,169 ",National Science Foundation,Federal agencies,20151174,Collaborative Research: Using Optically Stimulated Luminescence to Determine the age of Pre-Last Glacial Maximum Beaches in Antarctica,n,2016,2018
Singer,3/1/16,2/28/19,"$352,589 ",National Science Foundation,Federal agencies,20151377,Collaborative Research: Impacts of Dynamic Climate-Driven Water Availability on Tree Water use within Mediterranean Riparian Forests,n,2016,2019
Sorlien,1/1/16,12/31/18,"$107,288 ",National Science Foundation,Federal agencies,20150730,"Collaborative Research: The growth of a continental transform by coupled translation and rotation above a fossil subduction megathrust, Central California margin",n,2016,2018
Tanimoto,1/1/15,12/31/17,"$329,910 ",National Science Foundation,Federal agencies,20150267,New Perspectives on Tropical Cyclones from Seismic Data,n,2015,2017
Cottle,7/1/16,6/30/19,"$53,056 ",National Science Foundation,Federal agencies,20160400,Collaborative Research: Integrated monazite and garnet geochronology in the Moine Supergroup: Timing constraints on PT evolution of the Caledonides in northern Scotland,n,2016,2019
DeVries,7/1/16,6/30/19,"$611,337 ",National Science Foundation,Federal agencies,20160162,Collaborative Research: Constraining the marine iron cycle with multiple tracers in a global inverse model,n,2016,2019
DeVries,9/1/16,8/31/19,"$374,550 ",National Science Foundation,Federal agencies,20160878,Collaborative Research: The variation of marine organic matter stoichiometry and its role in the ocean's biological carbon pump,n,2016,2019
Dozier,9/1/16,8/31/19,"$324,490 ",National Science Foundation,Federal agencies,20160841,BIGDATA: Collaborative Research: IA: Machine Learning Innovations to Estimate Snow Water Equivalent from Satellite and Airborne Imagery,n,2016,2019
Jackson,9/1/16,8/31/18,"$270,713 ",National Science Foundation,Federal agencies,20160158,Collaborative Research: Geodynamic Implications of Two Long-Lived Mantle Anomalies: Tracing the Rurutu and Samoa Hotspots up to 120 Ma,n,2016,2018
Jackson,8/1/16,7/31/19,"$311,845 ",National Science Foundation,Federal agencies,20160159,Collaborative Research:  A multidisciplinary study of mantle plume - subduction interactions:   a case study of the Samoa plume - Tonga arc system,n,2016,2019
Jackson,7/1/16,6/30/19,"$299,959 ",National Science Foundation,Federal agencies,20160869,Highly heterogeneous 87Sr/86Sr in melt inclusions from hotspot lavas: A role for assimilation of altered oceanic crust?,n,2016,2019
Ji,1/1/17,12/31/18,"$221,231 ",National Science Foundation,Federal agencies,20161317,Robust estimations of rupture dimension and stress drop of large intermediate depth earthquakes,n,2017,2018
"Jones, Carvalho",6/1/16,5/31/19,"$591,231 ",National Science Foundation,Federal agencies,20160430,The dynamics of the South American low-level jet and global warming,n,2016,2019
Kendall,7/1/16,6/30/17,$0 ,National Science Foundation,Federal agencies,20160765,Preliminary Proposal: Collaborative Research: Genetics meets demography: Studying eco-evolutionary feedbacks with integral projection models,n,2016,2017
MacIntyre,11/1/16,10/31/21,"$1,013,777 ",National Science Foundation,Federal agencies,20161017,"Collaborative Proposal: MSB-FRA: Mixing and ecological processes in lakes: Integrating measurements, theory, and modeling at regional scales",n,2016,2021
McCauley,3/1/17,2/29/20,"$287,636 ",National Science Foundation,Federal agencies,20160740,Collaborative Research: Deploying next-generation remote sensing technologies to understand collective risk avoidance in animal groups at multiple scales ,n,2017,2020
"McCauley, Manjunath",7/1/16,6/30/19,$0 ,National Science Foundation,Federal agencies,20160740,IOS Preliminary Proposal: Collaborative Research: Deploying next-generation remote sensing technologies to understand collective risk avoidance in animal groups at multiple scales,n,2016,2019
"Michaelides, Singer",7/1/16,6/30/19,"$197,648 ",National Science Foundation,Federal agencies,20160258,Collaborative Research: Reconciling storm-driven erosion dynamics with landscape evolution in overland flow-dominated dryland basins,n,2016,2019
Nidzieko,8/15/16,8/14/19,"$630,441 ",National Science Foundation,Federal agencies,20160879,Allometric scaling of mixing and transport in marine ecosystems,n,2016,2019
Simms,7/1/17,6/30/19,"$450,004 ",National Science Foundation,Federal agencies,20160876,NSFOCE-BSF: Do large-scale environmental events create similar parasequence boundaries that correlate across basins?,n,2017,2019
Simms,5/1/17,4/30/20,"$291,766 ",National Science Foundation,Federal agencies,20160953,Collaborative Research: The influence of valley morphology on bayhead delta evolution,n,2017,2020
Simms,10/1/16,9/30/19,"$279,119 ",National Science Foundation,Federal agencies,20161027,Collaborative Research: Co-Seismic Subsidence in Estuaries Outside of Subduction Zones,n,2016,2019
Simms,9/1/17,8/31/19,"$156,777 ",National Science Foundation,Federal agencies,20161212,Collaborative Research: Using Optically Stimulated Luminescence to Determine the age of Pre-Last Glacial Maximum Beaches in Antarctica,n,2017,2019
"Simons, Blanchette",7/1/16,6/30/19,"$443,785 ",National Science Foundation,Federal agencies,20160153,Linking Regional Connectivity and Climate Variability with Larval Delivery in the Coastal Ocean,n,2016,2019
Sorlien,11/1/16,10/31/17,"$65,438 ",National Science Foundation,Federal agencies,20161237,Seismic-stratigraphic and basin modeling evidence for repeated mid-Cenozoic glaciall erosion in a non-marine to shallow marine Ross Sea?,n,2016,2017
Tague,7/1/16,6/30/17,$0 ,National Science Foundation,Federal agencies,20160805,Preliminary Proposal: Using water potential of soils and plants as a unifying term to assess forest vulnerability to drought,n,2016,2017
Caylor,9/1/17,8/31/21,"$2,494,931 ",National Science Foundation,Federal agencies,20171038,"INFEWS/T3: Solutions to Understand Connectivity, Scaling, and Governance in Food-Energy-Water Systems",n,2017,2021
Ding,5/1/17,4/30/21,"$432,025 ",National Science Foundation,Federal agencies,20170324,Collaborative Research: PREEVENTS Track 2 - Sub-seasonal to seasonal (S2S) predictability of warm-season extreme precipitation events in the western and central U.S,n,2017,2021
Ding,1/1/18,12/31/20,"$341,590 ",National Science Foundation,Federal agencies,20171349,The role of tropical forcing in the recent expansion of Antarctic sea ice and Southern Ocean cooling,n,2018,2020
"Jones, Carvalho",6/1/17,5/31/20,"$635,114 ",National Science Foundation,Federal agencies,20170489,The Dynamics of the South American low-level jet and global warming,n,2017,2020
Keller,9/1/17,8/31/21,$0 ,National Science Foundation,Federal agencies,20170340,PIRE-PRISTINE: Pollution Remediation Integrated System Through Inorganic Nanomaterials and Enzymes,n,2017,2021
Keller,10/1/17,9/30/20,"$299,969 ",National Science Foundation,Federal agencies,20170417,Application of Metabolomics to Discover Novel Applications and Implications of Nanomaterials,n,2017,2020
MacIntyre,7/1/17,6/30/22,"$1,439,023 ",National Science Foundation,Federal agencies,20170411,"Collaborative Proposal: MSB-FRA: Mixing and ecological processes in lakes: Integrating measurements, theory and modeling at regional scales",n,2017,2022
Melack,6/1/17,8/31/17,"$11,385 ",National Science Foundation,Federal agencies,20170677,"LTREB Renewal-Collaborative Research: Responses of High Elevation, Acquatic Ecosystems to Interannual Climate Variability",n,2017,2017
Rioux,7/1/18,6/30/21,"$103,623 ",National Science Foundation,Federal agencies,20170950,Collaborative Research: 26 Million Years of Lithosphere Accretion at a Mid-Atlantic Ridge Segment,n,2018,2021
"Schimel, Slessarev",7/1/17,6/30/19,"$19,898 ",National Science Foundation,Federal agencies,20170416,DISSERTATION RESEARCH: Understanding geochemical controls on soil carbon stability across timescales,n,2017,2019
Seltmann,7/1/17,6/30/20,"$524,699 ",National Science Foundation,Federal agencies,20170278,Collaborative Research: ABI Development: Enabling Species Interaction Research Using Specimens and Observations (Associate!) ,n,2017,2020
Simons,7/1/17,6/30/20,"$262,386 ",National Science Foundation,Federal agencies,20170176,Collaborative Research: The influence of changing circulation on the vertical flux and composition of particulate matter to depth in the coastal zone,n,2017,2020
"Simons, Iglesias-Rodrig",9/1/17,8/30/20,"$467,090 ",National Science Foundation,Federal agencies,20170976,The role of circulation in the initiation and transport of phytoplankton blooms in an eastern boundary upwelling system,n,2017,2020
Tague,7/1/17,6/30/20,$0 ,National Science Foundation,Federal agencies,20170816,Preliminary Proposal: NSFDEB-BSF: Using water potential of soils and plants as a unifying term to assess forest vulnerability to drought,n,2017,2020
"Carvalho, Jones",1/1/19,1/1/22,"$1,331,771 ",National Science Foundation,Federal agencies,20180876,"Collaborative Research: Sundowner Winds Experiment in Santa Barbara, CA (SWEX)",n,2019,2022
"Ding, Jones",6/1/18,5/31/21,"$259,484 ",National Science Foundation,Federal agencies,20180469,Interdecadal Tropically-driven Bipolar Teleconnections in the Past Millennium,n,2018,2021
Hacker,7/15/18,7/14/20,"$181,302 ",National Science Foundation,Federal agencies,20180992,Title: Collaborative Research: How Does Lower Continental Crust Form? A Petrochronological Investigation of the Ivrea Zone,n,2018,2020
"Hacker, Rioux",9/1/18,8/31/20,"$194,646 ",National Science Foundation,Federal agencies,20181207,Collaborative Research: Did Mantle Magmas Cause  Ultrahigh-Temperature Metamorphism (UHTM) in Southern Madagascar?,n,2018,2020
Heilmayr,9/1/18,8/31/22,"$553,161 ",National Science Foundation,Federal agencies,20180848,Corporate envirnmental governance of oil palm supply chanes in Southeast Asia,n,2018,2022
Jackson,1/1/20,12/31/22,"$243,972 ",National Science Foundation,Federal agencies,20181005,Collaborative Research: Interactions between the Tonga-Lau subduction system and the Samoan plume,n,2020,2022
Jones,6/1/18,5/30/21,"$618,409 ",National Science Foundation,Federal agencies,20180428,"Multiscale Predictability of the Madden-Julian Oscillation, teleconnections and precipitation over the United States",n,2018,2021
"Ohlmann, Romero",1/1/18,12/31/21,"$752,215 ",National Science Foundation,Federal agencies,20180188,Quantifying submesoscale flow kinematics and vertical velocities in the open ocean,n,2018,2021
"Oono, Seltmann",1/1/19,12/31/23,"$1,504,668 ",National Science Foundation,Federal agencies,20181004,Dimensions: Host-specific adaptations as drivers of fungal endophyte diversty,n,2019,2023
"Perrone, Jasechko",1/1/19,12/31/21,"$678,844 ",National Science Foundation,Federal agencies,20180955,"Three-dimensional, continental-scale vulnerablility of groundwater well to declining groundwater levels and contaminants",n,2019,2021
Seltmann,4/1/17,3/31/21,"$686,765 ",National Science Foundation,Federal agencies,20180288,Collaborative Research: ABI Development: Enabling Species Interaction Research Using Specimens and Observations,n,2017,2021
"Seltmann, Wahlert",4/1/18,3/31/21,"$375,147 ",National Science Foundation,Federal agencies,20180178,CSBR: Natural History: Upgrading Infrastructure to Expand the Use of Cheadle Center’s (UCSB) Herbarium,n,2018,2021
Caylor,6/1/19,5/31/21,"$484,967 ",National Science Foundation,Federal agencies,20190246,Leveraging high-resolution satellite imagery to assess urban agriculture and household food security in Sub-Saharan Africa,n,2019,2021
"Caylor, Halpern, Krintz, Larsen, Tague",9/1/19,8/31/24,"$2,998,387 ",National Science Foundation,Federal agencies,20190735,NRT-HDR: Environmental Data Science Training for Applied Research (EDSTAR),n,2019,2024
DeVries,7/1/19,6/30/22,"$352,836 ",National Science Foundation,Federal agencies,20190204,Collaborative Research: What controls the marine refractory DOC reservoir?,n,2019,2022
"DeVries, Janowicz",7/1/19,6/30/22,"$329,024 ",National Science Foundation,Federal agencies,20191006,"An ocean circulation inverse model for research, education, and outreach",n,2019,2022
Ding,5/1/19,4/30/23,"$350,482 ",National Science Foundation,Federal agencies,20190345,Collaborative Research: PREEVENTS Track 2: Bridging the Gap Between Weather and Climate Forecasts During the Warm Season,n,2019,2023
Jasechko,2/1/19,1/31/22,"$593,624 ",National Science Foundation,Federal agencies,20190049,CAREER: Quantifying links between groundwater ages and solute concentrations,n,2019,2022
Larsen,1/1/20,12/31/24,"$521,616 ",National Science Foundation,Federal agencies,20191657,"CAREER: An ecoinformatics approach to understanding the distribution, revegetation, and ecological impacts of abandoned agricultural land in the US",n,2020,2024
Nelson,1/1/19,12/31/21,"$346,890 ",National Science Foundation,Federal agencies,20190161,Collaborative Research: EXPORTS: Role of the ocean's biological pump in the production of refractory dissolved organic carbon,n,2019,2021
Raven,10/1/19,9/30/22,"$491,828 ",National Science Foundation,Federal agencies,20190202,Organic Matter Preservation in Mangrove Ecosystems via Abiotic Sulfurization,n,2019,2022
Stevenson,5/1/18,4/30/18,"$45,478 ",National Science Foundation,Federal agencies,20190509,Collaborative Research: Quantifying spatial footprints of planktic foraminifera in marine sediments and exploring implications for past ocean variability and model-data synthesis,n,2018,2018
Hacker,9/1/17,8/31/19,"$198,989 ",National Science Foundation,Federal agencies,20170921,Collaborative Research: Constructing and testing models of the mantle wedge in Alaska with seismology and petrology,n,2017,2019
Schimel,7/1/17,6/30/20,$0 ,National Science Foundation,Federal agencies,20170830,"Preliminary Proposal: Moisture, Microbes, and Minerals: Mobilizing Soil Carbon",n,2017,2020
Tanimoto,3/1/16,2/28/18,"$95,600 ",National Science Foundation,Federal agencies,20170846,Extreme Interaction Between Atmosphere and Solid Earth: Understanding the Forcing Mechanism by Hurricanes and its Application for Monitoring,n,2016,2018
Dozier,1/1/18,12/31/20,"$74,492 ",National Science Foundation,Federal agencies,20180315,Spokes: MEDIUM: WEST: Collaborative: Implementing the Open Water Information Architecture,n,2018,2020
Hacker,5/1/18,4/30/20,"$283,828 ",National Science Foundation,Federal agencies,20180765,"Collaborative Research: Using Titanite to Understand the GreatTonalite Sill, Coast Shear Zone, and Baja BC",n,2018,2020
"Carvalho, Ding, Jones",2/1/20,1/31/23,"$486,848 ",National Science Foundation,Federal agencies,20191325,The dynamics and variability of the South American low-level jet (SALLJ),n,2020,2023
DeVries,7/1/19,6/30/22,"$360,049 ",National Science Foundation,Federal agencies,20190157,Improved estimates of ocean heat content 1960-present,n,2019,2022
Ganti,1/1/20,12/30/22,"$406,054 ",National Science Foundation,Federal agencies,20190717,Collaborative Research: Reconstructing paleo-sediment flux from river deposits: toward quantifying sediment discharge from bedform to basin scale ,n,2020,2022
Jackson,10/1/19,9/30/22,"$264,874 ",National Science Foundation,Federal agencies,20190658,Collaborative Research: Do improved absolute plate motion models based on Cretaceous Western Pacific seamounts relate Louisville to Ontong-Java?,n,2019,2022
Jackson,10/1/20,9/30/24,"$262,663 ",National Science Foundation,Federal agencies,20191102,Collaborative Research: Interactions between the Tonga-Lau subduction system and the Samoan plume,n,2020,2024
"Mayes, Caylor",1/1/20,12/31/21,"$96,995 ",National Science Foundation,Federal agencies,20191364,Collaborative Research: Instant knowledge of the composition of the world – a future enabled by imaging spectroscopy,n,2020,2021
Perrone,7/1/19,6/30/22,"$596,398 ",National Science Foundation,Federal agencies,20190050,"CAREER: Revolutionizing our approach to groundwater management in the Western United States through the integration of hydrological sciences, geospatial sciences, and law",n,2019,2022
Tague,6/1/15,5/30/18,"$201,930 ",New Mexico Institute of Mining & Technology,Institutes of higher education,20150111,Managing forested watersheds for both water and fire during drought,n,2015,2018
Nelson,8/15/17,8/14/20,"$372,289 ",North Carolina State University,Institutes of higher education,20171188,Linking particulate organic matter export to the formation of refractory dissolved organic matter in the twilight zone,n,2017,2020
Florsheim,7/1/15,6/30/17,$0 ,North Coast Resource Partnership,"Private agencies, foundations",20151268,Analysis and Planning for the North Coast Resource Partnership,n,2015,2017
Nidzieko,10/1/19,9/30/22,"$535,740 ",Office of Naval Research,Federal agencies,20190949,Real-time Analysis of Turbulent Spectra for Adaptive Tracking of Environmental Features and UUV Wakes,n,2019,2022
Dozier,3/1/19,2/28/22,"$149,928 ",Ohio State University,Institutes of higher education,20190261,A new estimate of water and energy balances across global mountain ranges,n,2019,2022
Stratton,1/1/18,12/31/18,"$19,500 ",Outhwaite Foundation,"Private agencies, foundations",20180139,North Campus Open Space Restoration Film,n,2018,2018
Caylor,7/1/19,6/30/23,"$502,374 ",Princeton University,Institutes of higher education,20190411,INFEWS/T2 - Water Harvesting Adsorption Technology for Indoor Farming (WHAT-IF): Analysis of Food Energy and Water Autonomy with Controlled Environment Agriculture,n,2019,2023
Caylor,12/1/16,11/30/19,"$93,230 ",Princeton University,Institutes of higher education,20170254,Using NASA satellite information for developing climate services to support agricultural water-use decisions in southern Africa,n,2016,2019
Clark,6/1/19,5/31/20,"$15,291 ",SFS Farms LLC,"Private agencies, foundations",20191527,Bioremediation Project,n,2019,2020
DeVries,10/1/14,9/30/17,"$409,988 ",Simons Foundation,"Private agencies, foundations",20150131,The role of marine microbes in ocean carbon sequestration: An inverse model study,n,2014,2017
"Keller, Garner",1/1/15,12/31/15,"$15,000 ",Society of Environmental Toxicology and Chemistry,"Private agencies, foundations",20150283,"Fate, transport, exposure, and risk assessment of engineered nano materials in the environment",n,2015,2015
Florsheim,7/1/17,3/31/18,"$25,000 ",Sonoma County Agricultural Preservation and Open Space District,"Private agencies, foundations",20171370,Biophysical Approach Toward Riparian Conservation and Floodplain Ecosystem Functionality,n,2017,2018
Stratton,9/1/17,8/31/20,"$24,738 ",Southern California Gas Company,"Private agencies, foundations",20180164,North Campus Open Space Wetland Restoration Project,n,2017,2020
Stratton,1/31/18,12/1/18,"$5,000 ",Southern California Gas Company,"Private agencies, foundations",20180752,North Campus Open Space Wetland Restoration Project,n,2018,2018
Stratton,8/1/15,7/31/16,"$29,451 ",Southern California Wetlands Recovery Project,"Private agencies, foundations",20151071,UCSB West Park Swale Enhancement ,n,2015,2016
"MacDonald, Caylor",9/1/19,8/31/24,"$708,902 ",Stanford University,Institutes of higher education,20190608,Vector-borne disease transmission in a rapidly changing world: Identifying the effects of land use change on transmission across scales,n,2019,2024
"Thorsch, Myers, Seltmann",2/1/18,1/31/19,"$49,884 ",State Coastal Conservancy,California state and municipal agencies,20171240,Kids in Nature Explore the Coast at South Parcel (KIN2),n,2018,2019
"Myers, Seltmann",1/1/20,12/31/20,"$47,796 ",State Coastal Conservancy,California state and municipal agencies,20191297,Kids in Nature: Increasing Climate Change Literacy in Underserved Public Schools (KIN2),n,2020,2020
Suh,10/1/18,9/30/20,"$689,706 ",Target Corporation,"Private agencies, foundations",20190020,Development and Dissemination of Safer Alternatives Analytics for Target App,n,2018,2020
Thorsch,10/1/15,9/30/16,"$118,861 ",The Institute of Museum and Library Services IMLS,Federal agencies,20150543,Infrastructure Upgrade and Curation of CCBER Vertebrate Collections,n,2015,2016
Holden,1/1/15,12/31/18,"$382,972 ",UC Irvine,UC-wide,20150133,Fighting Drought with Stormwater,n,2015,2018
"Keller, Suh",1/1/16,12/31/18,"$139,090 ",UC Irvine,UC-wide,20160198,Green Catalyst Program for Products and Processes,n,2016,2018
Holden,1/1/17,12/31/18,"$91,949 ",UC Irvine,UC-wide,20181194,Fighting Drought with Stormwater:From Research to Practice,n,2017,2018
Tague,10/1/13,9/30/17,"$98,583 ",UC Merced,UC-wide,20170420,Southern Sierra Critical Zone Observatory,n,2013,2017
Perrone,1/1/19,12/31/20,"$51,246 ",UC Merced,UC-wide,20190069,UC Water Security and Sustainability Research Initiative,n,2019,2020
"Carvalho, Ohlmann, Romero, Jones, Siegel, Washburn",1/1/16,12/31/18,"$1,130,117 ",UC Office of the President,UC-wide,20160170,Multi-model prediction of oil spill movement in coastal CA,n,2016,2018
Schimel,10/1/15,9/30/18,"$86,363 ",UC Riverside,UC-wide,20150788,Evaluating paradigms in P biogeochemical cycling: The paradox of high P availability in ecosystems developing on P-poor parent material,n,2015,2018
Steidl,8/1/17,7/31/18,"$17,970 ",UC San Diego,UC-wide,20171306,AlertCentralCoast/HPWREN High Resolution Wildfire Camera,n,2017,2018
Clark,2/1/16,1/31/18,"$119,789 ",UC Sea Grant College Program,UC-wide,20150950,"Quantifying groundwater contributions to the biogeochemistry of Carpinteria Slough, an estuarine system",n,2016,2018
Simms,2/1/16,1/31/18,"$125,565 ",UC Sea Grant College Program,UC-wide,20150925,Quantifying the impacts of extreme events on beach sand supplies,n,2016,2018
Simms,2/1/16,1/31/18,"$92,844 ",UC Sea Grant College Program,UC-wide,20151023,Quantifying the Amount of Subsistence in a Southern California Estuary,n,2016,2018
Suh,9/1/14,8/31/15,"$30,000 ",United Nations Environment Programme,"Private agencies, foundations",20150580,"Life-cycle environmental impacts and resource requirements of technologies for greenhouse gas mitigation, with a focus on cross-cutting energy efficiency technologies",n,2014,2015
Ding,1/1/17,12/31/19,"$56,914 ",University of Arizona,Institutes of higher education,20161338,Midlatitude warm season extreme events and their relationship to atmospheric teleconnections and sensitivity to atmospheric aerosols,n,2017,2019
Caylor,9/1/18,8/31/22,"$322,105 ",University of Arizona,Institutes of higher education,20180836,CNH-L: Feedbacks between Urban Food Security and Rural Agricultural Production in Sub-Saharan Africa,n,2018,2022
Steidl,1/1/15,12/31/17,"$464,000 ",University of California,UC-wide,20150160,Seismic Resilient California Initiative - More Resilient Homes,n,2015,2017
Holden,10/1/18,9/30/21,"$3,885,534 ",University of California,UC-wide,20181485,"TRDRP-NRS Collaborative Platform: Administrative, Field, & Analytical Core",n,2018,2021
"Jones, Carvalho",3/1/18,2/28/21,"$598,598 ",University of California,UC-wide,20180027,Center for Frontiers in Monsoon Research,n,2018,2021
Matoza,3/1/18,2/28/21,"$3,035,306 ",University of California,UC-wide,20180051,Global seismo-acoustic monitoring of climate change,n,2018,2021
"Melack, King",3/1/18,2/28/21,"$608,353 ",University of California,UC-wide,20180028,"Wetlands, Carbon and Climate",n,2018,2021
"Suh, Lea",3/1/19,2/28/20,"$98,675 ",University of California,UC-wide,20190217,"Reducing UCSB greenhouse gas emissions through adaptive, self-learning energy system",n,2019,2020
Moritz,6/1/18,5/30/22,"$339,744 ",University of California,UC-wide,20180452,Collaborative Proposal: MSB-FRA: Emergent responses to increasing climate variability in California and Arizona,n,2018,2022
Buntaine,1/1/19,12/31/20,"$37,649 ",University of California,UC-wide,20190105,Improving Public Bureaucracies,n,2019,2020
"Carlson, Roberts",7/1/19,3/31/23,"$600,000 ",University of California,UC-wide,20191163,Wildfire: Assessing and Preparing for Risks Under Climate Change,n,2019,2023
Carvalho,1/1/19,12/31/20,"$150,000 ",University of California,UC-wide,20190119,Analyzing and Forecasting Atmospheric Rivers over California,n,2019,2020
Ji,1/1/19,12/31/20,"$70,000 ",University of California,UC-wide,20190143,Seismic Resilience of Urban California Medical Networks,n,2019,2020
Keller,1/1/19,12/31/20,"$582,743 ",University of California,UC-wide,20190057,"Emerging Contaminants: Monitoring, Risk Assessment & Mgmt",n,2019,2020
Larsen,1/1/19,12/31/20,"$195,687 ",University of California,UC-wide,20190066,"UC Local Food Initiative in Research, Policy, and Practice",n,2019,2020
"Larsen, Plantinga",8/1/19,7/31/22,"$344,455 ",University of California,UC-wide,20190292,INFEWS/T1: Understanding and communicating food-energy-water synergies in local foodsheds,n,2019,2022
Nidzieko,1/1/19,12/31/20,"$30,000 ",University of California,UC-wide,20190171,UC Ocean Monitoring Program (UCOM),n,2019,2020
Schimel,6/1/19,5/31/22,"$44,802 ",University of California,UC-wide,20191217,Understanding the effects of atmospheric N deposition and drought on ecosystem N retention: Linking above- and below-ground processes with watershed-scale modeling,n,2019,2022
Seltmann,7/1/19,6/30/20,"$20,000 ",University of California,UC-wide,20191129,Developing diagnostic capacity for identifying invasive shot hole borers in Ventura and Santa Barbara Counties,n,2019,2020
Suh,7/1/19,6/30/21,"$141,497 ",University of California,UC-wide,20190589,California Collaborative for Climate Solutions (C4S): Innovation Center for Transformative Carbon Dioxide Removal and Utilization Technologies,n,2019,2021
"Suh, Lea",3/1/19,2/29/20,"$99,705 ",University of California,UC-wide,20190343,"Reducing UCSB GHG emissions through adaptive, self-learning energy system",n,2019,2020
"Tague, Jasechko",1/1/19,12/31/20,"$388,078 ",University of California,UC-wide,20190106,The Legacy of Nitrogen in the Central Valley and California,n,2019,2020
Keller,4/1/19,3/31/20,"$49,990 ",University of Central Florida,Institutes of higher education,20190062,Modeling nanopesticide fate in agricultural systems,n,2019,2020
Bair,8/1/16,7/31/19,"$202,706 ",University of Colorado,Institutes of higher education,20161133,"Enhanced resolution satellite-derived snow properties in High Mountain Asia for measuring and understanding changes in glaciers, snow and streamflow",n,2016,2019
"Dozier, Bair",12/1/17,11/30/22,"$237,963 ",University of Colorado,Institutes of higher education,20171302,"Global snow cover and albedo from MODIS and VIIRS, 2000 to present, for hydrological and climatological analysis and modeling",n,2017,2022
Bair,12/1/18,11/30/21,"$85,366 ",University of Colorado,Institutes of higher education,20190206,A realtime snow product suite to improve hydrologic prediction in operational forecasting systems,n,2018,2021
Bair,8/1/19,7/31/22,"$379,274 ",University of Colorado,Institutes of higher education,20191523,"Snow water equivalent and partitioned snow and glacier melt for 1985 to present, a 35+ year record for climate modelers",n,2019,2022
Florsheim,7/1/15,6/30/19,"$391,157 ",University of Colorado,Institutes of higher education,20150607,"Hazards SEES: Recovery No More: Toward a New Paradigm for Wildfires in the ""Anthropocene""",n,2015,2019
Caylor,1/1/20,12/31/24,"$40,535 ",University of Florida,Institutes of higher education,20190966,"CNH2-L: Mitigating social and environmental vulnerabilities through community exchange of social, financial, and human capital",n,2020,2024
