,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Lars Bildsten. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,100,pub.1118997364,,,,The X-ray Spectrum of the Rapid Burster using the Chandra HETGS,arXiv,,,3/14/01,2001,,,,"All OA; Green, Accepted & Submitted",Preprint,"Marshall, H. L.; Rutledge, R.; Fox, D. W.; Miller, J. M.; Guerriero, R.; Morgan, E.; van der Klis, M.; Bildsten, L.; Dotani, T.; Lewin, W. H. G.",,"Marshall, H. L. (); Rutledge, R. (); Fox, D. W. (); Miller, J. M. (); Guerriero, R. (); Morgan, E. (); van der Klis, M. (); Bildsten, L. (); Dotani, T. (Institute of Space and Astronautical Science); Lewin, W. H. G. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118997364,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
253,100,pub.1000209775,10.1046/j.1365-8711.2001.04085.x,,,Search for millisecond periodicities in type I X‐ray bursts of the Rapid Burster,Monthly Notices of the Royal Astronomical Society,,,3/11/01,2001,321,4,776-782,All OA; Gold,Article,"Fox, D. W.; Lewin, W. H. G.; Rutledge, R. E.; Morgan, E. H.; Guerriero, R.; Bildsten, L.; Van Der Klis, M.; Van Paradijs, J.; Moore, C. B.; Dotani, T.; Asai, K.",,"Fox, D. W. (Massachusetts Institute of Technology); Lewin, W. H. G. (Massachusetts Institute of Technology); Rutledge, R. E. (California Institute of Technology); Morgan, E. H. (Massachusetts Institute of Technology); Guerriero, R. (United States Military Academy); Bildsten, L. (University of California, Santa Barbara); Van Der Klis, M. (); Van Paradijs, J. (University of Alabama in Huntsville); Moore, C. B. (Harvard–Smithsonian Center for Astrophysics); Dotani, T. (Institute of Space and Astronautical Science); Asai, K. (Institute of Space and Astronautical Science)",13,1,,3.51,https://academic.oup.com/mnras/article-pdf/321/4/776/3187458/321-4-776.pdf,https://app.dimensions.ai/details/publication/pub.1000209775,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
254,100,pub.1118992060,,,,The endpoint of the rp process on accreting neutron stars,arXiv,,,2/23/01,2001,,,,"All OA; Green, Accepted & Submitted",Preprint,"Schatz, H.; Aprahamian, A.; Barnard, V.; Bildsten, L.; Cumming, A.; Ouellette, M.; Rauscher, T.; Thielemann, F. -K.; Wiescher, M.",,"Schatz, H. (); Aprahamian, A. (); Barnard, V. (); Bildsten, L. (); Cumming, A. (); Ouellette, M. (); Rauscher, T. (); Thielemann, F. -K. (); Wiescher, M. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118992060,"0201 Astronomical and Space Sciences; 02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",0201 Astronomical and Space Sciences,02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,
255,100,pub.1118974399,,,,"The Quiescent X-Ray Spectrum of the Neutron Star in Cen X-4 Observed
  with Chandra/ACIS-S",arXiv,,,12/18/00,2000,,,,"All OA; Green, Accepted & Submitted",Preprint,"Rutledge, Robert E.; Bildsten, Lars; Brown, Edward F.; Pavlov, George G.; Zavlin, Vyacheslav E.",,"Rutledge, Robert E. (); Bildsten, Lars (); Brown, Edward F. (); Pavlov, George G. (); Zavlin, Vyacheslav E. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118974399,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
256,100,pub.1027476456,10.1046/j.1365-8711.2000.03938.x,,,Deformations of accreting neutron star crusts and gravitational wave emission,Monthly Notices of the Royal Astronomical Society,,,2000-12,2000,319,3,902-932,All OA; Gold,Article,"Ushomirsky, Greg; Cutler, Curt; Bildsten, Lars",,"Ushomirsky, Greg (University of California, Berkeley); Cutler, Curt (Max Planck Institute for Gravitational Physics); Bildsten, Lars (University of California, Santa Barbara)",184,24,,44.97,https://academic.oup.com/mnras/article-pdf/319/3/902/3735798/319-3-902.pdf,https://app.dimensions.ai/details/publication/pub.1027476456,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
257,200,pub.1006833120,10.1086/317191,,,Rotational Evolution during Type I X‐Ray Bursts,The Astrophysical Journal,,,11/20/00,2000,544,1,453-474,All OA; Gold,Article,"Cumming, Andrew; Bildsten, Lars",,"Cumming, Andrew (); Bildsten, Lars ()",111,10,,18.13,http://iopscience.iop.org/article/10.1086/317191/pdf,https://app.dimensions.ai/details/publication/pub.1006833120,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
258,200,pub.1006380324,10.1086/317031,,,Nearly Coherent Oscillations in Type I X‐Ray Bursts from KS 1731−260,The Astrophysical Journal,,,10/20/00,2000,542,2,1016-1033,All OA; Gold,Article,"Muno, Michael P.; Fox, Derek W.; Morgan, Edward H.; Bildsten, Lars",,"Muno, Michael P. (); Fox, Derek W. (); Morgan, Edward H. (); Bildsten, Lars ()",80,1,,13.06,http://iopscience.iop.org/article/10.1086/317031/pdf,https://app.dimensions.ai/details/publication/pub.1006380324,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
259,200,pub.1058616980,10.1086/309464,,,Coronal X‐Ray Emission from the Stellar Companions to Transiently Accreting Black Holes,The Astrophysical Journal,,,2000-10,2000,541,2,908-917,All OA; Gold,Article,"Bildsten, Lars; Rutledge, Robert E.",,"Bildsten, Lars (); Rutledge, Robert E. ()",41,0,,6.7,http://iopscience.iop.org/article/10.1086/309464/pdf,https://app.dimensions.ai/details/publication/pub.1058616980,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
260,100,pub.1118943783,,,,"Search for Millisecond Periodicities in Type I X-ray Bursts of the Rapid
  Burster",arXiv,,,9/13/00,2000,,,,"All OA; Green, Accepted & Submitted",Preprint,"Fox, D. W.; Lewin, W. H. G.; Rutledge, R. E.; Morgan, E. H.; Guerriero, R.; Bildsten, L.; van der Klis, M.; van Paradijs, J.; Moore, C. B.; Dotani, T.; Asai, K.",,"Fox, D. W. (); Lewin, W. H. G. (); Rutledge, R. E. (California Institute of Technology); Morgan, E. H. (); Guerriero, R. (); Bildsten, L. (); van der Klis, M. (); van Paradijs, J. (); Moore, C. B. (); Dotani, T. (); Asai, K. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118943783,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
261,200,pub.1058620295,10.1086/312817,,,[ITAL]Chandra[/ITAL] Detection of an X-Ray Flare from the Brown Dwarf LP 944-20,The Astrophysical Journal,,,8/1/00,2000,538,2,l141-l144,All OA; Gold,Article,"Rutledge, Robert E.; Basri, Gibor; Martín, Eduardo L.; Bildsten, Lars",,"Rutledge, Robert E. (); Basri, Gibor (); Martín, Eduardo L. (); Bildsten, Lars ()",105,6,,17.15,http://iopscience.iop.org/article/10.1086/312817/pdf,https://app.dimensions.ai/details/publication/pub.1058620295,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
262,100,pub.1002957687,10.1063/1.1291841,,,Gravitational waves from low-mass X-ray binaries: A status report,AIP Conference Proceedings,,,2000-06,2000,523,1,65-74,"All OA; Green, Accepted & Submitted",Article,"Ushomirsky, Gregory; Bildsten, Lars; Cutler, Curt",,"Ushomirsky, Gregory (University of California, Berkeley); Bildsten, Lars (University of California, Santa Barbara); Cutler, Curt (Max Planck Institute for Gravitational Physics)",3,0,,0.69,http://arxiv.org/pdf/astro-ph/0001129v1.pdf,https://app.dimensions.ai/details/publication/pub.1002957687,0201 Astronomical and Space Sciences; 02 Physical Sciences; 0299 Other Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,0299 Other Physical Sciences,,
263,100,pub.1002146512,10.1063/1.1291736,,,Theory and observations of Type I X-Ray bursts from neutron stars,AIP Conference Proceedings,,,2000-06,2000,522,1,359-369,"All OA; Green, Accepted & Submitted",Article,"Bildsten, Lars",,"Bildsten, Lars (University of California, Santa Barbara)",20,3,,4.32,http://arxiv.org/pdf/astro-ph/0001135v1.pdf,https://app.dimensions.ai/details/publication/pub.1002146512,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
264,100,pub.1119010444,,,,Chandra Detection of an X-ray Flare from the Brown Dwarf LP 944-20,arXiv,,,5/29/00,2000,,,,"All OA; Green, Accepted & Submitted",Preprint,"Rutledge, Robert E.; Basri, Gibor; Martin, Eduardo; Bildsten, Lars",,"Rutledge, Robert E. (California Institute of Technology); Basri, Gibor (); Martin, Eduardo (California Institute of Technology); Bildsten, Lars ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1119010444,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
265,100,pub.1119007678,,,,Transient Low-Mass X-Ray Binaries in Quiescence,arXiv,,,5/17/00,2000,,,,"All OA; Green, Accepted & Submitted",Preprint,"Bildsten, L.; Rutledge, R. E.",,"Bildsten, L. (); Rutledge, R. E. (California Institute of Technology)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1119007678,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
266,100,pub.1007434047,10.1063/1.1303305,,,EXIST: A high sensitivity hard x-ray imaging sky survey mission for ISS,AIP Conference Proceedings,,,2000-04,2000,510,1,784-788,"All OA; Green, Accepted & Submitted",Article,"Grindlay, J.; Bildsten, L.; Chakrabarty, D.; Elvis, M.; Fabian, A.; Fiore, F.; Gehrels, N.; Hailey, C.; Harrison, F.; Hartmann, D.; Prince, T.; Ramsey, B.; Rothschild, R.; Skinner, G.; Woosley, S.",,"Grindlay, J. (); Bildsten, L. (); Chakrabarty, D. (); Elvis, M. (); Fabian, A. (); Fiore, F. (); Gehrels, N. (); Hailey, C. (Columbia University); Harrison, F. (California Institute of Technology); Hartmann, D. (Clemson University); Prince, T. (California Institute of Technology); Ramsey, B. (); Rothschild, R. (University of California, San Diego); Skinner, G. (); Woosley, S. (University of California, Santa Cruz)",1,0,,0.23,https://authors.library.caltech.edu/27931/1/GRIaipcp00.pdf,https://app.dimensions.ai/details/publication/pub.1007434047,0201 Astronomical and Space Sciences; 02 Physical Sciences; 0299 Other Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,0299 Other Physical Sciences,,
267,100,pub.1118992317,,,,Nearly Coherent Oscillations in Type I X-Ray Bursts from KS 1731-260,arXiv,,,3/15/00,2000,,,,"All OA; Green, Accepted & Submitted",Preprint,"Muno, Michael P.; Fox, Derek W.; Morgan, Edward H.; Bildsten, Lars",,"Muno, Michael P. (); Fox, Derek W. (); Morgan, Edward H. (); Bildsten, Lars ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118992317,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
268,200,pub.1058615822,10.1086/308303,,,"A Method for Distinguishing between Transiently Accreting Neutron Stars and Black Holes, in Quiescence",The Astrophysical Journal,,,2000-02,2000,529,2,985-996,All OA; Gold,Article,"Rutledge, Robert E.; Bildsten, Lars; Brown, Edward F.; Pavlov, George G.; Zavlin, Vyatcheslav E.",,"Rutledge, Robert E. (); Bildsten, Lars (); Brown, Edward F. (); Pavlov, George G. (); Zavlin, Vyatcheslav E. ()",64,0,,10.45,http://iopscience.iop.org/article/10.1086/308303/pdf,https://app.dimensions.ai/details/publication/pub.1058615822,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
269,400,pub.1058619933,10.1086/312454,10615030,,Viscous Boundary-Layer Damping of r-Modes in Neutron Stars.,The Astrophysical Journal,,,1/20/00,2000,529,1,l33-l36,All OA; Gold,Article,"Bildsten, Lars; Ushomirsky, Greg",,"Bildsten, Lars (); Ushomirsky, Greg ()",100,7,0.2,22.97,http://iopscience.iop.org/article/10.1086/312454/pdf,https://app.dimensions.ai/details/publication/pub.1058619933,0201 Astronomical and Space Sciences; 02 Physical Sciences; 0299 Other Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,0299 Other Physical Sciences,,
270,100,pub.1118973252,,,,Gravitational Waves from Low-Mass X-ray Binaries: a Status Report,arXiv,,,1/8/00,2000,,,,"All OA; Green, Accepted & Submitted",Preprint,"Ushomirsky, Greg; Bildsten, Lars; Cutler, Curt",,"Ushomirsky, Greg (University of California, Berkeley); Bildsten, Lars (); Cutler, Curt ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118973252,0201 Astronomical and Space Sciences; 02 Physical Sciences; 0299 Other Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,0299 Other Physical Sciences,,
271,100,pub.1118973142,,,,"Deformations of Accreting Neutron Star Crusts and Gravitational Wave
  Emission",arXiv,,,1/8/00,2000,,,,"All OA; Green, Accepted & Submitted",Preprint,"Ushomirsky, Greg; Cutler, Curt; Bildsten, Lars",,"Ushomirsky, Greg (); Cutler, Curt (); Bildsten, Lars ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118973142,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
272,100,pub.1119054811,,,,EXIST: A High Sensitivity Hard X-ray Imaging Sky Survey Mission for ISS,arXiv,,,12/17/99,1999,,,,"All OA; Green, Accepted & Submitted",Preprint,"Grindlay, J.; Bildsten, L.; Chakrabarty, D.; Elvis, M.; Fabian, A.; Fiore, F.; Gehrels, N.; Hailey, C.; Harrison, F.; Hartmann, D.; Prince, T.; Ramsey, B.; Rothschild, R.; Skinner, G.; Woosley, S.",,"Grindlay, J. (); Bildsten, L. (); Chakrabarty, D. (); Elvis, M. (); Fabian, A. (); Fiore, F. (); Gehrels, N. (); Hailey, C. (); Harrison, F. (); Hartmann, D. (); Prince, T. (); Ramsey, B. (); Rothschild, R. (); Skinner, G. (); Woosley, S. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1119054811,0201 Astronomical and Space Sciences; 02 Physical Sciences; 0299 Other Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,0299 Other Physical Sciences,,
273,100,pub.1119052263,,,,"Coronal X-Ray Emission from the Stellar Companions to Transiently
  Accreting Black Holes",arXiv,,,12/15/99,1999,,,,"All OA; Green, Accepted & Submitted",Preprint,"Bildsten, Lars; Rutledge, Robert E.",,"Bildsten, Lars (); Rutledge, Robert E. (California Institute of Technology)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1119052263,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
274,100,pub.1119041239,,,,Viscous Boundary Layer Damping of R-Modes in Neutron Stars,arXiv,,,11/9/99,1999,,,,"All OA; Green, Accepted & Submitted",Preprint,"Bildsten, Lars; Ushomirsky, Greg",,"Bildsten, Lars (); Ushomirsky, Greg (University of California, Berkeley)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1119041239,0201 Astronomical and Space Sciences; 02 Physical Sciences; 0299 Other Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,0299 Other Physical Sciences,,
275,200,pub.1058615357,10.1086/307837,,,The Rapid Proton Process Ashes from Stable Nuclear Burning on an Accreting Neutron Star,The Astrophysical Journal,,,10/20/99,1999,524,2,1014-1029,All OA; Gold,Article,"Schatz, Hendrik; Bildsten, Lars; Cumming, Andrew; Wiescher, Michael",,"Schatz, Hendrik (); Bildsten, Lars (); Cumming, Andrew (); Wiescher, Michael ()",163,20,,,http://iopscience.iop.org/article/10.1086/307837/pdf,https://app.dimensions.ai/details/publication/pub.1058615357,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
276,100,pub.1119028093,,,,"A Method for Distinguishing Between Transiently Accreting Neutron Stars
  and Black Holes, in Quiescence",arXiv,,,9/17/99,1999,,,,"All OA; Green, Accepted & Submitted",Preprint,"Rutledge, Robert E.; Bildsten, Lars; Brown, Edward F.; Pavlov, George G.; Zavlin, Vyatcheslav E.",,"Rutledge, Robert E. (California Institute of Technology); Bildsten, Lars (); Brown, Edward F. (); Pavlov, George G. (); Zavlin, Vyatcheslav E. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1119028093,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
277,100,pub.1003348300,10.1046/j.1365-8711.1999.02651.x,,,The evolution of Rapid Burster outbursts,Monthly Notices of the Royal Astronomical Society,,,1999-07,1999,307,1,179-189,"All OA; Green, Published",Article,"Guerriero, R.; Fox, D. W.; Kommers, J.; Lewin, W. H. G.; Rutledge, R.; Moore, C. B.; Morgan, E.; Van Paradijs, J.; Van der Klis, M.; Bildsten, L.; Dotani, T.",,"Guerriero, R. (Massachusetts Institute of Technology); Fox, D. W. (Massachusetts Institute of Technology); Kommers, J. (Massachusetts Institute of Technology); Lewin, W. H. G. (Massachusetts Institute of Technology); Rutledge, R. (); Moore, C. B. (University of Groningen); Morgan, E. (Massachusetts Institute of Technology); Van Paradijs, J. (University of Alabama in Huntsville); Van der Klis, M. (University of California, Berkeley); Bildsten, L. (University of California, Berkeley); Dotani, T. (Institute of Space and Astronautical Science)",19,0,,,https://pure.uva.nl/ws/files/3184699/6621_klis_181evolution.pdf,https://app.dimensions.ai/details/publication/pub.1003348300,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
278,200,pub.1058614756,10.1086/307234,,,Discovery of a Magnetic White Dwarf in the Symbiotic Binary Z Andromedae,The Astrophysical Journal,,,1999-06,1999,517,2,919-924,"All OA; Green, Accepted & Submitted",Article,"Sokoloski, J. L.; Bildsten, Lars",,"Sokoloski, J. L. (); Bildsten, Lars ()",36,4,,,http://cds.cern.ch/record/374433/files/9812294.pdf,https://app.dimensions.ai/details/publication/pub.1058614756,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
279,200,pub.1058614713,10.1086/307191,,,The Outbursts and Orbit of the Accreting Pulsar GS 1843−02 = 2S 1845−024,The Astrophysical Journal,,,5/20/99,1999,517,1,449-459,All OA; Gold,Article,"Finger, Mark H.; Bildsten, Lars; Chakrabarty, Deepto; Prince, Thomas A.; Scott, D. Matthew; Wilson, Colleen A.; Wilson, Robert B.; Zhang, S. Nan",,"Finger, Mark H. (); Bildsten, Lars (); Chakrabarty, Deepto (); Prince, Thomas A. (); Scott, D. Matthew (); Wilson, Colleen A. (); Wilson, Robert B. (); Zhang, S. Nan ()",40,2,,,http://iopscience.iop.org/article/10.1086/307191/pdf,https://app.dimensions.ai/details/publication/pub.1058614713,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
280,200,pub.1058614512,10.1086/306990,,,"The Thermal X‐Ray Spectra of Centaurus X‐4, Aquila X‐1 , and 4U 1608‐522 in Quiescence",The Astrophysical Journal,,,1999-04,1999,514,2,945-951,All OA; Gold,Article,"Rutledge, Robert E.; Bildsten, Lars; Brown, Edward F.; Pavlov, George G.; Zavlin, Vyatcheslav E.",,"Rutledge, Robert E. (); Bildsten, Lars (); Brown, Edward F. (); Pavlov, George G. (); Zavlin, Vyatcheslav E. ()",135,3,,,http://iopscience.iop.org/article/10.1086/306990/pdf,https://app.dimensions.ai/details/publication/pub.1058614512,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
281,200,pub.1058613801,10.1086/306279,,,"Hydrogen Electron Capture in Accreting Neutron Stars and the Resulting
                    g
                    ‐Mode Oscillation Spectrum",The Astrophysical Journal,,,10/20/98,1998,506,2,842-862,All OA; Gold,Article,"Bildsten, Lars; Cumming, Andrew",,"Bildsten, Lars (); Cumming, Andrew ()",42,4,,,http://iopscience.iop.org/article/10.1086/306279/pdf,https://app.dimensions.ai/details/publication/pub.1058613801,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
282,200,pub.1058619057,10.1086/311578,,,Crustal Heating and Quiescent Emission from Transiently Accreting Neutron Stars,The Astrophysical Journal,,,9/10/98,1998,504,2,l95-l98,All OA; Gold,Article,"Brown, Edward F.; Bildsten, Lars; Rutledge, Robert E.",,"Brown, Edward F. (); Bildsten, Lars (); Rutledge, Robert E. ()",320,33,,,http://iopscience.iop.org/article/10.1086/311578/pdf,https://app.dimensions.ai/details/publication/pub.1058619057,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
283,100,pub.1119007695,,,,The Evolution of Rapid Burster Outbursts,arXiv,,,7/10/98,1998,,,,"All OA; Green, Accepted & Submitted",Preprint,"Guerriero, R.; Fox, D. W.; Kommers, J.; Lewin, W. H. G.; Rutledge, R.; Moore, C. B.; Morgan, E.; van Paradijs, J.; van der Klis, M.; Bildsten, L.; Dotani, T.",,"Guerriero, R. (); Fox, D. W. (); Kommers, J. (); Lewin, W. H. G. (); Rutledge, R. (California Institute of Technology); Moore, C. B. (); Morgan, E. (); van Paradijs, J. (); van der Klis, M. (); Bildsten, L. (); Dotani, T. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1119007695,06 Biological Sciences; 0603 Evolutionary Biology,06 Biological Sciences,0603 Evolutionary Biology,,,
284,200,pub.1058618761,10.1086/311282,,,Rapid Rotation and Nonradial Pulsations: κ-Mechanism Excitation of [CLC][ITAL]g[/ITAL][/CLC]-Modes in B Stars,The Astrophysical Journal,,,4/20/98,1998,497,2,l101-l104,All OA; Gold,Article,"Ushomirsky, Greg; Bildsten, Lars",,"Ushomirsky, Greg (); Bildsten, Lars ()",18,0,,,http://iopscience.iop.org/article/10.1086/311282/pdf,https://app.dimensions.ai/details/publication/pub.1058618761,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
285,200,pub.1058612979,10.1086/305457,,,Light Element Depletion in Contracting Brown Dwarfs and Pre–Main‐Sequence Stars,The Astrophysical Journal,,,4/10/98,1998,497,1,253-266,All OA; Gold,Article,"Ushomirsky, Greg; Matzner, Christopher D.; Brown, Edward F.; Bildsten, Lars; Hilliard, Vadim G.; Schroeder, Peter C.",,"Ushomirsky, Greg (); Matzner, Christopher D. (); Brown, Edward F. (); Bildsten, Lars (); Hilliard, Vadim G. (); Schroeder, Peter C. ()",26,1,,,http://iopscience.iop.org/article/10.1086/305457/pdf,https://app.dimensions.ai/details/publication/pub.1058612979,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
286,200,pub.1058612941,10.1086/305419,,,The Ocean and Crust of a Rapidly Accreting Neutron Star: Implications for Magnetic Field Evolution and Thermonuclear Flashes,The Astrophysical Journal,,,1998-04,1998,496,2,915-933,"All OA; Green, Accepted & Submitted",Article,"Brown, Edward F.; Bildsten, Lars",,"Brown, Edward F. (); Bildsten, Lars ()",148,7,,,http://cds.cern.ch/record/336910/files/9710261.pdf,https://app.dimensions.ai/details/publication/pub.1058612941,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
287,100,pub.1003650233,10.1063/1.55910,,,The angular momentum of accreting neutron stars,AIP Conference Proceedings,,,1998-04,1998,431,1,299-308,"All OA; Green, Accepted & Submitted",Article,"Bildsten, Lars",,"Bildsten, Lars (University of California, Berkeley)",2,1,,,http://arxiv.org/pdf/astro-ph/9801043v1.pdf,https://app.dimensions.ai/details/publication/pub.1003650233,0201 Astronomical and Space Sciences; 02 Physical Sciences; 0299 Other Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,0299 Other Physical Sciences,,
