,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Jacob N Israelachvili. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,100,pub.1006499744,10.1016/0021-9797(92)90316-e,,,Molecular mechanisms and kinetics during the self-assembly of surfactant layers,Journal of Colloid and Interface Science,,,1992-10,1992,153,1,244-265,Closed,Article,"Chen, You Lung; Chen, Shaun; Frank, Curtis; Israelachvili, Jacob","Israelachvili, Jacob","Chen, You Lung (University of California, Santa Barbara); Chen, Shaun (Stanford University); Frank, Curtis (Stanford University); Israelachvili, Jacob (University of California, Santa Barbara)",105,7,,,,https://app.dimensions.ai/details/publication/pub.1006499744,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
415,200,pub.1055658607,10.1021/j100198a048,,,Effects of ambient conditions on adsorbed surfactant and polymer monolayers,The Journal of Physical Chemistry,,,1992-09,1992,96,19,7752-7760,Closed,Article,"Chen, You Lung; Israelachvili, Jacob N.",,"Chen, You Lung (); Israelachvili, Jacob N. ()",48,1,,,,https://app.dimensions.ai/details/publication/pub.1055658607,,,,,,
416,400,pub.1062490281,10.1126/science.1542789,1542789,,Long-range attraction and molecular rearrangements in receptor-ligand interactions,Science,,"Bacterial Proteins; Biotin; Chemical Phenomena; Chemistry, Physical; Electrochemistry; Ligands; Lipid Bilayers; Models, Chemical; Protein Binding; Streptavidin",3/13/92,1992,255,5050,1419-1421,Closed,Article,"Leckband, DE; Israelachvili, JN; Schmitt, FJ; Knoll, W",,"Leckband, DE (University of California, Santa Barbara); Israelachvili, JN (University of California, Santa Barbara); Schmitt, FJ (University of California, Santa Barbara); Knoll, W (University of California, Santa Barbara)",110,1,1.52,,,https://app.dimensions.ai/details/publication/pub.1062490281,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
417,200,pub.1056173943,10.1021/ma00033a038,,,Modification of long-ranged forces by surface exchange of polymeric amphiphiles,Macromolecules,,,1992-03,1992,25,7,2062-2064,Closed,Article,"Klein, Jacob; Kamiyama, Yoichiro; Yoshizawa, Hisae; Israelachvili, Jacob N.; Fetters, Lewis J.; Pincus, Philip",,"Klein, Jacob (); Kamiyama, Yoichiro (); Yoshizawa, Hisae (); Israelachvili, Jacob N. (); Fetters, Lewis J. (); Pincus, Philip ()",13,0,,,,https://app.dimensions.ai/details/publication/pub.1056173943,09 Engineering; 03 Chemical Sciences,09 Engineering,03 Chemical Sciences,,,
418,100,pub.1034714727,10.1016/0043-1648(92)90259-b,,,Mechanism of cavitation damage in thin liquid films: Collapse damage vs. inception damage,Wear,,,1992-03,1992,153,1,31-51,Closed,Article,"Chen, You Lung; Kuhl, Tonya; Israelachvili, Jacob",,"Chen, You Lung (University of California, Santa Barbara); Kuhl, Tonya (University of California, Santa Barbara); Israelachvili, Jacob (University of California, Santa Barbara)",31,0,,,,https://app.dimensions.ai/details/publication/pub.1034714727,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
419,400,pub.1055161691,10.1021/bi00121a030,1737032,,Role of hydrophobic forces in bilayer adhesion and fusion.,Biochemistry,,"Adhesiveness; Biomechanical Phenomena; Cetrimonium; Cetrimonium Compounds; Chemical Phenomena; Chemistry, Physical; Diffusion; Dimyristoylphosphatidylcholine; Lipid Bilayers; Membrane Fluidity; Membrane Fusion; Phospholipids; Stress, Mechanical",2/18/92,1992,31,6,1794-805,Closed,Article,"Helm, C A; Israelachvili, J N; McGuiggan, P M",,"Helm, C A (Johannes Gutenberg University of Mainz); Israelachvili, J N (); McGuiggan, P M ()",127,7,2.67,,,https://app.dimensions.ai/details/publication/pub.1055161691,11 Medical and Health Sciences; 0601 Biochemistry and Cell Biology; 0304 Medicinal and Biomolecular Chemistry; 03 Chemical Sciences; 06 Biological Sciences; 1101 Medical Biochemistry and Metabolomics,11 Medical and Health Sciences,0601 Biochemistry and Cell Biology,0304 Medicinal and Biomolecular Chemistry,03 Chemical Sciences,06 Biological Sciences
420,200,pub.1023458531,10.1016/0167-5729(92)90015-4,,,Adhesion forces between surfaces in liquids and condensable vapours,Surface Science Reports,,,1992-02,1992,14,3,109-159,Closed,Article,"Israelachvili, Jacob N.",,"Israelachvili, Jacob N. (University of California, Santa Barbara)",238,7,,,,https://app.dimensions.ai/details/publication/pub.1023458531,0204 Condensed Matter Physics; 02 Physical Sciences; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0204 Condensed Matter Physics,02 Physical Sciences,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
421,200,pub.1055657288,10.1021/j100181a007,,,Entropic forces between amphiphilic surfaces in liquids,The Journal of Physical Chemistry,,,1992-01,1992,96,2,520-531,Closed,Article,"Israelachvili, Jacob N.; Wennerstroem, Haakan",,"Israelachvili, Jacob N. (); Wennerstroem, Haakan ()",341,16,,,,https://app.dimensions.ai/details/publication/pub.1055657288,,,,,,
422,100,pub.1043326304,10.1007/978-3-642-84619-9_36,,,Origin of Short-Range Forces in Water Between Clay Surfaces and Lipid Bilayers,,Mechanics of Swelling,,1992,1992,,,603-622,Closed,Chapter,"Israelachvili, Jacob",,"Israelachvili, Jacob (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1043326304,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
423,100,pub.1032654428,10.1007/978-94-011-2811-7_19,,,"Adhesion, Friction and Lubrication of Molecularly Smooth Surfaces",,Fundamentals of Friction: Macroscopic and Microscopic Processes,,1992,1992,,,351-385,Closed,Chapter,"Israelachvili, Jacob N.",,"Israelachvili, Jacob N. (University of California, Santa Barbara)",44,1,,,,https://app.dimensions.ai/details/publication/pub.1032654428,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
424,100,pub.1003938374,10.1007/978-1-4899-1630-3_12,,,Specific Protein Binding to Functionalized Interfaces,,Synthetic Microstructures in Biological Research,,1992,1992,,,147-162,Closed,Chapter,"Schmitt, F.-J.; Blankenburg, R.; Häußling, L.; Ringsdorf, H.; Weisenhorn, A. L.; Hansma, P. K.; Leckband, D. E.; Israelachvili, J. N.; Knoll, W.",,"Schmitt, F.-J. (Max Planck Institute for Polymer Research); Blankenburg, R. (Johannes Gutenberg University of Mainz); Häußling, L. (Johannes Gutenberg University of Mainz); Ringsdorf, H. (Johannes Gutenberg University of Mainz); Weisenhorn, A. L. (University of California, Santa Barbara); Hansma, P. K. (University of California, Santa Barbara); Leckband, D. E. (University of California, Santa Barbara); Israelachvili, J. N. (University of California, Santa Barbara); Knoll, W. (Max Planck Institute for Polymer Research)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1003938374,02 Physical Sciences; 03 Chemical Sciences; 0299 Other Physical Sciences; 0306 Physical Chemistry (incl. Structural),02 Physical Sciences,03 Chemical Sciences,0299 Other Physical Sciences,0306 Physical Chemistry (incl. Structural),
425,200,pub.1055657176,10.1021/j100179a041,,,Molecular mechanisms associated with adhesion and contact angle hysteresis of monolayer surfaces,The Journal of Physical Chemistry,,,1991-12,1991,95,26,10736-10747,Closed,Article,"Chen, Y. L.; Helm, C. A.; Israelachvili, J. N.",,"Chen, Y. L. (); Helm, C. A. (); Israelachvili, J. N. ()",253,16,,,,https://app.dimensions.ai/details/publication/pub.1055657176,,,,,,
426,200,pub.1056139929,10.1021/la00059a049,,,Measurements of the elastic properties of surfactant and lipid monolayers,Langmuir,,,1991-11,1991,7,11,2694-2699,Closed,Article,"Chen, Y. L.; Helm, C. A.; Israelachvili, J. N.",,"Chen, Y. L. (); Helm, C. A. (); Israelachvili, J. N. ()",49,2,,,,https://app.dimensions.ai/details/publication/pub.1056139929,,,,,,
427,400,pub.1007103438,10.1073/pnas.88.18.8169,1896465,PMC52468,Measurement of ligand-receptor interactions,Proceedings of the National Academy of Sciences,,"Aluminum Silicates; Avidin; Bacterial Proteins; Biophysical Phenomena; Biophysics; Biotin; In Vitro Techniques; Ligands; Membranes, Artificial; Protein Binding; Streptavidin",9/15/91,1991,88,18,8169-8173,All OA; Gold,Article,"Helm, C A; Knoll, W; Israelachvili, J N",,"Helm, C A (University of California, Santa Barbara); Knoll, W (University of California, Santa Barbara); Israelachvili, J N (University of California, Santa Barbara)",114,7,2.25,,http://www.pnas.org/content/88/18/8169.full.pdf,https://app.dimensions.ai/details/publication/pub.1007103438,0306 Physical Chemistry (incl. Structural); 0601 Biochemistry and Cell Biology; 0299 Other Physical Sciences; 02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,0306 Physical Chemistry (incl. Structural),0601 Biochemistry and Cell Biology,0299 Other Physical Sciences,02 Physical Sciences,03 Chemical Sciences
428,100,pub.1044696769,10.1002/masy.19910460163,,,The role of the hydrophobic force in bilayer adhesion and fusion,Macromolecular Symposia,,,1991-06,1991,46,1,433-437,Closed,Article,"Helm, C. A.; Israelachvili, J. N.",,"Helm, C. A. (Johannes Gutenberg University of Mainz); Israelachvili, J. N. (University of California, Santa Barbara)",5,0,,,,https://app.dimensions.ai/details/publication/pub.1044696769,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
429,100,pub.1026059329,10.1002/masy.19910460114,,,Ligand‐receptor interactions directly measured with the surface forces apparatus,Macromolecular Symposia,,,1991-06,1991,46,1,103-111,Closed,Article,"Helm, C. A.; Schmitt, F. J.; Israelachvili, J. N.; Knoll, W.",,"Helm, C. A. (Johannes Gutenberg University of Mainz; University of California, Santa Barbara; Max Planck Institute for Polymer Research); Schmitt, F. J. (Max Planck Institute for Polymer Research); Israelachvili, J. N. (University of California, Santa Barbara); Knoll, W. (Max Planck Institute for Polymer Research)",5,0,,,,https://app.dimensions.ai/details/publication/pub.1026059329,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
430,200,pub.1062096755,10.1115/1.2920597,,,"Closure to “Discussion of ‘Measurements of and Relation Between the Adhesion and Friction of Two Surfaces Separated by Molecularly Thin Liquid Films’” (1991, ASME J. Tribol., 113, p. 224)",Journal of Tribology,,,1/1/91,1991,113,1,224-224,All OA; Gold,Article,"Homola, A. M.; Israelachvili, J. N.; Gee, M. L.; McGuiggan, P. M.",,"Homola, A. M. (); Israelachvili, J. N. (); Gee, M. L. (); McGuiggan, P. M. ()",1,0,,,http://tribology.asmedigitalcollection.asme.org/data/journals/jotre9/28487/224_2.pdf,https://app.dimensions.ai/details/publication/pub.1062096755,,,,,,
431,100,pub.1020342930,10.1007/978-1-4615-3836-3_39,,,"Adhesion and Fusion of Amphiphilic Surfaces: Role of Hydrophobic, Hydration and Steric Forces",,Surfactants in Solution,,1991,1991,,,507-507,Closed,Chapter,"Israelachvili, Jacob; Helm, Christiane; Wennerström, Håkan",,"Israelachvili, Jacob (University of California, Santa Barbara); Helm, Christiane (University of California, Santa Barbara); Wennerström, Håkan (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1020342930,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
432,100,pub.1006170789,10.1088/0953-8984/2/s/009,,,Liquid dynamics in molecularly thin films,Journal of Physics Condensed Matter,,,12/1/90,1990,2,S,sa89,Closed,Article,"Israelachvili, J; McGuiggan, P; Gee, M; Homola, A; Robbins, M; Thompson, P",,"Israelachvili, J (University of California, Santa Barbara); McGuiggan, P (University of California, Santa Barbara); Gee, M (University of California, Santa Barbara); Homola, A (University of California, Santa Barbara); Robbins, M (University of California, Santa Barbara); Thompson, P (University of California, Santa Barbara)",86,0,,,,https://app.dimensions.ai/details/publication/pub.1006170789,0204 Condensed Matter Physics; 10 Technology; 09 Engineering; 0912 Materials Engineering; 1007 Nanotechnology; 02 Physical Sciences,0204 Condensed Matter Physics,10 Technology,09 Engineering,0912 Materials Engineering,1007 Nanotechnology
433,200,pub.1058037504,10.1063/1.459493,,,Comparison of light scattering of colloidal dispersions with direct force measurements between analogous macroscopic surfaces,The Journal of Chemical Physics,,,10/15/90,1990,93,8,6057-6064,Closed,Article,"Gee, Michelle L.; Tong, Penger; Israelachvili, Jacob N.; Witten, Thomas A.",,"Gee, Michelle L. (); Tong, Penger (); Israelachvili, Jacob N. (); Witten, Thomas A. ()",9,0,,,,https://app.dimensions.ai/details/publication/pub.1058037504,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
434,100,pub.1046429081,10.1557/jmr.1990.2223,,,Adhesion and short-range forces between surfaces. Part I: New apparatus for surface force measurements,Journal of Materials Research,,,1990-10,1990,5,10,2223-2231,Closed,Article,"Israelachvili, Jacob N.; McGuiggan, Patricia M.",,"Israelachvili, Jacob N. (University of California, Santa Barbara); McGuiggan, Patricia M. (University of California, Santa Barbara)",141,6,,,,https://app.dimensions.ai/details/publication/pub.1046429081,0204 Condensed Matter Physics; 09 Engineering; 0912 Materials Engineering; 0913 Mechanical Engineering; 02 Physical Sciences,0204 Condensed Matter Physics,09 Engineering,0912 Materials Engineering,0913 Mechanical Engineering,02 Physical Sciences
435,100,pub.1018088944,10.1557/jmr.1990.2232,,,Adhesion and short-range forces between surfaces. Part II: Effects of surface lattice mismatch,Journal of Materials Research,,,1990-10,1990,5,10,2232-2243,Closed,Article,"McGuiggan, Patricia M.; Israelachvili, Jacob N.",,"McGuiggan, Patricia M. (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara)",69,2,,,,https://app.dimensions.ai/details/publication/pub.1018088944,0204 Condensed Matter Physics; 09 Engineering; 0912 Materials Engineering; 0913 Mechanical Engineering; 02 Physical Sciences,0204 Condensed Matter Physics,09 Engineering,0912 Materials Engineering,0913 Mechanical Engineering,02 Physical Sciences
436,200,pub.1058037078,10.1063/1.459067,,,Liquid to solidlike transitions of molecularly thin films under shear,The Journal of Chemical Physics,,,1990-08,1990,93,3,1895-1906,Closed,Article,"Gee, Michelle L.; McGuiggan, Patricia M.; Israelachvili, Jacob N.; Homola, Andrew M.",,"Gee, Michelle L. (); McGuiggan, Patricia M. (); Israelachvili, Jacob N. (); Homola, Andrew M. ()",563,22,,,,https://app.dimensions.ai/details/publication/pub.1058037078,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
437,200,pub.1056141633,10.1021/la00097a024,,,Measurements of forces involved in vesicle adhesion using freeze-fracture electron microscopy,Langmuir,,,1990-07,1990,6,7,1326-1329,Closed,Article,"Bailey, Stuart M.; Chiruvolu, Shivkumar; Israelachvili, Jacob N.; Zasadzinski, Joseph A. N.",,"Bailey, Stuart M. (); Chiruvolu, Shivkumar (); Israelachvili, Jacob N. (); Zasadzinski, Joseph A. N. ()",28,4,,,,https://app.dimensions.ai/details/publication/pub.1056141633,,,,,,
438,200,pub.1056141522,10.1021/la00094a028,,,Hydration or steric forces between amphiphilic surfaces?,Langmuir,,,1990-04,1990,6,4,873-876,Closed,Article,"Israelachvili, Jacob N.; Wennerstroem, Haakan",,"Israelachvili, Jacob N. (); Wennerstroem, Haakan ()",202,9,,,,https://app.dimensions.ai/details/publication/pub.1056141522,,,,,,
439,100,pub.1045923715,10.1016/0043-1648(90)90072-i,,,Fundamental experimental studies in tribology: The transition from “interfacial” friction of undamaged molecularly smooth surfaces to “normal” friction with wear,Wear,,,1990-02,1990,136,1,65-83,Closed,Article,"Homola, Andrew M.; Israelachvili, Jacob N.; McGuiggan, Patricia M.; Gee, Michelle L.",,"Homola, Andrew M. (IBM Research - Almaden); Israelachvili, Jacob N. (University of California, Santa Barbara); McGuiggan, Patricia M. (University of California, Santa Barbara); Gee, Michelle L. (University of California, Santa Barbara)",237,17,,,,https://app.dimensions.ai/details/publication/pub.1045923715,0912 Materials Engineering; 09 Engineering; 0913 Mechanical Engineering,0912 Materials Engineering,09 Engineering,0913 Mechanical Engineering,,
440,100,pub.1041879783,10.1039/ft9908604049,,,Interactions of surfactant monolayers across hydrocarbon liquids,Physical Chemistry Chemical Physics,,,1990,1990,86,24,4049-4058,Closed,Article,"Gee, Michelle L.; Israelachvili, Jacob N.",,"Gee, Michelle L. (); Israelachvili, Jacob N. ()",76,2,,,,https://app.dimensions.ai/details/publication/pub.1041879783,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
441,400,pub.1062562627,10.1126/science.2814514,2814514,,Molecular mechanisms and forces involved in the adhesion and fusion of amphiphilic bilayers,Science,,"Chemical Phenomena; Chemistry; Lipid Bilayers; Models, Biological; Models, Structural; Phosphatidylcholines; Phosphatidylethanolamines",11/17/89,1989,246,4932,919-922,Closed,Article,"Helm, CA; Israelachvili, JN; McGuiggan, PM",,"Helm, CA (University of California, Santa Barbara); Israelachvili, JN (University of California, Santa Barbara); McGuiggan, PM (University of California, Santa Barbara)",183,11,3.41,,,https://app.dimensions.ai/details/publication/pub.1062562627,02 Physical Sciences; 03 Chemical Sciences; 0299 Other Physical Sciences; 0306 Physical Chemistry (incl. Structural),02 Physical Sciences,03 Chemical Sciences,0299 Other Physical Sciences,0306 Physical Chemistry (incl. Structural),
442,200,pub.1056183425,10.1021/ma00201a019,,,Forces between mica surfaces across hydrocarbon liquids: effects of branching and polydispersity,Macromolecules,,,1989-11,1989,22,11,4247-4253,Closed,Article,"Israelachvili, Jacob N.; Kott, Stephen J.; Gee, Michelle L.; Witten, Thomas A.",,"Israelachvili, Jacob N. (); Kott, Stephen J. (); Gee, Michelle L. (); Witten, Thomas A. ()",58,1,,,,https://app.dimensions.ai/details/publication/pub.1056183425,09 Engineering; 03 Chemical Sciences,09 Engineering,03 Chemical Sciences,,,
443,100,pub.1062115580,10.1115/1.3261994,,,Measurements of and Relation Between the Adhesion and Friction of Two Surfaces Separated by Molecularly Thin Liquid Films,Journal of Tribology,,,10/1/89,1989,111,4,675-682,Closed,Article,"Homola, A. M.; Israelachvili, J. N.; Gee, M. L.; McGuiggan, P. M.",,"Homola, A. M. (IBM Research - Almaden); Israelachvili, J. N. (University of California, Santa Barbara); Gee, M. L. (University of California, Santa Barbara); McGuiggan, P. M. (University of California, Santa Barbara)",228,5,,,,https://app.dimensions.ai/details/publication/pub.1062115580,0912 Materials Engineering; 09 Engineering; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,09 Engineering,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
444,200,pub.1055666728,10.1021/j100357a008,,,Effects of humidity on the structure and adhesion of amphiphilic monolayers on mica,The Journal of Physical Chemistry,,,1989-10,1989,93,20,7057-7059,Closed,Article,"Chen, Y. L. E.; Gee, M. L.; Helm, C. A.; Israelachvili, J. N.; McGuiggan, P. M.",,"Chen, Y. L. E. (); Gee, M. L. (); Helm, C. A. (); Israelachvili, J. N. (); McGuiggan, P. M. ()",34,1,,,,https://app.dimensions.ai/details/publication/pub.1055666728,,,,,,
445,200,pub.1056141246,10.1021/la00088a040,,,Entropic orientational forces between surfaces in anisotropic liquids,Langmuir,,,1989-07,1989,5,4,1111-1113,Closed,Article,"Israelachvili, Jacob N.; Kott, Stephen J.; Gee, Michelle L.; Witten, Thomas A.",,"Israelachvili, Jacob N. (); Kott, Stephen J. (); Gee, Michelle L. (); Witten, Thomas A. ()",14,0,,,,https://app.dimensions.ai/details/publication/pub.1056141246,,,,,,
446,300,pub.1060548692,10.1103/physrevb.39.11750,9948006,,Experimental study of phase separation in films of molecular dimensions,Physical Review B,,,1989-06,1989,39,16,11750-11754,Closed,Article,"Christenson, Hugo K.; Fang, Jiafu; Israelachvili, Jacob N.",,"Christenson, Hugo K. (Australian National University); Fang, Jiafu (Australian National University); Israelachvili, Jacob N. (Australian National University)",32,0,0.27,,,https://app.dimensions.ai/details/publication/pub.1060548692,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
447,100,pub.1033714349,10.1016/0021-9797(89)90459-1,,,Shear properties and structure of simple liquids in molecularly thin films: The transition from bulk (continuum) to molecular behavior with decreasing film thickness,Journal of Colloid and Interface Science,,,1989-05,1989,129,2,461-467,Closed,Article,"Israelachvili, Jacob N; Kott, Stephen J","Israelachvili, Jacob N","Israelachvili, Jacob N (University of California, Santa Barbara); Kott, Stephen J (University of California, Santa Barbara)",48,2,,,,https://app.dimensions.ai/details/publication/pub.1033714349,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
448,100,pub.1027566710,10.1002/polb.1989.090270302,,,Measurements of dynamic interactions in thin films of polymer melts: The transition from simple to complex behavior,Journal of Polymer Science Part B Polymer Physics,,,1989-02,1989,27,3,489-502,Closed,Article,"Israelachvili, Jacob N.; Kott, Stephen J.; Fetters, Lewis J.",,"Israelachvili, Jacob N. (University of California, Santa Barbara); Kott, Stephen J. (University of California, Santa Barbara); Fetters, Lewis J. (ExxonMobil (United States))",48,0,,,,https://app.dimensions.ai/details/publication/pub.1027566710,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
449,200,pub.1056141075,10.1021/la00085a059,,,Contact angles on chemically heterogeneous surfaces,Langmuir,,,1989-01,1989,5,1,288-289,Closed,Article,"Israelachvili, Jacob N.; Gee, Michelle L.",,"Israelachvili, Jacob N. (); Gee, Michelle L. ()",144,9,,,,https://app.dimensions.ai/details/publication/pub.1056141075,,,,,,
450,200,pub.1048470043,10.1016/s0006-3495(88)83055-8,3233273,PMC1330430,Comparison of forces measured between phosphatidylcholine bilayers,Biophysical Journal,,"Lipid Bilayers; Models, Theoretical; Phosphatidylcholines; Structure-Activity Relationship",1988-12,1988,54,6,1185-1186,All OA; Gold,Article,"Horn, R.G.; Israelachvili, J.N.; Marra, J.; Parsegian, V.A.; Rand, R.P.",,"Horn, R.G. (); Israelachvili, J.N. (); Marra, J. (); Parsegian, V.A. (); Rand, R.P. ()",30,1,0.66,,https://doi.org/10.1016/s0006-3495(88)83055-8,https://app.dimensions.ai/details/publication/pub.1048470043,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
451,200,pub.1012808391,10.1016/0021-9797(88)90044-6,,,Concerning the measurement of fluid viscosity between curved surfaces,Journal of Colloid and Interface Science,,,1988-10,1988,125,2,739-740,Closed,Article,"Van Alsten, John; Granick, Steve; Israelachvili, Jacob N","Granick, Steve","Van Alsten, John (University of Illinois at Urbana Champaign); Granick, Steve (University of Illinois at Urbana Champaign); Israelachvili, Jacob N (University of California, Santa Barbara)",13,0,,,,https://app.dimensions.ai/details/publication/pub.1012808391,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
452,100,pub.1034354070,10.1016/0009-2614(88)80365-8,,,Adhesion of two solid surfaces in water: Effect of rotational mismatch of surface lattices,Chemical Physics Letters,,,1988-09,1988,149,6-May,469-472,Closed,Article,"McGuiggan, P.M.; Israelachvili, J.N.",,"McGuiggan, P.M. (University of California, Santa Barbara); Israelachvili, J.N. (University of California, Santa Barbara)",15,1,,,,https://app.dimensions.ai/details/publication/pub.1034354070,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
453,400,pub.1062536570,10.1126/science.241.4867.795,17829174,,Forces Between Surfaces in Liquids,Science,,,8/12/88,1988,241,4867,795-800,Closed,Article,"Israelachvili, Jacob N.; McGuiggan, Patricia M.",,"Israelachvili, Jacob N. (University of California, Santa Barbara); McGuiggan, Patricia M. (University of California, Santa Barbara)",316,20,5.41,,,https://app.dimensions.ai/details/publication/pub.1062536570,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
454,200,pub.1058032383,10.1063/1.454367,,,Liquid structuring at solid interfaces as probed by direct force measurements: The transition from simple to complex liquids and polymer fluids,The Journal of Chemical Physics,,,1988-06,1988,88,11,7162-7166,Closed,Article,"Israelachvili, Jacob N.; Kott, Stephen J.",,"Israelachvili, Jacob N. (); Kott, Stephen J. ()",90,0,,,,https://app.dimensions.ai/details/publication/pub.1058032383,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
455,400,pub.1062535988,10.1126/science.240.4849.189,17800916,,Dynamic Properties of Molecularly Thin Liquid Films,Science,,,4/8/88,1988,240,4849,189-191,Closed,Article,"ISRAELACHVILI, JACOB N.; MCGUIGGAN, PATRICIA M.; HOMOLA, ANDREW M.",,"ISRAELACHVILI, JACOB N. (University of California, Santa Barbara); MCGUIGGAN, PATRICIA M. (University of California, Santa Barbara); HOMOLA, ANDREW M. (IBM Research - Almaden)",485,21,4.56,,,https://app.dimensions.ai/details/publication/pub.1062535988,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
456,100,pub.1067911978,10.1557/proc-138-349,,,Measurements of the Effect of Angular Lattice Mismatch on the Adhesion Energy Between two Mica Surfaces in Water,MRS Advances,,,1988-01,1988,138,,349,Closed,Article,"Mcguiggan, Patricia M.; Israelachvili, Jacob N.",,"Mcguiggan, Patricia M. (); Israelachvili, Jacob N. ()",13,3,,,,https://app.dimensions.ai/details/publication/pub.1067911978,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
457,100,pub.1067912200,10.1557/proc-140-79,,,Measurements of Static and Dynamic Interactions of Molecularly Thin Liquid Films Between Solid Surfaces,MRS Advances,,,1988,1988,140,,79,Closed,Article,"McGuiggan, Patricia M.; Israelachvili, Jacob N.; Gee, Michelle L.; Homola, Andrew M.",,"McGuiggan, Patricia M. (); Israelachvili, Jacob N. (); Gee, Michelle L. (); Homola, Andrew M. ()",12,0,,,,https://app.dimensions.ai/details/publication/pub.1067912200,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
458,200,pub.1011538884,10.1002/chin.198747056,,,ChemInform Abstract: Structuring in Liquid Alkanes Between Solid Surfaces: Force Measurements and Mean‐Field Theory,ChemInform,,,11/24/87,1987,18,47,,Closed,Article,"CHRISTENSON, H. K.; GRUEN, D. W. R.; HORN, R. G.; ISRAELACHVILI, J. N.",,"CHRISTENSON, H. K. (Australian National University); GRUEN, D. W. R. (Australian National University); HORN, R. G. (Australian National University); ISRAELACHVILI, J. N. (Australian National University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1011538884,,,,,,
459,100,pub.1019373461,10.1016/0021-9797(87)90259-1,,,Direct measurements of interactions and viscosity of crude oils in thin films between model clay surfaces,Journal of Colloid and Interface Science,,,1987-09,1987,119,1,194-202,Closed,Article,"Christenson, Hugo K; Israelachvili, Jacob N",,"Christenson, Hugo K (Australian National University); Israelachvili, Jacob N (Australian National University)",22,0,,,,https://app.dimensions.ai/details/publication/pub.1019373461,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
