,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Bradley J Cardinale. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,400,pub.1023844625,10.1073/pnas.0805962105,18971334,PMC2579369,Evolutionary history and the effect of biodiversity on plant productivity,Proceedings of the National Academy of Sciences,,Biodiversity; Biological Evolution; Biomass; Ecosystem; Likelihood Functions; Phylogeny; Plants; Poaceae; Population Dynamics; Species Specificity,11/4/08,2008,105,44,17012-17017,All OA; Gold,Article,"Cadotte, Marc W.; Cardinale, Bradley J.; Oakley, Todd H.",,"Cadotte, Marc W. (University of California, Santa Barbara; University of Toronto); Cardinale, Bradley J. (University of California, Santa Barbara); Oakley, Todd H. (University of California, Santa Barbara)",349,74,5.12,36.64,http://www.pnas.org/content/105/44/17012.full.pdf,https://app.dimensions.ai/details/publication/pub.1023844625,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 0603 Evolutionary Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,0603 Evolutionary Biology,05 Environmental Sciences
91,400,pub.1040447408,10.1371/journal.pone.0002825,18665221,PMC2467485,Effects of Algal Diversity on the Production of Biomass in Homogeneous and Heterogeneous Nutrient Environments: A Microcosm Experiment,PLoS ONE,,"Animals; Biodiversity; Biomass; Chlorophyll; Ecology; Ecosystem; Environment; Eukaryota; Genetic Variation; Models, Biological; Models, Statistical; Nitrogen; Phosphorus; Population Dynamics; Species Specificity",7/30/08,2008,3,7,e2825,All OA; Gold,Article,"Weis, Jerome J.; Madrigal, Daniel S.; Cardinale, Bradley J.",,"Weis, Jerome J. (University of California, Santa Barbara); Madrigal, Daniel S. (University of California, Santa Barbara); Cardinale, Bradley J. (University of California, Santa Barbara)",50,8,0.69,5.34,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0002825&type=printable,https://app.dimensions.ai/details/publication/pub.1040447408,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
92,400,pub.1032012216,10.1073/pnas.0709069104,17991772,PMC2084307,Impacts of plant diversity on biomass production increase through time because of species complementarity,Proceedings of the National Academy of Sciences,,Biomass; Plants; Species Specificity,11/13/07,2007,104,46,18123-18128,"All OA; Green, Published",Article,"Cardinale, Bradley J.; Wright, Justin P.; Cadotte, Marc W.; Carroll, Ian T.; Hector, Andy; Srivastava, Diane S.; Loreau, Michel; Weis, Jerome J.",,"Cardinale, Bradley J. (University of California, Santa Barbara); Wright, Justin P. (Duke University); Cadotte, Marc W. (University of California, Santa Barbara); Carroll, Ian T. (University of California, Santa Barbara); Hector, Andy (University of Zurich); Srivastava, Diane S. (University of British Columbia); Loreau, Michel (McGill University); Weis, Jerome J. (University of California, Santa Barbara)",695,156,8.44,67.1,http://europepmc.org/articles/pmc2084307?pdf=render,https://app.dimensions.ai/details/publication/pub.1032012216,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
93,400,pub.1058791974,10.1086/518950,17874372,,Does species richness drive community production or vice versa? Reconciling historical and contemporary paradigms in competitive communities.,The American Naturalist,,"Biodiversity; Biomass; Ecosystem; Models, Biological; Plant Development",2007-08,2007,170,2,207-20,Closed,Article,"Gross, Kevin; Cardinale, Bradley J",,"Gross, Kevin (North Carolina State University); Cardinale, Bradley J ()",82,13,0.66,6.79,,https://app.dimensions.ai/details/publication/pub.1058791974,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
94,400,pub.1039961010,10.1111/j.1461-0248.2007.01037.x,17498151,,The functional role of biodiversity in ecosystems: incorporating trophic complexity,Ecology Letters,,Ecosystem; Species Specificity,2007-06,2007,10,6,522-538,All OA; Gold,Article,"Duffy, J. Emmett; Cardinale, Bradley J.; France, Kristin E.; McIntyre, Peter B.; Thébault, Elisa; Loreau, Michel",,"Duffy, J. Emmett (William & Mary); Cardinale, Bradley J. (University of California, Santa Barbara); France, Kristin E. (William & Mary); McIntyre, Peter B. (Wright State University); Thébault, Elisa (Imperial College London); Loreau, Michel (McGill University)",524,110,7.58,50.59,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1461-0248.2007.01037.x,https://app.dimensions.ai/details/publication/pub.1039961010,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
95,400,pub.1017903186,10.1890/06-0943,17536709,,EFFECTS OF SPECIES DIVERSITY ON COMMUNITY BIOMASS PRODUCTION CHANGE OVER THE COURSE OF SUCCESSION,Ecology,,"Animals; Biodiversity; Biomass; Ecosystem; Eukaryota; Models, Biological; Population Dynamics; Population Growth; Species Specificity",2007-04,2007,88,4,929-939,Closed,Article,"Weis, Jerome J.; Cardinale, Bradley J.; Forshay, Kenneth J.; Ives, Anthony R.",,"Weis, Jerome J. (University of California, Santa Barbara; University of Wisconsin System); Cardinale, Bradley J. (University of California, Santa Barbara; University of Wisconsin System); Forshay, Kenneth J. (University of Wisconsin System); Ives, Anthony R. (University of Wisconsin System)",72,4,0.85,5.96,,https://app.dimensions.ai/details/publication/pub.1017903186,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
96,100,pub.1012579994,10.1007/s11104-007-9209-5,,,"Impacts of tree species diversity on litter decomposition in northern temperate forests of Wisconsin, USA: a multi-site experiment along a latitudinal gradient",Plant and Soil,,,2007-03,2007,292,2-Jan,147-159,Closed,Article,"Madritch, Michael D.; Cardinale, Bradley J.","Madritch, Michael D.","Madritch, Michael D. (University of Wisconsin–Madison); Cardinale, Bradley J. (University of California, Santa Barbara)",49,6,,4.06,,https://app.dimensions.ai/details/publication/pub.1012579994,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
97,400,pub.1006138599,10.1007/s00442-006-0486-0,16858585,,"Learning by the parasitoid wasp, Aphidius ervi (Hymenoptera: Braconidae), alters individual fixed preferences for pea aphid color morphs",Oecologia,,"Animals; Aphids; Color; Host-Parasite Interactions; Learning; Models, Biological; Population Dynamics; Wasps; Wisconsin",2006-11,2006,150,1,172-179,Closed,Article,"Langley, Shaun A.; Tilmon, Kelley J.; Cardinale, Bradley J.; Ives, Anthony R.","Langley, Shaun A.","Langley, Shaun A. (University of Wisconsin System; Michigan State University); Tilmon, Kelley J. (University of Wisconsin System; South Dakota State University); Cardinale, Bradley J. (University of Wisconsin System; University of California, Santa Barbara); Ives, Anthony R. (University of Wisconsin System)",33,6,0.38,2.16,,https://app.dimensions.ai/details/publication/pub.1006138599,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
98,400,pub.1009873707,10.1038/nature05202,17066035,,Effects of biodiversity on the functioning of trophic groups and ecosystems,Nature,,"Animals; Biodiversity; Biomass; Ecosystem; Extinction, Biological; Food Chain; Models, Biological; Population Density",2006-10,2006,443,7114,989-992,Closed,Article,"Cardinale, Bradley J.; Srivastava, Diane S.; Emmett Duffy, J.; Wright, Justin P.; Downing, Amy L.; Sankaran, Mahesh; Jouseau, Claire","Cardinale, Bradley J.","Cardinale, Bradley J. (University of California, Santa Barbara); Srivastava, Diane S. (University of British Columbia); Emmett Duffy, J. (William & Mary); Wright, Justin P. (Duke University); Downing, Amy L. (Ohio Wesleyan University); Sankaran, Mahesh (University of Leeds); Jouseau, Claire (Columbia University)",1060,170,13.62,101.39,,https://app.dimensions.ai/details/publication/pub.1009873707,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
99,100,pub.1015824233,10.1111/j.1365-2745.2006.01107.x,,,Geographic patterns of diversity in streams are predicted by a multivariate model of disturbance and productivity,Journal of Ecology,,,2006-05,2006,94,3,609-618,"All OA; Green, Published",Article,"CARDINALE, BRADLEY J.; HILLEBRAND, HELMUT; CHARLES, DONALD F.",,"CARDINALE, BRADLEY J. (); HILLEBRAND, HELMUT (); CHARLES, DONALD F. ()",58,5,,4.6,https://escholarship.org/content/qt51p6j5hg/qt51p6j5hg.pdf?t=lnpyy5,https://app.dimensions.ai/details/publication/pub.1015824233,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
100,400,pub.1051013393,10.1111/j.1365-2656.2006.01070.x,16638002,,Biodiversity as both a cause and consequence of resource availability: a study of reciprocal causality in a predator–prey system,Journal of Animal Ecology,,Animals; Aphids; Biodiversity; Biomass; Coleoptera; Ecosystem; Food Chain; Population Density; Population Dynamics; Population Growth; Predatory Behavior; Species Specificity,2006-03,2006,75,2,497-505,"All OA; Green, Published",Article,"CARDINALE, BRADLEY J.; WEIS, JEROME J.; FORBES, ANDY E.; TILMON, KELLEY J.; IVES, ANTHONY R.",,"CARDINALE, BRADLEY J. (University of California, Santa Barbara; University of Wisconsin–Madison); WEIS, JEROME J. (University of California, Santa Barbara; University of Wisconsin–Madison); FORBES, ANDY E. (University of Wisconsin–Madison); TILMON, KELLEY J. (University of Wisconsin–Madison; South Dakota State University); IVES, ANTHONY R. (University of Wisconsin–Madison)",65,9,0.94,6.22,https://escholarship.org/content/qt5651g78v/qt5651g78v.pdf?t=lnpyyk,https://app.dimensions.ai/details/publication/pub.1051013393,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
101,100,pub.1026321660,10.1111/j.1461-0248.2005.00733.x,,,The functional consequences of random vs. ordered species extinctions,Ecology Letters,,,2005-04,2005,8,4,409-418,Closed,Article,"Gross, Kevin; Cardinale, Bradley J.",,"Gross, Kevin (North Carolina State University); Cardinale, Bradley J. (University of California, Santa Barbara; University of Wisconsin–Madison)",52,7,,4.57,,https://app.dimensions.ai/details/publication/pub.1026321660,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
102,100,pub.1031050611,10.1890/03-0727,,,DIVERSITY–PRODUCTIVITY RELATIONSHIPS IN STREAMS VARY AS A FUNCTION OF THE NATURAL DISTURBANCE REGIME,Ecology,,,2005-03,2005,86,3,716-726,"All OA; Green, Accepted & Submitted",Article,"Cardinale, Bradley J.; Palmer, Margaret A.; Ives, Anthony R.; Brooks, S. S.",,"Cardinale, Bradley J. (University of California, Santa Barbara; University of Maryland, College Park); Palmer, Margaret A. (University of California, Santa Barbara; University of Maryland, College Park); Ives, Anthony R. (University of Wisconsin System); Brooks, S. S. (University of California, Santa Barbara; Monash University)",64,4,,5.63,https://escholarship.org/content/qt7d54k5x8/qt7d54k5x8.pdf?t=lnr1by,https://app.dimensions.ai/details/publication/pub.1031050611,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
103,100,pub.1001397092,10.1111/j.0030-1299.2005.13418.x,,,Reciprocal effects of host plant and natural enemy diversity on herbivore suppression: an empirical study of a model tritrophic system,Oikos,,,2005-02,2005,108,2,275-282,Closed,Article,"Aquilino, Kristin M.; Cardinale, Bradley J.; Ives, Anthony R.",,"Aquilino, Kristin M. (University of Wisconsin–Madison); Cardinale, Bradley J. (University of Wisconsin–Madison); Ives, Anthony R. (University of Wisconsin–Madison)",73,7,,5.31,,https://app.dimensions.ai/details/publication/pub.1001397092,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
104,100,pub.1020583900,10.1111/j.1461-0248.2004.00698.x,,,"A synthesis of subdisciplines: predator–prey interactions, and biodiversity and ecosystem functioning",Ecology Letters,,,2005-01,2005,8,1,102-116,All OA; Gold,Article,"Ives, Anthony R.; Cardinale, Bradley J.; Snyder, William E.",,"Ives, Anthony R. (University of Wisconsin–Madison); Cardinale, Bradley J. (University of Wisconsin–Madison; University of California, Santa Barbara); Snyder, William E. (Washington State University)",254,32,,22.34,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1461-0248.2004.00698.x,https://app.dimensions.ai/details/publication/pub.1020583900,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
105,400,pub.1051588815,10.1126/science.1103960,15539601,,Extinction and Ecosystem Function in the Marine Benthos,Science,,"Animals; Biodiversity; Biomass; Body Size; Computer Simulation; Echinodermata; Ecosystem; Geologic Sediments; Invertebrates; Ireland; Marine Biology; Models, Biological; Population Density; Population Dynamics; Probability; Seawater; Statistics as Topic",11/12/04,2004,306,5699,1177-1180,Closed,Article,"Solan, Martin; Cardinale, Bradley J.; Downing, Amy L.; Engelhardt, Katharina A. M.; Ruesink, Jennifer L.; Srivastava, Diane S.",,"Solan, Martin (University of Aberdeen); Cardinale, Bradley J. (University of California, Santa Barbara); Downing, Amy L. (Ohio Wesleyan University); Engelhardt, Katharina A. M. (University of Maryland Center For Environmental Sciences); Ruesink, Jennifer L. (Washington University in St. Louis); Srivastava, Diane S. (University of British Columbia)",420,73,3.97,41.52,,https://app.dimensions.ai/details/publication/pub.1051588815,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 0603 Evolutionary Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,0603 Evolutionary Biology,05 Environmental Sciences
106,400,pub.1017367759,10.1038/nature02515,15141210,,Food-web interactions govern the resistance of communities after non-random extinctions,Nature,,"Animals; Biodiversity; Food; Food Chain; Models, Biological; Plants; Predatory Behavior; Species Specificity",2004-05,2004,429,6988,174-177,Closed,Article,"Ives, Anthony R.; Cardinale, Bradley J.","Ives, Anthony R.","Ives, Anthony R. (University of Wisconsin–Madison); Cardinale, Bradley J. (University of Wisconsin–Madison)",154,15,1.91,13.21,,https://app.dimensions.ai/details/publication/pub.1017367759,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
107,100,pub.1019485205,10.1111/j.0030-1299.2004.13254.x,,,Effects of species diversity on the primary productivity of ecosystems: extending our spatial and temporal scales of inference,Oikos,,,2004-03,2004,104,3,437-450,Closed,Article,"Cardinale, Bradley J.; Ives, Anthony R.; Inchausti, Pablo",,"Cardinale, Bradley J. (University of Wisconsin–Madison); Ives, Anthony R. (University of Wisconsin–Madison); Inchausti, Pablo (University of Rennes 1)",128,10,,9.09,,https://app.dimensions.ai/details/publication/pub.1019485205,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
108,100,pub.1008198596,10.1111/j.1461-0248.2004.00570.x,,,Consumer effects decline with prey diversity,Ecology Letters,,,2004-03,2004,7,3,192-201,Closed,Article,"Hillebrand, Helmut; Cardinale, Bradley J.",,"Hillebrand, Helmut (Kiel University); Cardinale, Bradley J. (University of Wisconsin–Madison)",121,8,,8.59,,https://app.dimensions.ai/details/publication/pub.1008198596,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
109,100,pub.1073096114,10.5751/es-00607-090114,,,Contemporary Visions of Progress in Ecology and Thoughts for the Future,Ecology and Society,,,2004,2004,9,1,,All OA; Gold,Article,"Starzomski, Brian; Cardinale, Bradley; Dunne, Jennifer; Hillery, Melinda; Holt, Carrie; Krawchuk, Meg; Lage, Melissa; McMahon, Sean; Melnychuk, Michael",,"Starzomski, Brian (); Cardinale, Bradley (); Dunne, Jennifer (); Hillery, Melinda (); Holt, Carrie (); Krawchuk, Meg (); Lage, Melissa (); McMahon, Sean (); Melnychuk, Michael ()",14,2,,0.99,https://www.ecologyandsociety.org/vol9/iss1/art14/print.pdf,https://app.dimensions.ai/details/publication/pub.1073096114,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
110,100,pub.1037498533,10.1641/0006-3568(2004)054[0767:trobit]2.0.co;2,,,The Role of Biodiversity in the Functioning of Freshwater and Marine Benthic Ecosystems,BioScience,,,2004,2004,54,8,767-775,All OA; Gold,Article,"COVICH, ALAN P.; AUSTEN, MELANIE C.; BRLOCHER, FELIX; CHAUVET, ERIC; CARDINALE, BRADLEY J.; BILES, CATHERINE L.; INCHAUSTI, PABLO; DANGLES, OLIVIER; SOLAN, MARTIN; GESSNER, MARK O.; STATZNER, BERNHARD; MOSS, BRIAN",,"COVICH, ALAN P. (); AUSTEN, MELANIE C. (); BRLOCHER, FELIX (); CHAUVET, ERIC (); CARDINALE, BRADLEY J. (); BILES, CATHERINE L. (); INCHAUSTI, PABLO (); DANGLES, OLIVIER (); SOLAN, MARTIN (); GESSNER, MARK O. (); STATZNER, BERNHARD (); MOSS, BRIAN ()",188,23,,18.06,https://academic.oup.com/bioscience/article-pdf/54/8/767/26895934/54-8-767.pdf,https://app.dimensions.ai/details/publication/pub.1037498533,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
111,100,pub.1048847262,10.1046/j.1461-0248.2003.00508.x,,,Biodiversity and biocontrol: emergent impacts of a multi‐enemy assemblage on pest suppression and crop yield in an agroecosystem,Ecology Letters,,,2003-09,2003,6,9,857-865,Closed,Article,"Cardinale, Bradley J.; Harvey, Chad T.; Gross, Kevin; Ives, Anthony R.",,"Cardinale, Bradley J. (University of Wisconsin–Madison); Harvey, Chad T. (University of Wisconsin–Madison); Gross, Kevin (University of Wisconsin–Madison); Ives, Anthony R. (University of Wisconsin–Madison)",338,41,,24.68,,https://app.dimensions.ai/details/publication/pub.1048847262,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
112,100,pub.1000877627,10.1046/j.1526-100x.2002.01042.x,,,Does Facilitation of Faunal Recruitment Benefit Ecosystem Restoration? An Experimental Study of Invertebrate Assemblages in Wetland Mesocosms,Restoration Ecology,,,2002-12,2002,10,4,617-626,Closed,Article,"Brady, Valerie J.; Cardinale, Bradley J.; Gathman, Joseph P.; Burton, Thomas M.",,"Brady, Valerie J. (); Cardinale, Bradley J. (); Gathman, Joseph P. (); Burton, Thomas M. ()",27,1,,2.39,,https://app.dimensions.ai/details/publication/pub.1000877627,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
113,200,pub.1070192166,10.2307/3071774,,,Disturbance Moderates Biodiversity-Ecosystem Function Relationships: Experimental Evidence from Caddisflies in Stream Mesocosms,Ecology,,,2002-07,2002,83,7,1915,Closed,Article,"Cardinale, Bradley J.; Palmer, Margaret A.",,"Cardinale, Bradley J. (); Palmer, Margaret A. ()",4,0,,0.45,,https://app.dimensions.ai/details/publication/pub.1070192166,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
114,100,pub.1030916487,10.1890/0012-9658(2002)083[1915:dmbefr]2.0.co;2,,,DISTURBANCE MODERATES BIODIVERSITY–ECOSYSTEM FUNCTION RELATIONSHIPS: EXPERIMENTAL EVIDENCE FROM CADDISFLIES IN STREAM MESOCOSMS,Ecology,,,2002-07,2002,83,7,1915-1927,All OA; Gold,Article,"Cardinale, Bradley J.; Palmer, Margaret A.",,"Cardinale, Bradley J. (University of Maryland, College Park); Palmer, Margaret A. (University of Maryland, College Park)",85,7,,7.52,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/0012-9658%282002%29083%5B1915%3ADMBEFR%5D2.0.CO%3B2,https://app.dimensions.ai/details/publication/pub.1030916487,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
115,100,pub.1003701732,10.1890/0012-9658(2002)083[0412:tiosho]2.0.co;2,,,THE INFLUENCE OF SUBSTRATE HETEROGENEITY ON BIOFILM METABOLISM IN A STREAM ECOSYSTEM,Ecology,,,2002-02,2002,83,2,412-422,Closed,Article,"Cardinale, Bradley J.; Palmer, Margaret A.; Swan, Christopher M.; Brooks, Shane; Poff, N. LeRoy",,"Cardinale, Bradley J. (University of Maryland, College Park); Palmer, Margaret A. (University of Maryland, College Park); Swan, Christopher M. (University of Maryland, College Park); Brooks, Shane (University of Maryland, College Park); Poff, N. LeRoy (Colorado State University)",123,15,,10.88,,https://app.dimensions.ai/details/publication/pub.1003701732,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
116,400,pub.1009973425,10.1038/415426a,11807553,,Species diversity enhances ecosystem functioning through interspecific facilitation,Nature,,"Animals; Ecosystem; Fresh Water; Genetic Variation; Insecta; Larva; Models, Biological; Species Specificity",2002-01,2002,415,6870,426-429,Closed,Article,"Cardinale, Bradley J.; Palmer, Margaret A.; Collins, Scott L.","Cardinale, Bradley J.","Cardinale, Bradley J. (University of Maryland, College Park); Palmer, Margaret A. (University of Maryland, College Park); Collins, Scott L. (University of Maryland, College Park)",481,71,4.56,42.54,,https://app.dimensions.ai/details/publication/pub.1009973425,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
117,200,pub.1093116749,10.1080/03680770.1998.11902467,,,"Invertebrate communities of Great Lakes' coastal wetlands, Saginaw Bay, Lake Huron",SIL Proceedings 1922-2010,,,2001-09,2001,27,6,3440-3443,Closed,Article,"Stricker, C. A.; Burton, T. M.; Brady, V. J.; Cardinale, B. J.; Gathman, J. P.",,"Stricker, C. A. (); Burton, T. M. (); Brady, V. J. (); Cardinale, B. J. (); Gathman, J. P. ()",2,0,,,,https://app.dimensions.ai/details/publication/pub.1093116749,,,,,,
118,100,pub.1028631561,10.1023/a:1011917900068,,,The influence of initial colonization by hydropsychid caddisfly larvae on the development of stream invertebrate assemblages,Hydrobiologia,,,2001-07,2001,455,3-Jan,19-27,Closed,Article,"Cardinale, Bradley J.; Smith, Christopher M.; Palmer, Margaret A.",,"Cardinale, Bradley J. (); Smith, Christopher M. (); Palmer, Margaret A. ()",12,2,,0.96,,https://app.dimensions.ai/details/publication/pub.1028631561,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
119,100,pub.1027342654,10.1023/a:1008447705647,,,Changes in the abundance and diversity of coastal wetland fauna from the open water/macrophyte edge towards shore,Wetlands Ecology and Management,,,1998-03,1998,6,1,59-68,Closed,Article,"Cardinale, B.J.; Brady, V.J.; Burton, T.M.",,"Cardinale, B.J. (Michigan State University); Brady, V.J. (Michigan State University); Burton, T.M. (Michigan State University)",42,3,,,,https://app.dimensions.ai/details/publication/pub.1027342654,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
120,100,pub.1050885804,10.1139/f97-138,,,The community dynamics of epiphytic midge larvae across the pelagic–littoral interface: do animals respond to changes in the abiotic environment?,Canadian Journal of Fisheries and Aquatic Sciences,,,1997-10,1997,54,10,2314-2322,Closed,Article,"Cardinale, B J; Burton, T M; Brady, V J",,"Cardinale, B J (); Burton, T M (); Brady, V J ()",29,3,,,,https://app.dimensions.ai/details/publication/pub.1050885804,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
121,100,pub.1015149716,10.4319/lo.1997.42.4.0648,,,Ecological stoichiometry of N and P in pelagic ecosystems: Comparison of lakes and oceans with emphasis on the zooplankton‐phytoplankton interaction,Limnology and Oceanography,,,1997-06,1997,42,4,648-662,"All OA; Green, Accepted & Submitted",Article,"Hassett, R. P.; Cardinale, B.; Stabler, L. B.; Elser, J. J.",,"Hassett, R. P. (Ohio University); Cardinale, B. (Ohio University); Stabler, L. B. (Arizona State University); Elser, J. J. (Arizona State University)",81,6,,,http://www.aslo.org/lo/toc/vol_42/issue_4/0648.pdf,https://app.dimensions.ai/details/publication/pub.1015149716,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
122,100,pub.1048838148,10.1016/s0380-1330(95)71069-3,,,Zebra Mussels in a Coastal Marsh: The Seasonal and Spatial Limits of Colonization,Journal of Great Lakes Research,,,1995,1995,21,4,587-593,Closed,Article,"Brady, Valerie J.; Cardinale, Bradley J.; Burton, Thomas M.",,"Brady, Valerie J. (Michigan State University); Cardinale, Bradley J. (Michigan State University); Burton, Thomas M. (Michigan State University)",16,0,,,,https://app.dimensions.ai/details/publication/pub.1048838148,09 Engineering; 0406 Physical Geography and Environmental Geoscience; 0907 Environmental Engineering; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,09 Engineering,0406 Physical Geography and Environmental Geoscience,0907 Environmental Engineering,04 Earth Sciences,05 Environmental Sciences
