,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Sadie Jane Ryan. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,100,pub.1084058638,10.1016/j.apgeog.2017.02.009,,,Population pressure and global markets drive a decade of forest cover change in Africa's Albertine Rift,Applied Geography,,,2017-04,2017,81,,52-59,All OA; Gold,Article,"Ryan, S.J.; Palace, M.W.; Hartter, J.; Diem, J.E.; Chapman, C.A.; Southworth, J.","Ryan, S.J.","Ryan, S.J. (University of Florida; SUNY Upstate Medical University; University of KwaZulu-Natal); Palace, M.W. (University of New Hampshire); Hartter, J. (University of Colorado Boulder); Diem, J.E. (Georgia State University); Chapman, C.A. (McGill University); Southworth, J. (University of Florida)",8,7,,3.66,https://doi.org/10.1016/j.apgeog.2017.02.009,https://app.dimensions.ai/details/publication/pub.1084058638,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
76,100,pub.1085107384,10.1101/113829,,,"Dengue fever and Aedes aegypti risk in the Galápagos Islands, Ecuador",bioRxiv,,,3/6/17,2017,,,113829,"All OA; Green, Published",Preprint,"Nightingale, Ryan; Lippi, Catherine A.; Ryan, Sadie J.; Borbor-Cordova, Mercy J.; B, Marilyn Cruz; Ortega, Fernando; León, Renato; Waggoner, Egan; Ibarra, Anna M Stewart",,"Nightingale, Ryan (SUNY Upstate Medical University); Lippi, Catherine A. (University of Florida); Ryan, Sadie J. (University of Florida); Borbor-Cordova, Mercy J. (Escuela Superior Politecnica del Litoral); B, Marilyn Cruz (); Ortega, Fernando (Universidad San Francisco de Quito); León, Renato (Universidad San Francisco de Quito); Waggoner, Egan (SUNY Upstate Medical University); Ibarra, Anna M Stewart (SUNY Upstate Medical University)",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2017/03/06/113829.full.pdf,https://app.dimensions.ai/details/publication/pub.1085107384,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
77,100,pub.1085113096,10.1101/112185,,,"The social and spatial ecology of dengue presence and burden during an outbreak in Guayaquil, Ecuador, 2012",bioRxiv,,,2/27/17,2017,,,112185,"All OA; Green, Published",Preprint,"Lippi, Catherine A.; Stewart-Ibarra, Anna M; Muñoz, Ángel G; Borbor-Cordova, Mercy J; Mejía, Raúl; Rivero, Keytia; Castillo, Katty; Cárdenas, Washington B.; Ryan, Sadie J.",,"Lippi, Catherine A. (University of Florida); Stewart-Ibarra, Anna M (SUNY Upstate Medical University); Muñoz, Ángel G (Princeton University); Borbor-Cordova, Mercy J (Escuela Superior Politecnica del Litoral); Mejía, Raúl (); Rivero, Keytia (); Castillo, Katty (); Cárdenas, Washington B. (Escuela Superior Politecnica del Litoral); Ryan, Sadie J. (University of Florida)",1,1,,0.53,https://www.biorxiv.org/content/biorxiv/early/2017/09/22/112185.full.pdf,https://app.dimensions.ai/details/publication/pub.1085113096,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
78,100,pub.1085110366,10.1101/110189,,,Environmental cholera (Vibrio cholerae) dynamics in an estuarine system in southern coastal Ecuador,bioRxiv,,,2/21/17,2017,,,110189,"All OA; Green, Published",Preprint,"Ryan, Sadie J.; Stewart-Ibarra, Anna M.; Ordóñez, Eunice; Chu, Winnie; Finkelstein, Julia L.; King, Christine A.; Escobar, Luis E.; Lupone, Christina; Heras, Froilan; Tauzer, Erica; Waggoner, Egan; James, Tyler G.; Cárdenas, Washington; Polhemus, Mark",,"Ryan, Sadie J. (University of Florida); Stewart-Ibarra, Anna M. (SUNY Upstate Medical University); Ordóñez, Eunice (); Chu, Winnie (Cornell University); Finkelstein, Julia L. (Cornell University); King, Christine A. (SUNY Upstate Medical University); Escobar, Luis E. (University of Minnesota System); Lupone, Christina (SUNY Upstate Medical University); Heras, Froilan (); Tauzer, Erica (SUNY Upstate Medical University); Waggoner, Egan (SUNY Upstate Medical University); James, Tyler G. (University of Florida); Cárdenas, Washington (); Polhemus, Mark (SUNY Upstate Medical University)",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2017/09/22/110189.full.pdf,https://app.dimensions.ai/details/publication/pub.1085110366,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
79,100,pub.1119332229,,,,"Phenomenological forecasting of disease incidence using heteroskedastic
  Gaussian processes: a dengue case study",arXiv,,,2/1/17,2017,,,,"All OA; Green, Accepted & Submitted",Preprint,"Johnson, Leah R.; Gramacy, Robert B.; Cohen, Jeremy; Mordecai, Erin; Murdock, Courtney; Rohr, Jason; Ryan, Sadie J.; Stewart-Ibarra, Anna M.; Weikel, Daniel",,"Johnson, Leah R. (); Gramacy, Robert B. (); Cohen, Jeremy (); Mordecai, Erin (); Murdock, Courtney (); Rohr, Jason (); Ryan, Sadie J. (); Stewart-Ibarra, Anna M. (); Weikel, Daniel ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1119332229,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
80,100,pub.1085113854,10.1101/102004,,,"The burden of dengue fever and chikungunya in southern coastal Ecuador: Epidemiology, clinical presentation, and phylogenetics from the first two years of a prospective study",bioRxiv,,,1/20/17,2017,,,102004,"All OA; Green, Published",Preprint,"Stewart-Ibarra, Anna M.; Ryan, Sadie J; Kenneson, Aileen; King, Christine A; Abbott, Mark; Barbachano-Guerrero, Arturo; Beltran-Ayala, Efrain; Borbor-Cordova, Mercy J.; Cardenas, Washington; Cueva, Cinthya; Finkelstein, Julia L.; Lupone, Christina D.; Jarman, Richard G.; Berry, Irina Maljkovic; Mehta, Saurabh; Polhemus, Mark; Silva, Mercy; Endy, Timothy P.",,"Stewart-Ibarra, Anna M. (SUNY Upstate Medical University); Ryan, Sadie J (University of Florida); Kenneson, Aileen (SUNY Upstate Medical University); King, Christine A (SUNY Upstate Medical University); Abbott, Mark (SUNY Upstate Medical University); Barbachano-Guerrero, Arturo (SUNY Upstate Medical University); Beltran-Ayala, Efrain (Universidad Tecnica de Machala); Borbor-Cordova, Mercy J. (); Cardenas, Washington (); Cueva, Cinthya (SUNY Upstate Medical University); Finkelstein, Julia L. (Cornell University); Lupone, Christina D. (SUNY Upstate Medical University); Jarman, Richard G. (United States Army Medical Research and Materiel Command); Berry, Irina Maljkovic (United States Army Medical Research and Materiel Command); Mehta, Saurabh (Cornell University); Polhemus, Mark (SUNY Upstate Medical University); Silva, Mercy (); Endy, Timothy P. (SUNY Upstate Medical University)",5,0,,2.48,https://www.biorxiv.org/content/biorxiv/early/2018/01/26/102004.full.pdf,https://app.dimensions.ai/details/publication/pub.1085113854,1117 Public Health and Health Services; 1108 Medical Microbiology; 11 Medical and Health Sciences; 1103 Clinical Sciences,1117 Public Health and Health Services,1108 Medical Microbiology,11 Medical and Health Sciences,1103 Clinical Sciences,
81,400,pub.1005044634,10.1186/s40794-016-0024-y,28883952,PMC5531027,"Knowledge, attitudes, and practices regarding dengue infection among public sector healthcare providers in Machala, Ecuador","Tropical Diseases, Travel Medicine and Vaccines",,,2016-12,2016,2,1,8,All OA; Gold,Article,"Handel, Andrew S.; Ayala, Efraín Beltrán; Borbor-Cordova, Mercy J.; Fessler, Abigail G.; Finkelstein, Julia L.; Espinoza, Roberto Xavier Robalino; Ryan, Sadie J.; Stewart-Ibarra, Anna M.","Stewart-Ibarra, Anna M.","Handel, Andrew S. (Stony Brook Children's Hospital); Ayala, Efraín Beltrán (Universidad Tecnica de Machala); Borbor-Cordova, Mercy J. (Escuela Superior Politecnica del Litoral); Fessler, Abigail G. (Cornell University); Finkelstein, Julia L. (Cornell University); Espinoza, Roberto Xavier Robalino (); Ryan, Sadie J. (University of Florida; SUNY Upstate Medical University); Stewart-Ibarra, Anna M. (University of Florida)",13,8,1,4.91,https://tdtmvjournal.biomedcentral.com/track/pdf/10.1186/s40794-016-0024-y,https://app.dimensions.ai/details/publication/pub.1005044634,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
82,400,pub.1048344034,10.1007/s13280-016-0775-8,27020689,PMC5012996,Perceptions of risk in communities near parks in an African biodiversity hotspot,Ambio,,"Adolescent; Adult; Africa, Eastern; Aged; Aged, 80 and over; Attitude; Biodiversity; Climate Change; Conservation of Natural Resources; Ecosystem; Humans; Middle Aged; Models, Theoretical; Parks, Recreational; Perception; Population Growth; Poverty Areas; Residential Facilities; Risk Assessment; Surveys and Questionnaires; Young Adult",2016-10,2016,45,6,692-705,"All OA; Green, Published",Article,"Hartter, Joel; Dowhaniuk, Nicholas; MacKenzie, Catrina A.; Ryan, Sadie J.; Diem, Jeremy E.; Palace, Michael W.; Chapman, Colin A.","Hartter, Joel","Hartter, Joel (); Dowhaniuk, Nicholas (University of New Hampshire); MacKenzie, Catrina A. (McGill University; University of Vermont); Ryan, Sadie J. (University of Florida; SUNY Upstate Medical University; SUNY College of Environmental Science and Forestry; University of KwaZulu-Natal); Diem, Jeremy E. (Georgia State University); Palace, Michael W. (University of New Hampshire); Chapman, Colin A. (McGill University; Wildlife Conservation Society)",9,6,0.61,2.77,http://europepmc.org/articles/pmc5012996?pdf=render,https://app.dimensions.ai/details/publication/pub.1048344034,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
83,100,pub.1047792139,10.1002/ecs2.1486,,,"Assessing impacts to primary productivity at the park edge in Murchison Falls Conservation Area, Uganda",Ecosphere,,,2016-10,2016,7,10,e01486,All OA; Gold,Article,"Fuda, Rebecca K.; Ryan, Sadie J.; Cohen, Jonathan B.; Hartter, Joel; Frair, Jacqueline L.",,"Fuda, Rebecca K. (SUNY College of Environmental Science and Forestry); Ryan, Sadie J. (University of Florida; University of KwaZulu-Natal); Cohen, Jonathan B. (SUNY College of Environmental Science and Forestry); Hartter, Joel (University of Colorado Boulder); Frair, Jacqueline L. (SUNY College of Environmental Science and Forestry)",5,5,,1.41,https://doi.org/10.1002/ecs2.1486,https://app.dimensions.ai/details/publication/pub.1047792139,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
84,100,pub.1019590310,10.1101/063735,,,"Detecting the impact of temperature on transmission of Zika, dengue and chikungunya using mechanistic models",bioRxiv,,,7/15/16,2016,,,63735,"All OA; Green, Published",Preprint,"Mordecai, Erin A; Cohen, Jeremy; Evans, Michelle V; Gudapati, Prithvi; Johnson, Leah R; Lippi, Catherine A.; Miazgowicz, Kerri; Murdock, Courtney C; Rohr, Jason R; Ryan, Sadie J; Savage, Van; Shocket, Marta; Ibarra, Anna Stewart; Thomas, Matthew B; Weikel, Daniel P",,"Mordecai, Erin A (Stanford University); Cohen, Jeremy (University of South Florida); Evans, Michelle V (University of Georgia); Gudapati, Prithvi (Stanford University); Johnson, Leah R (University of South Florida); Lippi, Catherine A. (University of Florida); Miazgowicz, Kerri (University of Georgia); Murdock, Courtney C (University of Georgia); Rohr, Jason R (University of South Florida); Ryan, Sadie J (University of Florida); Savage, Van (University of California Los Angeles); Shocket, Marta (Indiana University); Ibarra, Anna Stewart (SUNY Upstate Medical University); Thomas, Matthew B (Pennsylvania State University); Weikel, Daniel P (University of Michigan)",6,1,,2.27,https://www.biorxiv.org/content/early/2017/04/14/063735.full.pdf,https://app.dimensions.ai/details/publication/pub.1019590310,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
85,200,pub.1039650077,10.1371/journal.pone.0158701,27415004,PMC4945041,Welfare at Multiple Scales: Importance of Zoo Elephant Population Welfare in a World of Declining Wild Populations,PLoS ONE,,"Animal Welfare; Animals; Animals, Zoo; Conservation of Natural Resources; Ecosystem; Elephants; Population Density; Population Dynamics; Social Environment",7/14/16,2016,11,7,e0158701,All OA; Gold,Article,"Cameron, Elissa Z.; Ryan, Sadie J.",,"Cameron, Elissa Z. (University of Canterbury; University of Tasmania); Ryan, Sadie J. (University of Florida)",2,1,0,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0158701&type=printable,https://app.dimensions.ai/details/publication/pub.1039650077,,,,,,
86,400,pub.1036523290,10.1638/2015-0157.1,27468046,,REFERENCE AND BASELINE HEMATOCRIT MEASURES FOR THE THREATENED NEW ENGLAND COTTONTAIL (SYLVILAGUS TRANSITIONALIS) AND COMPARISON WITH SYMPATRIC EASTERN COTTONTAIL (SYLVILAGUS FLORIDANUS) RABBITS,Journal of Zoo and Wildlife Medicine,,Animal Distribution; Animals; Endangered Species; Hematocrit; Rabbits; Reference Values; Species Specificity,2016-06,2016,47,2,659-662,Closed,Article,"Ryan, S. J.; Gavard, E. J.; Cheeseman, A. E.; Cohen, J. B.; Whipps, C. M.",,"Ryan, S. J. (); Gavard, E. J. (); Cheeseman, A. E. (); Cohen, J. B. (); Whipps, C. M. ()",3,3,0.25,0.62,,https://app.dimensions.ai/details/publication/pub.1036523290,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
87,400,pub.1020167214,10.1890/15-0885.1,27220211,,"Hunting, food subsidies, and mesopredator release: the dynamics of crop‐raiding baboons in a managed landscape",Ecology,,"Animals; Behavior, Animal; Conservation of Natural Resources; Crops, Agricultural; Models, Biological; Papio",2016-04,2016,97,4,951-960,All OA; Gold,Article,"Taylor, Rachel A.; Ryan, Sadie J.; Brashares, Justin S.; Johnson, Leah R.",,"Taylor, Rachel A. (University of South Florida); Ryan, Sadie J. (University of Florida); Brashares, Justin S. (University of California, Berkeley); Johnson, Leah R. (University of South Florida)",10,7,0.32,2.81,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/15-0885.1,https://app.dimensions.ai/details/publication/pub.1020167214,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
88,100,pub.1026971929,10.1080/1747423x.2015.1071439,,,"Changes in vegetation persistence across global savanna landscapes, 1982–2010",Journal of Land Use Science,,,1/2/16,2016,11,1,Jul-32,Closed,Article,"Southworth, J.; Zhu, L.; Bunting, E.; Ryan, S.J.; Herrero, H.; Waylen, P.R.; Hill, M.J.",,"Southworth, J. (); Zhu, L. (); Bunting, E. (); Ryan, S.J. (); Herrero, H. (); Waylen, P.R. (); Hill, M.J. ()",7,5,,3.3,,https://app.dimensions.ai/details/publication/pub.1026971929,"12 Built Environment and Design; 16 Studies in Human Society; 0701 Agriculture, Land and Farm Management; 1604 Human Geography; 1205 Urban and Regional Planning; 07 Agricultural and Veterinary Sciences",12 Built Environment and Design,16 Studies in Human Society,"0701 Agriculture, Land and Farm Management",1604 Human Geography,1205 Urban and Regional Planning
89,400,pub.1019427226,10.1089/vbz.2015.1822,26579951,PMC4700390,Mapping Physiological Suitability Limits for Malaria in Africa Under Climate Change,Vector-Borne and Zoonotic Diseases,,"Africa; Animals; Anopheles; Climate Change; Geography; Humans; Insect Vectors; Malaria, Falciparum; Models, Theoretical; Plasmodium falciparum; Population Density; Seasons; Temperature",2015-12,2015,15,12,718-725,"All OA; Green, Published",Article,"Ryan, Sadie J.; McNally, Amy; Johnson, Leah R.; Mordecai, Erin A.; Ben-Horin, Tal; Paaijmans, Krijn; Lafferty, Kevin D.",,"Ryan, Sadie J. (University of Florida; SUNY Upstate Medical University; University of KwaZulu-Natal); McNally, Amy (Goddard Space Flight Center); Johnson, Leah R. (University of South Florida); Mordecai, Erin A. (Stanford University); Ben-Horin, Tal (Rutgers, The State University of New Jersey); Paaijmans, Krijn (Hospital Clinic of Barcelona); Lafferty, Kevin D. (University of California, Santa Barbara)",52,32,3.19,11.12,http://europepmc.org/articles/pmc4700390?pdf=render,https://app.dimensions.ai/details/publication/pub.1019427226,1108 Medical Microbiology; 11 Medical and Health Sciences,1108 Medical Microbiology,11 Medical and Health Sciences,,,
90,400,pub.1051772491,10.1016/j.actatropica.2015.05.028,26048558,,A global map of suitability for coastal Vibrio cholerae under current and future climate conditions,Acta Tropica,,"Bangladesh; Chlorophyll; Chlorophyll A; Cholera; Climate; Climate Change; Disease Outbreaks; Environment; Humans; Latin America; Models, Theoretical; Oceans and Seas; Risk Factors; Temperature; Vibrio cholerae",2015-09,2015,149,Wiley Interdiscip. Rev. Comput. Stat. 1 2009,202-211,All OA; Gold,Article,"Escobar, Luis E; Ryan, Sadie J; Stewart-Ibarra, Anna M; Finkelstein, Julia L; King, Christine A; Qiao, Huijie; Polhemus, Mark E","Escobar, Luis E","Escobar, Luis E (); Ryan, Sadie J (); Stewart-Ibarra, Anna M (); Finkelstein, Julia L (Cornell University); King, Christine A (); Qiao, Huijie (Institute of Zoology); Polhemus, Mark E (SUNY Upstate Medical University)",31,14,2.26,,https://doi.org/10.1016/j.actatropica.2015.05.028,https://app.dimensions.ai/details/publication/pub.1051772491,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
91,100,pub.1031131094,10.1890/es15-00094.1,,,Malaria control and senescence: the importance of accounting for the pace and shape of aging in wild mosquitoes,Ecosphere,,,2015-09,2015,6,9,13-Jan,All OA; Gold,Article,"Ryan, Sadie J.; Ben-Horin, Tal; Johnson, Leah R.",,"Ryan, Sadie J. (University of Florida; SUNY Upstate Medical University; University of KwaZulu-Natal); Ben-Horin, Tal (University of California, Santa Barbara; Rutgers, The State University of New Jersey); Johnson, Leah R. (University of South Florida)",10,7,,2.43,https://doi.org/10.1890/es15-00094.1,https://app.dimensions.ai/details/publication/pub.1031131094,0602 Ecology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences,0608 Zoology
92,100,pub.1119344150,,,,"A Global Map of Suitability for Coastal Vibrio cholerae Under Current
  and Future Climate Conditions",arXiv,,,6/4/15,2015,,,,"All OA; Green, Accepted & Submitted",Preprint,"Escobar, Luis E.; Ryan, Sadie J.; Stewart-Ibarra, Anna M.; Finkelstein, Julia L.; King, Christine A.; Qiao, Huijie; Polhemus, Mark E.",,"Escobar, Luis E. (); Ryan, Sadie J. (); Stewart-Ibarra, Anna M. (); Finkelstein, Julia L. (); King, Christine A. (); Qiao, Huijie (); Polhemus, Mark E. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1119344150,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
93,100,pub.1026541485,10.1007/s11111-014-0227-y,,,Now there is no land: a story of ethnic migration in a protected area landscape in western Uganda,Population and Environment,,,2015-06,2015,36,4,452-479,Closed,Article,"Hartter, Joel; Ryan, Sadie J.; MacKenzie, Catrina A.; Goldman, Abe; Dowhaniuk, Nicholas; Palace, Michael; Diem, Jeremy E.; Chapman, Colin A.","Hartter, Joel","Hartter, Joel (University of Colorado Boulder); Ryan, Sadie J. (University of Florida; SUNY Upstate Medical University; SUNY College of Environmental Science and Forestry; University of KwaZulu-Natal); MacKenzie, Catrina A. (McGill University; University of Vermont); Goldman, Abe (University of Florida); Dowhaniuk, Nicholas (University of New Hampshire); Palace, Michael (University of New Hampshire); Diem, Jeremy E. (Georgia State University); Chapman, Colin A. (McGill University; Wildlife Conservation Society)",23,11,,5.5,,https://app.dimensions.ai/details/publication/pub.1026541485,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
94,100,pub.1052008920,10.1016/j.apgeog.2015.01.005,,,Household level influences on fragmentation in an African park landscape,Applied Geography,,,2015-03,2015,58,,18-31,All OA; Gold,Article,"Ryan, Sadie J.; Southworth, Jane; Hartter, Joel; Dowhaniuk, Niccholas; Fuda, Rebecca K.; Diem, Jeremy E.","Ryan, Sadie J.","Ryan, Sadie J. (University of Florida; SUNY Upstate Medical University; SUNY College of Environmental Science and Forestry; University of KwaZulu-Natal); Southworth, Jane (University of Florida); Hartter, Joel (University of Colorado Boulder); Dowhaniuk, Niccholas (University of New Hampshire); Fuda, Rebecca K. (SUNY College of Environmental Science and Forestry); Diem, Jeremy E. (Georgia State University)",11,4,,2.91,https://doi.org/10.1016/j.apgeog.2015.01.005,https://app.dimensions.ai/details/publication/pub.1052008920,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
95,400,pub.1049415915,10.1890/13-1964.1,26236905,,Understanding uncertainty in temperature effects on vector‐borne disease: a Bayesian approach,Ecology,,"Animals; Bayes Theorem; Insect Vectors; Malaria; Models, Biological; Temperature; Uncertainty",2015-01,2015,96,1,203-213,"All OA; Green, Accepted & Submitted",Article,"Johnson, Leah R.; Ben-Horin, Tal; Lafferty, Kevin D.; McNally, Amy; Mordecai, Erin; Paaijmans, Krijn P.; Pawar, Samraat; Ryan, Sadie J.",,"Johnson, Leah R. (University of South Florida); Ben-Horin, Tal (University of California, Santa Barbara; Rutgers, The State University of New Jersey); Lafferty, Kevin D. (University of California, Santa Barbara); McNally, Amy (University of California, Santa Barbara); Mordecai, Erin (University of California, Santa Barbara; University of North Carolina System); Paaijmans, Krijn P. (University of Barcelona); Pawar, Samraat (Imperial College London); Ryan, Sadie J. (SUNY College of Environmental Science and Forestry; SUNY Upstate Medical University; University of KwaZulu-Natal)",36,23,1.88,8.3,http://arxiv.org/pdf/1310.5110,https://app.dimensions.ai/details/publication/pub.1049415915,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
96,400,pub.1029452285,10.1186/s12879-014-0610-4,25420543,PMC4264610,"Spatiotemporal clustering, climate periodicity, and social-ecological risk factors for dengue during an outbreak in Machala, Ecuador, in 2010",BMC Infectious Diseases,,"Adolescent; Adult; Aedes; Aged; Aged, 80 and over; Animals; Child; Child, Preschool; Climate; Dengue; Disease Outbreaks; Ecuador; Female; Humans; Infant; Infant, Newborn; Insect Vectors; Male; Middle Aged; Models, Theoretical; Risk Factors; Socioeconomic Factors; Spatio-Temporal Analysis; Time Factors",2014-12,2014,14,1,610,All OA; Gold,Article,"Stewart-Ibarra, Anna M; Muñoz, Ángel G; Ryan, Sadie J; Ayala, Efraín Beltrán; Borbor-Cordova, Mercy J; Finkelstein, Julia L; Mejía, Raúl; Ordoñez, Tania; Recalde-Coronel, G Cristina; Rivero, Keytia","Stewart-Ibarra, Anna M","Stewart-Ibarra, Anna M (SUNY Upstate Medical University); Muñoz, Ángel G (Columbia University; University of Zulia); Ryan, Sadie J (SUNY Upstate Medical University; University of Florida; University of KwaZulu-Natal); Ayala, Efraín Beltrán (Universidad Tecnica de Machala); Borbor-Cordova, Mercy J (Escuela Superior Politecnica del Litoral); Finkelstein, Julia L (Cornell University; Harvard University); Mejía, Raúl (); Ordoñez, Tania (); Recalde-Coronel, G Cristina (Escuela Superior Politecnica del Litoral); Rivero, Keytia ()",53,24,3.29,13.15,https://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-014-0610-4,https://app.dimensions.ai/details/publication/pub.1029452285,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
97,400,pub.1027576605,10.1186/1471-2458-14-1135,25370883,PMC4240812,"A social-ecological analysis of community perceptions of dengue fever and Aedes aegypti in Machala, Ecuador",BMC Public Health,,Adult; Aedes; Animals; Community Health Services; Dengue; Ecuador; Female; Focus Groups; Humans; Insect Vectors; Male; Mosquito Control; Risk Factors; Socioeconomic Factors; Surveys and Questionnaires,2014-12,2014,14,1,1135,All OA; Gold,Article,"Stewart Ibarra, Anna M; Luzadis, Valerie A; Borbor Cordova, Mercy J; Silva, Mercy; Ordoñez, Tania; Beltrán Ayala, Efraín; Ryan, Sadie J","Stewart Ibarra, Anna M","Stewart Ibarra, Anna M (SUNY Upstate Medical University); Luzadis, Valerie A (SUNY College of Environmental Science and Forestry); Borbor Cordova, Mercy J (Escuela Superior Politecnica del Litoral); Silva, Mercy (); Ordoñez, Tania (); Beltrán Ayala, Efraín (Universidad Tecnica de Machala); Ryan, Sadie J (SUNY Upstate Medical University; University of Florida; University of KwaZulu-Natal)",31,14,1.84,7.69,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/1471-2458-14-1135,https://app.dimensions.ai/details/publication/pub.1027576605,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
98,100,pub.1053905560,10.1017/s0376892914000071,,,Contrasting perceptions of ecosystem services of an African forest park,Environmental Conservation,,,2014-12,2014,41,4,330-340,All OA; Gold,Article,"HARTTER, JOEL; SOLOMON, JENNIFER; RYAN, SADIE J.; JACOBSON, SUSAN K.; GOLDMAN, ABE",,"HARTTER, JOEL (University of Colorado Boulder); SOLOMON, JENNIFER (Colorado State University); RYAN, SADIE J. (SUNY Upstate Medical University; University of KwaZulu-Natal); JACOBSON, SUSAN K. (University of Florida); GOLDMAN, ABE (University of Florida)",18,11,,3.7,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/BCA01E217E20E51D69E803041C42C371/S0376892914000071a.pdf/div-class-title-contrasting-perceptions-of-ecosystem-services-of-an-african-forest-park-div.pdf,https://app.dimensions.ai/details/publication/pub.1053905560,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
99,100,pub.1012602355,10.1002/9781118630013.ch10,,,Mapping the Distribution of Malaria: Current Approaches and Future Directions,Wiley Series in Probability and Statistics,Analyzing and Modeling Spatial and Temporal Dynamics of Infectious Diseases,,10/20/14,2014,,,189-209,Closed,Chapter,"Johnson, Leah R.; Lafferty, Kevin D.; McNally, Amy; Mordecai, Erin; Paaijmans, Krijn P.; Pawar, Samraat; Ryan, Sadie J.",,"Johnson, Leah R. (University of South Florida); Lafferty, Kevin D. (University of California, Santa Barbara); McNally, Amy (University of California, Santa Barbara); Mordecai, Erin (University of North Carolina at Chapel Hill); Paaijmans, Krijn P. (Hospital Clinic of Barcelona); Pawar, Samraat (Imperial College London); Ryan, Sadie J. ()",5,1,,0.87,,https://app.dimensions.ai/details/publication/pub.1012602355,1108 Medical Microbiology; 11 Medical and Health Sciences,1108 Medical Microbiology,11 Medical and Health Sciences,,,
100,100,pub.1049900023,10.1175/jhm-d-13-0193.1,,,Validation of Satellite Rainfall Products for Western Uganda,Journal of Hydrometeorology,,,2014-10,2014,15,5,2030-2038,"All OA; Green, Accepted & Submitted",Article,"Diem, Jeremy E.; Hartter, Joel; Ryan, Sadie J.; Palace, Michael W.",,"Diem, Jeremy E. (Georgia State University); Hartter, Joel (University of Colorado Boulder); Ryan, Sadie J. (SUNY College of Environmental Science and Forestry); Palace, Michael W. (University of New Hampshire)",34,21,,5.17,https://scholars.unh.edu/cgi/viewcontent.cgi?article=1028&context=geog_facpub,https://app.dimensions.ai/details/publication/pub.1049900023,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
