,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Robert R Warner. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,100,pub.1032529381,10.1016/s0003-3472(05)80420-8,,,Male versus female influences on mating-site determination in a coral reef fish,Animal Behaviour,,,1990-03,1990,39,3,540-548,Closed,Article,"Warner, Robert R.",,"Warner, Robert R. (University of California, Santa Barbara)",53,3,,,,https://app.dimensions.ai/details/publication/pub.1032529381,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
110,200,pub.1058595162,10.1086/285039,,,Resource Assessment Versus Tradition in Mating-Site Determination,The American Naturalist,,,1990-02,1990,135,2,205-217,Closed,Article,"Warner, Robert R.",,"Warner, Robert R. ()",42,2,,,,https://app.dimensions.ai/details/publication/pub.1058595162,06 Biological Sciences,06 Biological Sciences,,,,
111,400,pub.1085722363,10.1111/j.1558-5646.1989.tb02599.x,28564245,,PHENOTYPIC PLASTICITY IN LIFE‐HISTORY TRAITS OF FEMALE THALASSOMA BIFASCIATUM (PISCES: LABRIDAE). 1. MANIPULATIONS OF SOCIAL STRUCTURE IN TESTS FOR ADAPTIVE SHIFTS OF LIFE‐HISTORY ALLOCATIONS,Evolution,,,1989-11,1989,43,7,1497-1506,All OA; Gold,Article,"Schultz, Eric T; Warner, Robert R",,"Schultz, Eric T (University of California, Santa Barbara); Warner, Robert R (University of California, Santa Barbara)",18,0,0.56,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1558-5646.1989.tb02599.x,https://app.dimensions.ai/details/publication/pub.1085722363,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
112,200,pub.1069918389,10.2307/2409464,,,Phenotypic Plasticity in Life-History Traits of Female Thalassoma bifasciatum (Pisces: Labridae). 1. Manipulations of Social Structure in Tests for Adaptive Shifts of Life-History Allocations,Evolution,,,1989-11,1989,43,7,1497,Closed,Article,"Schultz, Eric T.; Warner, Robert R.",,"Schultz, Eric T. (); Warner, Robert R. ()",8,0,,,,https://app.dimensions.ai/details/publication/pub.1069918389,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
113,100,pub.1011031958,10.1016/s0003-3472(89)80119-8,,,Female choice and the mating cost of peripheral males,Animal Behaviour,,,1989-11,1989,38,5,875-884,Closed,Article,"van den Berghe, Eric P.; Wernerus, François; Warner, Robert R.",,"van den Berghe, Eric P. (University of California, Santa Barbara); Wernerus, François (); Warner, Robert R. (University of California, Santa Barbara)",37,1,,,,https://app.dimensions.ai/details/publication/pub.1011031958,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
114,200,pub.1047131416,10.1016/0169-5347(89)90199-7,21227365,,Reply from R.R. Warner,Trends in Ecology & Evolution,,,1989-09,1989,4,9,272-273,Closed,Article,"Warner, Robert R.",,"Warner, Robert R. (University of California, Santa Barbara)",1,0,0,,,https://app.dimensions.ai/details/publication/pub.1047131416,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
115,100,pub.1047724739,10.1007/bf00293269,,,The effects of mating system on male mate choice in a coral reef fish,Behavioral Ecology and Sociobiology,,,1989-06,1989,24,6,409-415,Closed,Article,"van den Berghe, E. P.; Warner, R. R.","van den Berghe, E. P.","van den Berghe, E. P. (University of California, Santa Barbara); Warner, R. R. (University of California, Santa Barbara)",24,2,,,,https://app.dimensions.ai/details/publication/pub.1047724739,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
116,100,pub.1032032173,10.1038/335719a0,,,Traditionality of mating-site preferences in a coral reef fish,Nature,,,1988-10,1988,335,6192,719-721,Closed,Article,"Warner, Robert R.",,"Warner, Robert R. (University of California, Santa Barbara)",170,12,,,,https://app.dimensions.ai/details/publication/pub.1032032173,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
117,400,pub.1053037017,10.1016/0169-5347(88)90176-0,21227182,,Sex change and the size-advantage model,Trends in Ecology & Evolution,,,1988-06,1988,3,6,133-136,Closed,Article,"Warner, Robert R.",,"Warner, Robert R. (University of California, Santa Barbara)",168,19,2.11,,,https://app.dimensions.ai/details/publication/pub.1053037017,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
118,100,pub.1006965367,10.1007/bf00001539,,,"Sex change in fishes: hypotheses, evidence, and objections",Environmental Biology of Fishes,,,1988-06,1988,22,2,81,Closed,Article,"Warner, Robert R.",,"Warner, Robert R. (University of California, Santa Barbara)",108,7,,,,https://app.dimensions.ai/details/publication/pub.1006965367,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
119,100,pub.1008781724,10.1016/s0003-3472(87)80019-2,,,"Female choice of sites versus mates in a coral reef fish, Thalassoma bifasciatum",Animal Behaviour,,,1987-10,1987,35,5,1470-1478,Closed,Article,"Warner, Robert R.",,"Warner, Robert R. (University of California, Santa Barbara)",80,3,,,,https://app.dimensions.ai/details/publication/pub.1008781724,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
120,400,pub.1085720806,10.1111/j.1558-5646.1985.tb00432.x,28561353,,THE COSTS OF CHANGING SEX AND THE ONTOGENY OF MALES UNDER CONTEST COMPETITION FOR MATES,Evolution,,,1985-07,1985,39,4,915-927,All OA; Gold,Article,"Hoffman, Steven G; Schildhauer, Mark P; Warner, Robert R",,"Hoffman, Steven G (University of Houston); Schildhauer, Mark P (University of California, Santa Barbara); Warner, Robert R (University of California, Santa Barbara)",37,1,0.88,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1558-5646.1985.tb00432.x,https://app.dimensions.ai/details/publication/pub.1085720806,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
121,200,pub.1069917681,10.2307/2408690,,,The Costs of Changing Sex and the Ontogeny of Males Under Contest Competition for Mates,Evolution,,,1985-07,1985,39,4,915,Closed,Article,"Hoffman, Steven G.; Schildhauer, Mark P.; Warner, Robert R.",,"Hoffman, Steven G. (); Schildhauer, Mark P. (); Warner, Robert R. ()",30,0,,,,https://app.dimensions.ai/details/publication/pub.1069917681,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
122,200,pub.1058594502,10.1086/284379,,,Coexistence Mediated by Recruitment Fluctuations: A Field Guide to the Storage Effect,The American Naturalist,,,1985-06,1985,125,6,769-787,Closed,Article,"Warner, Robert R.; Chesson, Peter L.",,"Warner, Robert R. (); Chesson, Peter L. ()",448,38,,,,https://app.dimensions.ai/details/publication/pub.1058594502,06 Biological Sciences,06 Biological Sciences,,,,
123,100,pub.1015857963,10.1007/bf00397010,,,"Sex change limited by paternal care: a test using four Mediterranean labrid fishes, genus Symphodus",Marine Biology,,,1985-06,1985,87,1,89-99,Closed,Article,"Warner, R. R.; Lejeune, P.",,"Warner, R. R. (University of California, Santa Barbara); Lejeune, P. ()",59,7,,,,https://app.dimensions.ai/details/publication/pub.1015857963,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
124,200,pub.1085715151,10.1111/j.1558-5646.1984.tb00268.x,28556080,,DEFERRED REPRODUCTION AS A RESPONSE TO SEXUAL SELECTION IN A CORAL REEF FISH: A TEST OF THE LIFE HISTORICAL CONSEQUENCES,Evolution,,,1984-01,1984,38,1,148-162,All OA; Gold,Article,"Warner, Robert R",,"Warner, Robert R (University of California, Santa Barbara)",63,1,0.79,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1558-5646.1984.tb00268.x,https://app.dimensions.ai/details/publication/pub.1085715151,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
125,200,pub.1069917558,10.2307/2408554,,,Deferred Reproduction as a Response to Sexual Selection in a Coral Reef Fish: A Test of the Life Historical Consequences,Evolution,,,1984-01,1984,38,1,148,Closed,Article,"Warner, Robert R.",,"Warner, Robert R. ()",46,0,,,,https://app.dimensions.ai/details/publication/pub.1069917558,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
126,200,pub.1085863404,10.1111/j.1558-5646.1982.tb05008.x,28581093,,"SPERM COMPETITION AND SPERM STORAGE AS DETERMINANTS OF SEXUAL DIMORPHISM IN THE DWARF SURFPERCH, MICROMETRUS MINIMUS",Evolution,,,1982-01,1982,36,1,44-55,All OA; Gold,Article,"Warner, Robert R; Harlan, Ronald K",,"Warner, Robert R (University of California, Santa Barbara); Harlan, Ronald K (University of California, Santa Barbara)",32,3,0.21,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1558-5646.1982.tb05008.x,https://app.dimensions.ai/details/publication/pub.1085863404,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
127,200,pub.1069917020,10.2307/2407965,,,"Sperm Competition and Sperm Storage as Determinants of Sexual Dimorphism in the Dwarf Surfperch, Micrometrus minimus",Evolution,,,1982-01,1982,36,1,44,Closed,Article,"Warner, Robert R.; Harlan, Ronald K.",,"Warner, Robert R. (); Harlan, Ronald K. ()",28,1,,,,https://app.dimensions.ai/details/publication/pub.1069917020,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
128,200,pub.1058593901,10.1086/283778,,,Environmental Variability Promotes Coexistence in Lottery Competitive Systems,The American Naturalist,,,1981-06,1981,117,6,923-943,Closed,Article,"Chesson, Peter L.; Warner, Robert R.",,"Chesson, Peter L. (); Warner, Robert R. ()",709,82,,,,https://app.dimensions.ai/details/publication/pub.1058593901,06 Biological Sciences,06 Biological Sciences,,,,
129,100,pub.1069660774,10.2307/1936747,,,Population Density and the Economics of Territorial Defense in a Coral Reef Fish,Ecology,,,1980-08,1980,61,4,772-780,Closed,Article,"Warner, Robert R.; Hoffman, Steven G.",,"Warner, Robert R. (University of California, Santa Barbara); Hoffman, Steven G. (University of California, Santa Barbara)",125,6,,,,https://app.dimensions.ai/details/publication/pub.1069660774,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
130,200,pub.1085733786,10.1111/j.1558-5646.1980.tb04840.x,28568695,,LOCAL POPULATION SIZE AS A DETERMINANT OF MATING SYSTEM AND SEXUAL COMPOSITION IN TWO TROPICAL MARINE FISHES (THALASSOMA SPP.),Evolution,,,1980-05,1980,34,3,508-518,All OA; Gold,Article,"Warner, Robert R; Hoffman, Steven G",,"Warner, Robert R (University of California, Santa Barbara); Hoffman, Steven G (University of California, Santa Barbara)",128,8,0.85,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1558-5646.1980.tb04840.x,https://app.dimensions.ai/details/publication/pub.1085733786,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
131,200,pub.1069917254,10.2307/2408220,,,Local Population Size as a Determinant of Mating System and Sexual Composition in Two Tropical Marine Fishes (Thalassoma Spp.),Evolution,,,1980-05,1980,34,3,508,Closed,Article,"Warner, Robert R.; Hoffman, Steven G.",,"Warner, Robert R. (); Hoffman, Steven G. ()",83,2,,,,https://app.dimensions.ai/details/publication/pub.1069917254,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
132,200,pub.1058593460,10.1086/283337,,,Sexual-Asexual Evolutionary Equilibrium?,The American Naturalist,,,1978-09,1978,112,987,960-962,Closed,Article,"Warner, Robert R.",,"Warner, Robert R. ()",8,0,,,,https://app.dimensions.ai/details/publication/pub.1058593460,06 Biological Sciences,06 Biological Sciences,,,,
133,200,pub.1062461680,10.1126/science.1188360,1188360,,Sex change and sexual selection,Science,,"Age Factors; Animals; Disorders of Sex Development; Fishes; Models, Biological; Pigmentation; Selection, Genetic; Sex Characteristics; Sexual Behavior, Animal",11/14/75,1975,190,4215,633-638,Closed,Article,"Warner, R R; Robertson, D R; Leigh, E G",,"Warner, R R (); Robertson, D R (); Leigh, E G ()",274,12,0,,,https://app.dimensions.ai/details/publication/pub.1062461680,,,,,,
134,200,pub.1058593097,10.1086/282974,,,The Adaptive Significance of Sequential Hermaphroditism in Animals,The American Naturalist,,,1975-01,1975,109,965,61-82,Closed,Article,"Warner, Robert R.",,"Warner, Robert R. ()",285,29,,,,https://app.dimensions.ai/details/publication/pub.1058593097,06 Biological Sciences,06 Biological Sciences,,,,
