,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Cyrus R Safinya. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,200,pub.1009870682,10.1016/s1359-0286(96)80030-1,,,Biomaterials,Current Opinion in Solid State and Materials Science,,,1996-06,1996,1,3,387-391,Closed,Article,"Safinya, Cyrus R; Addadi, Lia",,"Safinya, Cyrus R (University of California, Santa Barbara); Addadi, Lia (Weizmann Institute of Science)",9,0,,,,https://app.dimensions.ai/details/publication/pub.1009870682,0912 Materials Engineering; 0204 Condensed Matter Physics; 02 Physical Sciences; 09 Engineering,0912 Materials Engineering,0204 Condensed Matter Physics,02 Physical Sciences,09 Engineering,
193,100,pub.1045687534,10.1016/0921-4526(95)00939-6,,,Structure under confinement in a smectic-A and lyotropic surfactant hexagonal phase,Physica B Condensed Matter,,,1996-04,1996,221,4-Jan,289-295,Closed,Article,"Idziak, Stefan H.J.; Koltover, Ilya; Davidson, Patrick; Ruths, Marina; Li, Youli; Israelachvili, Jacob N.; Safinya, Cyrus R.","Idziak, Stefan H.J.","Idziak, Stefan H.J. (University of California, Santa Barbara); Koltover, Ilya (University of California, Santa Barbara); Davidson, Patrick (University of California, Santa Barbara); Ruths, Marina (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",13,2,,,,https://app.dimensions.ai/details/publication/pub.1045687534,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
194,400,pub.1062552255,10.1126/science.271.5251.969,8584932,,Lamellar Biogels: Fluid-Membrane-Based Hydrogels Containing Polymer Lipids,Science,,"Chemical Phenomena; Chemistry, Physical; Dimyristoylphosphatidylcholine; Gels; Lipid Bilayers; Lipids; Membrane Fluidity; Microscopy, Polarization; Molecular Weight; Pentanols; Phosphatidylethanolamines; Polyethylene Glycols; Surface-Active Agents; Viscosity; Water; X-Ray Diffraction",2/16/96,1996,271,5251,969-973,Closed,Article,"Warriner, Heidi E.; Idziak, Stefan H. J.; Slack, Nelle L.; Davidson, Patrick; Safinya, Cyrus R.",,"Warriner, Heidi E. (University of California, Santa Barbara); Idziak, Stefan H. J. (University of California, Santa Barbara); Slack, Nelle L. (University of California, Santa Barbara); Davidson, Patrick (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",111,11,1.77,,,https://app.dimensions.ai/details/publication/pub.1062552255,0306 Physical Chemistry (incl. Structural); 03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,
195,300,pub.1060812618,10.1103/physrevlett.76.1477,10061733,,Structure in a Confined Smectic Liquid Crystal with Competing Surface and Sample Elasticities,Physical Review Letters,,,1996-02,1996,76,9,1477-1480,Closed,Article,"Idziak, Stefan H. J.; Koltover, Ilya; Israelachvili, Jacob N.; Safinya, Cyrus R.",,"Idziak, Stefan H. J. (University of California, Santa Barbara); Koltover, Ilya (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",40,2,0.31,,,https://app.dimensions.ai/details/publication/pub.1060812618,02 Physical Sciences,02 Physical Sciences,,,,
196,100,pub.1067938160,10.1557/proc-464-301,,,Imaging Complex Fluids Under Confinement and Flow: Development of Bragg-Fresnel Optics for X-ray Microdiffraction,MRS Advances,,,1996,1996,464,,301,Closed,Article,"Li, Youli; Idziak, Stefan H.J.; Caine, Ernie; Subramanian, G.; Hu, Evelyn; Safinya, Cyrus R.",,"Li, Youli (); Idziak, Stefan H.J. (); Caine, Ernie (); Subramanian, G. (); Hu, Evelyn (); Safinya, Cyrus R. ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1067938160,09 Engineering; 0306 Physical Chemistry (incl. Structural); 0903 Biomedical Engineering; 0299 Other Physical Sciences; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,0306 Physical Chemistry (incl. Structural),0903 Biomedical Engineering,0299 Other Physical Sciences,02 Physical Sciences
197,100,pub.1004477626,10.1007/978-94-009-1722-4_4,,,"Membrane-Associated-Proteins: Self-Assembly, Interactions, and Biomolecular Materials",,"Physics of Biomaterials: Fluctuations, Selfassembly and Evolution",,1996,1996,,,103-134,Closed,Chapter,"Safinya, Cyrus R.; Shen, Yi",,"Safinya, Cyrus R. (University of California, Santa Barbara); Shen, Yi (University of California, Santa Barbara)",2,0,,,,https://app.dimensions.ai/details/publication/pub.1004477626,0306 Physical Chemistry (incl. Structural); 0303 Macromolecular and Materials Chemistry; 0601 Biochemistry and Cell Biology; 0299 Other Physical Sciences; 02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,0306 Physical Chemistry (incl. Structural),0303 Macromolecular and Materials Chemistry,0601 Biochemistry and Cell Biology,0299 Other Physical Sciences,02 Physical Sciences
198,200,pub.1056975232,10.1051/jp2:1995174,,,Discrete Harmonic Model for Stacked Membranes: Theory and Experiment,Journal de Physique II,,,1995-08,1995,5,8,1155-1163,Closed,Article,"Lei, Ning; Safinya, C. R.; Bruinsma, R. F.",,"Lei, Ning (); Safinya, C. R. (); Bruinsma, R. F. ()",60,2,,,,https://app.dimensions.ai/details/publication/pub.1056975232,,,,,,
199,400,pub.1062549846,10.1126/science.267.5204.1635,17808182,,Lipid Tubule Self-Assembly: Length Dependence on Cooling Rate Through a First-Order Phase Transition,Science,,,3/17/95,1995,267,5204,1635-1638,Closed,Article,"Thomas, Britt N.; Safinya, Cyrus R.; Plano, Robert J.; Clark, Noel A.",,"Thomas, Britt N. (University of Colorado Boulder); Safinya, Cyrus R. (University of California, Santa Barbara); Plano, Robert J. (ExxonMobil (United States)); Clark, Noel A. (University of Colorado Boulder)",133,4,1.92,,,https://app.dimensions.ai/details/publication/pub.1062549846,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
200,100,pub.1038601660,10.1007/bf01441895,,,Study of flow in a smectic liquid crystal in the X-ray Surface Forces Apparatus,International Journal of Thermophysics,,,1995-03,1995,16,2,299-307,Closed,Article,"Idziak, S. H. J.; Koltover, I.; Liang, K. S.; Israelachvili, J. N.; Safinya, C. R.","Safinya, C. R.","Idziak, S. H. J. (University of California, Santa Barbara); Koltover, I. (University of California, Santa Barbara); Liang, K. S. (ExxonMobil (United States)); Israelachvili, J. N. (University of California, Santa Barbara); Safinya, C. R. (University of California, Santa Barbara)",11,0,,,,https://app.dimensions.ai/details/publication/pub.1038601660,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
201,200,pub.1089360071,10.1021/bk-1994-0578.ch020,,,Structure of Complex Fluids under Flow and Confinement,ACS Symposium Series,Structure and Flow in Surfactant Solutions,,12/9/94,1994,578,,288-299,Closed,Chapter,"Idziak, Stefan H. J.; Safinya, Cyrus R.; Sirota, Eric B.; Bruinsma, Robijn F.; Liang, Keng S.; Israelachvili, Jacob N.",,"Idziak, Stefan H. J. (); Safinya, Cyrus R. (); Sirota, Eric B. (); Bruinsma, Robijn F. (); Liang, Keng S. (); Israelachvili, Jacob N. ()",6,0,,,,https://app.dimensions.ai/details/publication/pub.1089360071,,,,,,
202,400,pub.1062650828,10.1126/science.7973704,7973704,,A phase of liposomes with entangled tubular vesicles,Science,,"Dimyristoylphosphatidylcholine; Lipid Bilayers; Liposomes; Microscopy, Electron; Scattering, Radiation; Temperature; Terpenes; X-Ray Diffraction; X-Rays",11/18/94,1994,266,5188,1222-1225,"All OA; Green, Accepted & Submitted",Article,"Chiruvolu, S; Warriner, HE; Naranjo, E; Idziak, SH; Radler, JO; Plano, RJ; Zasadzinski, JA; Safinya, CR",,"Chiruvolu, S (University of California, Santa Barbara); Warriner, HE (University of California, Santa Barbara); Naranjo, E (University of California, Santa Barbara); Idziak, SH (University of California, Santa Barbara); Radler, JO (University of California, Santa Barbara); Plano, RJ (University of California, Santa Barbara); Zasadzinski, JA (University of California, Santa Barbara); Safinya, CR (University of California, Santa Barbara)",73,2,1.1,,https://epub.ub.uni-muenchen.de/3784/1/01.pdf,https://app.dimensions.ai/details/publication/pub.1062650828,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
203,200,pub.1033146285,10.1038/370105c0,,,Self-assembly and protein stability,Nature,,,1994-07,1994,370,6485,105-106,Closed,Article,"Safinya, C. R.; Rothschild, K. J.",,"Safinya, C. R. (University of California, Santa Barbara); Rothschild, K. J. (Boston University)",6,0,,,,https://app.dimensions.ai/details/publication/pub.1033146285,,,,,,
204,400,pub.1062548388,10.1126/science.264.5167.1915,17794078,,The X-ray Surface Forces Apparatus: Structure of a Thin Smectic Liquid Crystal Film Under Confinement,Science,,,6/24/94,1994,264,5167,1915-1918,Closed,Article,"Idziak, Stefan H.J.; Safinya, Cyrus R.; Hill, Robert S.; Kraiser, Keith E.; Ruths, Marina; Warriner, Heidi E.; Steinberg, Suzi; Liang, Keng S.; Israelachvili, Jacob N.",,"Idziak, Stefan H.J. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara); Hill, Robert S. (University of California, Santa Barbara); Kraiser, Keith E. (University of California, Santa Barbara); Ruths, Marina (University of California, Santa Barbara); Warriner, Heidi E. (University of California, Santa Barbara); Steinberg, Suzi (University of California, Santa Barbara); Liang, Keng S. (ExxonMobil (United States)); Israelachvili, Jacob N. (University of California, Santa Barbara)",74,6,0.78,,,https://app.dimensions.ai/details/publication/pub.1062548388,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
205,100,pub.1067930617,10.1557/proc-366-101,,,The Application of the X-Ray Surface Forces Apparatus (XSFA) to Studies of Confined Complex Fluid Systems,MRS Advances,,,1994,1994,366,,101,Closed,Article,"Koltover, I.; Idziak, S. H. J.; Safinya, C. R.; Steinberg, S.; Israelachvili, J. N.; Liang, K. S.",,"Koltover, I. (); Idziak, S. H. J. (); Safinya, C. R. (); Steinberg, S. (); Israelachvili, J. N. (); Liang, K. S. ()",3,0,,,,https://app.dimensions.ai/details/publication/pub.1067930617,02 Physical Sciences; 03 Chemical Sciences; 0299 Other Physical Sciences; 0306 Physical Chemistry (incl. Structural),02 Physical Sciences,03 Chemical Sciences,0299 Other Physical Sciences,0306 Physical Chemistry (incl. Structural),
206,100,pub.1026562652,10.1007/978-1-4613-8389-5_6,,,Lyotropic Lamellar Lα Phases,Partially Ordered Systems,"Micelles, Membranes, Microemulsions, and Monolayers",,1994,1994,,,303-346,Closed,Chapter,"Roux, Didier; Safinya, Cyrus R.; Nallet, Frederic",,"Roux, Didier (Paul Pascal Research Center); Safinya, Cyrus R. (); Nallet, Frederic (Paul Pascal Research Center)",6,1,,,,https://app.dimensions.ai/details/publication/pub.1026562652,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
207,100,pub.1045414504,10.1038/366048a0,,,Stabilization of the membrane protein bacteriorhodopsin to 140 °C in two-dimensional films,Nature,,,1993-11,1993,366,6450,48-50,Closed,Article,"Shen, Yi; Safinya, Cyrus R.; Liang, Keng S.; Ruppert, A. F.; Rothschild, Kenneth J.",,"Shen, Yi (University of California, Santa Barbara; ExxonMobil (United States)); Safinya, Cyrus R. (University of California, Santa Barbara); Liang, Keng S. (ExxonMobil (United States)); Ruppert, A. F. (ExxonMobil (United States)); Rothschild, Kenneth J. (Boston University)",117,4,,,,https://app.dimensions.ai/details/publication/pub.1045414504,02 Physical Sciences; 03 Chemical Sciences; 0299 Other Physical Sciences; 0306 Physical Chemistry (incl. Structural),02 Physical Sciences,03 Chemical Sciences,0299 Other Physical Sciences,0306 Physical Chemistry (incl. Structural),
208,400,pub.1062546686,10.1126/science.261.5121.588,17758168,,Structure of Membrane Surfactant and Liquid Crystalline Smectic Lamellar Phases Under Flow,Science,,,7/30/93,1993,261,5121,588-591,Closed,Article,"Safinya, Cyrus R.; Sirota, Eric B.; Bruinsma, Robijn F.; Jeppesen, Claus; Plano, Robert J.; Wenzel, Lawrence J.",,"Safinya, Cyrus R. (University of California, Santa Barbara); Sirota, Eric B. (ExxonMobil (United States)); Bruinsma, Robijn F. (University of California, Santa Barbara); Jeppesen, Claus (University of California Los Angeles); Plano, Robert J. (ExxonMobil (United States)); Wenzel, Lawrence J. ()",74,3,1.28,,,https://app.dimensions.ai/details/publication/pub.1062546686,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
209,200,pub.1057672019,10.1063/1.1144085,,,X‐ray Couette shear cell for nonequilibrium structural studies of complex fluids under flow,Review of Scientific Instruments,,,1993-05,1993,64,5,1309-1318,Closed,Article,"Plano, R. J.; Safinya, C. R.; Sirota, E. B.; Wenzel, L. J.",,"Plano, R. J. (); Safinya, C. R. (); Sirota, E. B. (); Wenzel, L. J. ()",20,0,,,,https://app.dimensions.ai/details/publication/pub.1057672019,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
210,400,pub.1062655587,10.1126/science.8438153,8438153,,Existence of a flat phase in red cell membrane skeletons,Science,,"Chemical Phenomena; Chemistry, Physical; Computer Simulation; Electrochemistry; Erythrocyte Membrane; Light; Mathematics; Models, Molecular; Scattering, Radiation; Spectrin; X-Rays",2/12/93,1993,259,5097,952-955,Closed,Article,"Schmidt, CF; Svoboda, K; Lei, N; Petsche, IB; Berman, LE; Safinya, CR; Grest, GS",,"Schmidt, CF (Harvard University); Svoboda, K (Harvard University); Lei, N (Harvard University); Petsche, IB (Harvard University); Berman, LE (Harvard University); Safinya, CR (Harvard University); Grest, GS (Harvard University)",96,1,1.59,,,https://app.dimensions.ai/details/publication/pub.1062655587,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
211,100,pub.1009989271,10.1080/02678299208032805,,,Local layer structure of the steep field line defect in surface-stabilized ferroelectric liquid crystal cells,Liquid Crystals,,,1992-12,1992,12,6,891-904,Closed,Article,"Willis, Paula C.; Clark, Noel A.; Xue, Jiu-Zhi; Safinya, Cyrus R.",,"Willis, Paula C. (); Clark, Noel A. (); Xue, Jiu-Zhi (); Safinya, Cyrus R. ()",12,0,,,,https://app.dimensions.ai/details/publication/pub.1009989271,0205 Optical Physics; 02 Physical Sciences; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0205 Optical Physics,02 Physical Sciences,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
212,200,pub.1056174298,10.1021/ma00041a011,,,Birefringence detection of the order-to-disorder transition in block copolymer liquids,Macromolecules,,,1992-07,1992,25,15,3896-3901,Closed,Article,"Balsara, N. P.; Perahia, D.; Safinya, C. R.; Tirrell, M.; Lodge, T. P.",,"Balsara, N. P. (); Perahia, D. (); Safinya, C. R. (); Tirrell, M. (); Lodge, T. P. ()",47,1,,,,https://app.dimensions.ai/details/publication/pub.1056174298,09 Engineering; 03 Chemical Sciences,09 Engineering,03 Chemical Sciences,,,
213,100,pub.1013496975,10.1080/02678299208029012,,,Molecular director and layer response of chevron surface stabilized ferroelectric liquid crystals to low electric field,Liquid Crystals,,,1992-04,1992,11,4,581-592,Closed,Article,"Willis, Paula C.; Clark, Noel A.; Safinya, Cyrus R.",,"Willis, Paula C. (); Clark, Noel A. (); Safinya, Cyrus R. ()",32,0,,,,https://app.dimensions.ai/details/publication/pub.1013496975,0205 Optical Physics; 02 Physical Sciences; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0205 Optical Physics,02 Physical Sciences,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
214,100,pub.1067924185,10.1557/proc-290-3,,,A New Mechanism for Lubrication in Liquid Crystals,MRS Advances,,,1992,1992,290,,3,Closed,Article,"Bruinsma, Robijn F.; Safinya, Cyrus R.",,"Bruinsma, Robijn F. (); Safinya, Cyrus R. ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1067924185,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
215,100,pub.1021981318,10.1007/978-3-642-84763-9_24,,,The Isolated Human Red Blood Cell Skeleton: An Example of a Flexible Tethered Membrane,Springer Proceedings in Physics,The Structure and Conformation of Amphiphilic Membranes,,1992,1992,66,,128-132,Closed,Chapter,"Schmidt, C. F.; Svoboda, K.; Lei, N.; Safinya, C. R.; Block, S. M.; Branton, D.",,"Schmidt, C. F. (Harvard University); Svoboda, K. (Harvard University); Lei, N. (ExxonMobil (United States)); Safinya, C. R. (ExxonMobil (United States)); Block, S. M. (Harvard University; Rowland Institute at Harvard); Branton, D. (Harvard University)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1021981318,0601 Biochemistry and Cell Biology; 0299 Other Physical Sciences; 06 Biological Sciences; 02 Physical Sciences,0601 Biochemistry and Cell Biology,0299 Other Physical Sciences,06 Biological Sciences,02 Physical Sciences,
216,300,pub.1060483332,10.1103/physreva.43.5377,9904851,,Landau theory of the nematic–smectic-A phase transition under shear flow,Physical Review A,,,1991-05,1991,43,10,5377-5404,Closed,Article,"Bruinsma, R. F.; Safinya, C. R.",,"Bruinsma, R. F. (University of California, Santa Barbara); Safinya, C. R. (ExxonMobil (United States); University of California, Santa Barbara)",50,2,0.67,,,https://app.dimensions.ai/details/publication/pub.1060483332,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
217,300,pub.1060802324,10.1103/physrevlett.66.1986,10043361,,Nematic to smectic-A phase transition under shear flow: A nonequilibrium synchrotron x-ray study,Physical Review Letters,,,1991-04,1991,66,15,1986-1989,Closed,Article,"Safinya, C. R.; Sirota, E. B.; Plano, R. J.",,"Safinya, C. R. (ExxonMobil (United States)); Sirota, E. B. (ExxonMobil (United States)); Plano, R. J. (ExxonMobil (United States))",120,5,2.57,,,https://app.dimensions.ai/details/publication/pub.1060802324,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
218,300,pub.1060482842,10.1103/physreva.43.1886,9905229,,Macrolattice formation in amorphous associating polymers,Physical Review A,,,1991-02,1991,43,4,1886-1891,Closed,Article,"Shen, Yi.; Safinya, C. R.; Fetters, L.; Adam, M.; Witten, T.; Hadjichristidis, N.",,"Shen, Yi. (ExxonMobil (United States); Queens College, City University of New York); Safinya, C. R. (ExxonMobil (United States)); Fetters, L. (ExxonMobil (United States)); Adam, M. (CEA Saclay); Witten, T. (); Hadjichristidis, N. (National and Kapodistrian University of Athens)",9,0,0.15,,,https://app.dimensions.ai/details/publication/pub.1060482842,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
219,100,pub.1017964285,10.1080/00150199108014067,,,Chevron layer structures in surface stabilized ferroelectric liquid crystal (SSFLC) cells filled with a material which exhibits the chiral nematic to smectic C* phase transition,Ferroelectrics,,,1991-01,1991,113,1,245-256,Closed,Article,"Rieker, T. P.; Clark, N. A.; Safinya, C. R.",,"Rieker, T. P. (); Clark, N. A. (University of Colorado Boulder); Safinya, C. R. (ExxonMobil (United States))",7,0,,,,https://app.dimensions.ai/details/publication/pub.1017964285,0204 Condensed Matter Physics; 02 Physical Sciences; 03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,0204 Condensed Matter Physics,02 Physical Sciences,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,
220,100,pub.1067920424,10.1557/proc-248-83,,,X-Ray Diffraction Studies of Tubules Formed from a Diacetylenic Phosphocholine Lipid,MRS Advances,,,1991,1991,248,,83,Closed,Article,"Thomas, B.; Safinya, C. R.; Plano, R.J.; Clark, N. A.; Ratna, B.R.; Shashidar, R.",,"Thomas, B. (); Safinya, C. R. (); Plano, R.J. (); Clark, N. A. (); Ratna, B.R. (); Shashidar, R. ()",2,0,,,,https://app.dimensions.ai/details/publication/pub.1067920424,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
221,100,pub.1067920421,10.1557/proc-248-63,,,"Scattering Studies of the Isolated Red Blood Cell Skeleton, a Biological Two-Dimensional Polymer",MRS Advances,,,1991,1991,248,,63,Closed,Article,"Svoboda, K.; Schmidt, C.F.; Lei, N.; Safinya, C.R.; Block, S.M.; Branton, D.",,"Svoboda, K. (); Schmidt, C.F. (); Lei, N. (); Safinya, C.R. (); Block, S.M. (); Branton, D. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1067920421,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
222,100,pub.1067920362,10.1557/proc-248-169,,,Lyotropic and Thermotropic Lrquid Crystals Under Shear Flow,MRS Advances,,,1991,1991,248,,169,Closed,Article,"Sirota, E. B.; Safinya, C. R.; Piano, R. J.; Jeppesen, C.; Bruinsma, R. F.",,"Sirota, E. B. (); Safinya, C. R. (); Piano, R. J. (); Jeppesen, C. (); Bruinsma, R. F. ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1067920362,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
223,200,pub.1058035776,10.1063/1.457764,,,X‐ray structural studies of freely suspended ordered hydrated DMPC multimembrane films,The Journal of Chemical Physics,,,1990-04,1990,92,7,4519-4529,Closed,Article,"Smith, G. S.; Sirota, E. B.; Safinya, C. R.; Plano, R. J.; Clark, N. A.",,"Smith, G. S. (); Sirota, E. B. (); Safinya, C. R. (); Plano, R. J. (); Clark, N. A. ()",110,2,,,,https://app.dimensions.ai/details/publication/pub.1058035776,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
224,100,pub.1019574590,10.1007/978-1-4615-3816-5_21,,,Universal Behavior in Phospholipid Multimembrane Systems,NATO ASI Series,Geometry and Thermodynamics,,1990,1990,229,,255-263,Closed,Chapter,"Sirota, E. B.; Safinya, C. R.; Smith, G. S.; Plano, R.; Roux, D.; Clark, N. A.",,"Sirota, E. B. (ExxonMobil (United States)); Safinya, C. R. (ExxonMobil (United States)); Smith, G. S. (ExxonMobil (United States)); Plano, R. (ExxonMobil (United States)); Roux, D. (French National Centre for Scientific Research); Clark, N. A. (University of Colorado System)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1019574590,01 Mathematical Sciences; 0101 Pure Mathematics,01 Mathematical Sciences,0101 Pure Mathematics,,,
225,300,pub.1060798380,10.1103/physrevlett.62.1134,10039585,,Universality in interacting membranes: The effect of cosurfactants on the interfacial rigidity,Physical Review Letters,,,1989-03,1989,62,10,1134-1137,Closed,Article,"Safinya, C. R.; Sirota, E. B.; Roux, D.; Smith, G. S.",,"Safinya, C. R. (ExxonMobil (United States); University of Colorado Boulder); Sirota, E. B. (ExxonMobil (United States); University of Colorado Boulder); Roux, D. (ExxonMobil (United States); University of Colorado Boulder); Smith, G. S. (ExxonMobil (United States); University of Colorado Boulder)",199,7,4.33,,,https://app.dimensions.ai/details/publication/pub.1060798380,02 Physical Sciences,02 Physical Sciences,,,,
226,100,pub.1009790626,10.1080/02678298908034176,,,Layer and director structure in surface stabilized ferroelectric liquid crystal cells with non-planar boundary conditions,Liquid Crystals,,,1989-01,1989,6,5,565-576,Closed,Article,"Rieker, T. P.; Clark, N. A.; Smith, G. S.; Safinya, C. R.",,"Rieker, T. P. (); Clark, N. A. (); Smith, G. S. (); Safinya, C. R. ()",29,0,,,,https://app.dimensions.ai/details/publication/pub.1009790626,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
227,100,pub.1067915036,10.1557/proc-177-27,,,X-Ray Diffraction Studies of Zwitterionic Associating Polymers,MRS Advances,,,1989,1989,177,,27,Closed,Article,"Shen, Y.; Safinya, C. R.; Fetters, L.; Adam, M.; Witten, T.; Liang, K. S.; Chance, R.; Stokes, J.",,"Shen, Y. (); Safinya, C. R. (); Fetters, L. (); Adam, M. (); Witten, T. (); Liang, K. S. (); Chance, R. (); Stokes, J. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1067915036,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
228,100,pub.1067915021,10.1557/proc-177-165,,,Nonequilibrium X-Ray Study of the Nematic to Smectic-a Transition Under Shear Flow,MRS Advances,,,1989,1989,177,,165,Closed,Article,"Safinya, C. R.; Sirota, E. B.; Piano, R.; Lei, N.",,"Safinya, C. R. (); Sirota, E. B. (); Piano, R. (); Lei, N. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1067915021,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
229,100,pub.1067915020,10.1557/proc-177-153,,,Nematic-Smectic a Phase-Transition Under Shear Flow,MRS Advances,,,1989,1989,177,,153,Closed,Article,"Bruinsma, R. F.; Safinya, C. R.",,"Bruinsma, R. F. (); Safinya, C. R. ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1067915020,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
230,100,pub.1027914477,10.1007/978-1-4613-0551-4_24,,,Rigid and Fluctuating Surfaces: A Series of Synchrotron X-ray Scattering Studies of Interacting Stacked Membranes,NATO ASI Series,Phase Transitions in Soft Condensed Matter,,1989,1989,211,,249-270,Closed,Chapter,"Safinya, C. R.",,"Safinya, C. R. (ExxonMobil (United States))",13,0,,,,https://app.dimensions.ai/details/publication/pub.1027914477,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
231,400,pub.1062537072,10.1126/science.242.4884.1406,17802136,,"X-ray Scattering Studies of Aligned, Stacked Surfactant Membranes",Science,,,12/9/88,1988,242,4884,1406-1409,Closed,Article,"Sirota, Eric B.; Smith, Gregory S.; Safinya, Cyrus R.; Plano, Robert J.; Clark, Noel A.",,"Sirota, Eric B. (ExxonMobil (United States)); Smith, Gregory S. (University of Colorado Boulder); Safinya, Cyrus R. (ExxonMobil (United States)); Plano, Robert J. (ExxonMobil (United States)); Clark, Noel A. (University of Colorado System)",66,2,1.77,,,https://app.dimensions.ai/details/publication/pub.1062537072,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
232,300,pub.1060797398,10.1103/physrevlett.60.813,10038659,,Structure of the Lβ phases in a hydrated phosphatidylcholine multimembrane,Physical Review Letters,,,1988-02,1988,60,9,813-816,Closed,Article,"Smith, G. S.; Sirota, E. B.; Safinya, C. R.; Clark, N. A.",,"Smith, G. S. (ExxonMobil (United States); University of Colorado Boulder); Sirota, E. B. (ExxonMobil (United States); University of Colorado Boulder); Safinya, C. R. (ExxonMobil (United States); University of Colorado Boulder); Clark, N. A. (ExxonMobil (United States); University of Colorado Boulder)",162,4,4.67,,,https://app.dimensions.ai/details/publication/pub.1060797398,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
