,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Michael F Goodchild. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,200,pub.1053247535,10.1111/j.1538-4632.1999.tb00987.x,,,Reflections of a Past Editor,Geographical Analysis,,,1999-10,1999,31,4,328-331,All OA; Gold,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",3,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1538-4632.1999.tb00987.x,https://app.dimensions.ai/details/publication/pub.1053247535,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
137,100,pub.1036314691,10.1080/136588199241067,,,Geostatistics for conflation and accuracy assessment of digital elevation models,International Journal of Geographical Information Science,,,1999-10,1999,13,7,677-707,Closed,Article,"Kyriakidis, Phaedon C.; Shortridge, Ashton M.; Goodchild, Michael F.",,"Kyriakidis, Phaedon C. (); Shortridge, Ashton M. (); Goodchild, Michael F. ()",89,14,,,,https://app.dimensions.ai/details/publication/pub.1036314691,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
138,100,pub.1023252154,10.1007/s001680050101,,,Location expression standards for ITS: Testing the LRMS Cross Street Profile,The Annals of Regional Science,,,1999-05,1999,33,2,197-212,Closed,Article,"Noronha, Val; Goodchild, Michael; Church, Richard; Fohl, Pete",,"Noronha, Val (University of California, Santa Barbara); Goodchild, Michael (University of California, Santa Barbara); Church, Richard (University of California, Santa Barbara); Fohl, Pete ()",3,0,,,,https://app.dimensions.ai/details/publication/pub.1023252154,16 Studies in Human Society; 1604 Human Geography; 12 Built Environment and Design; 1205 Urban and Regional Planning,16 Studies in Human Society,1604 Human Geography,12 Built Environment and Design,1205 Urban and Regional Planning,
139,200,pub.1058156874,10.1068/b260313,,,"Reviews: The Information Age: Economy, Society and Culture. Volume III: End of Millennium, Fundamentals of Geographic Information Systems, Principles of Geographical Information Systems",Environment and Planning B Urban Analytics and City Science,,,1999-04,1999,26,2,313-316,Closed,Article,"Latham, A; Mesev, V; Goodchild, M F",,"Latham, A (University of Auckland); Mesev, V (University of Bristol); Goodchild, M F (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1058156874,1201 Architecture; 1203 Design Practice and Management; 12 Built Environment and Design; 1205 Urban and Regional Planning,1201 Architecture,1203 Design Practice and Management,12 Built Environment and Design,1205 Urban and Regional Planning,
140,100,pub.1095025774,10.1109/fuzzy.1998.687484,,,Fuzzy spatial queries in digital spatial data libraries,FUZZ-IEEE'99 1999 IEEE International Fuzzy Systems Conference Proceedings (Cat No99CH36315),1998 IEEE International Conference on Fuzzy Systems Proceedings. IEEE World Congress on Computational Intelligence (Cat. No.98CH36228),,1998,1998,1,,205-210 vol.1,Closed,Proceeding,"Goodchild, M.F.; Montello, D.R.; Fohl, P.; Gottsegen, J.",,"Goodchild, M.F. (University of California, Santa Barbara); Montello, D.R. (); Fohl, P. (); Gottsegen, J. ()",9,1,,,,https://app.dimensions.ai/details/publication/pub.1095025774,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0806 Information Systems,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0806 Information Systems,
141,100,pub.1050719123,10.1016/s0198-9715(98)00009-x,,,Towards a geography of geographic information in a digital world,Computers Environment and Urban Systems,,,1997-11,1997,21,6,377-391,Closed,Article,"Goodchild, Michael F",,"Goodchild, Michael F (University of California, Santa Barbara)",20,0,,,,https://app.dimensions.ai/details/publication/pub.1050719123,09 Engineering; 0909 Geomatic Engineering; 12 Built Environment and Design; 1205 Urban and Regional Planning,09 Engineering,0909 Geomatic Engineering,12 Built Environment and Design,1205 Urban and Regional Planning,
142,100,pub.1016098515,10.1080/136588197242176,,,Data from the deep: implications for the GIS community,International Journal of Geographical Information Science,,,1997-09,1997,11,6,523-528,Closed,Article,"WRIGHT, DAWN J.; GOODCHILD, MICHAEL F.",,"WRIGHT, DAWN J. (); GOODCHILD, MICHAEL F. ()",35,2,,,,https://app.dimensions.ai/details/publication/pub.1016098515,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
143,200,pub.1038963609,10.1111/0004-5608.00059,,,Reply: Still Hoping to Turn That Theoretical Corner,Annals of the American Association of Geographers,,,1997-06,1997,87,2,373-373,Closed,Article,"Wright, Dawn J.; Goodchild, Michael F.; Proctor, James D.",,"Wright, Dawn J. (Oregon State University); Goodchild, Michael F. (University of California, Santa Barbara); Proctor, James D. (University of California, Santa Barbara)",7,1,,,,https://app.dimensions.ai/details/publication/pub.1038963609,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
144,100,pub.1047362521,10.1111/0004-5608.872057,,,Demystifying the Persistent Ambiguity of GIS as ‘Tool’ versus ‘Science’,Annals of the American Association of Geographers,,,1997-06,1997,87,2,346-362,Closed,Article,"Wright, Dawn J.; Goodchild, Michael F.; Proctor, James D.",,"Wright, Dawn J. (Oregon State University); Goodchild, Michael F. (University of California, Santa Barbara); Proctor, James D. (University of California, Santa Barbara)",114,15,,,,https://app.dimensions.ai/details/publication/pub.1047362521,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
145,100,pub.1024591037,10.1016/s0098-3004(97)00005-8,,,Visualizing spatial data uncertainty using animation,Computers & Geosciences,,,1997-05,1997,23,4,387-395,Closed,Article,"Ehlschlaeger, Charles R.; Shortridge, Ashton M.; Goodchild, Michael F.",,"Ehlschlaeger, Charles R. (Hunter College); Shortridge, Ashton M. (University of California, Santa Barbara); Goodchild, Michael F. (University of California, Santa Barbara)",97,9,,,,https://app.dimensions.ai/details/publication/pub.1024591037,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
146,100,pub.1030053955,10.1111/j.1538-4632.1997.tb00944.x,,,Modeling the Uncertainty of Slope and Aspect Estimates Derived from Spatial Databases,Geographical Analysis,,,1997-01,1997,29,1,35-49,All OA; Gold,Article,"Hunter, Gary J.; Goodchild, Michael F.",,"Hunter, Gary J. (University of Melbourne); Goodchild, Michael F. (University of California, Santa Barbara)",140,21,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1538-4632.1997.tb00944.x,https://app.dimensions.ai/details/publication/pub.1030053955,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
147,100,pub.1018453310,10.1111/j.1467-9671.1996.tb00030.x,,,Communicating uncertainty in spatial databases,Transactions in GIS,,,1996-01,1996,1,1,13-24,Closed,Article,"HUNTER, GARY J; GOODCHILD, MICHAEL F",,"HUNTER, GARY J (University of Melbourne); GOODCHILD, MICHAEL F (University of California, Santa Barbara)",20,3,,,,https://app.dimensions.ai/details/publication/pub.1018453310,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
148,100,pub.1042170270,10.2307/3235878,,,Integrating GIS and remote sensing for vegetation analysis and modeling: methodological issues,Journal of Vegetation Science,,,1994-10,1994,5,5,615-626,Closed,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",92,6,,,,https://app.dimensions.ai/details/publication/pub.1042170270,0602 Ecology; 0705 Forestry Sciences; 0607 Plant Biology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0705 Forestry Sciences,0607 Plant Biology,06 Biological Sciences,07 Agricultural and Veterinary Sciences
149,200,pub.1016507494,10.1111/j.0033-0124.1993.00444.x,,,Ten Years Ahead: Dobson's Automated Geography in 1993,The Professional Geographer,,,1993-11,1993,45,4,444-446,Closed,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",10,1,,,,https://app.dimensions.ai/details/publication/pub.1016507494,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
150,100,pub.1032034511,10.1111/j.1538-4632.1993.tb00299.x,,,A Factorial Model of Aggregate Spatio‐Temporal Behavior: Application to the Diurnal Cycle,Geographical Analysis,,,1993-10,1993,25,4,277-294,All OA; Gold,Article,"Goodchild, Michael F.; Klinkenberg, Brian; Janelle, Donald G.",,"Goodchild, Michael F. (University of California, Santa Barbara); Klinkenberg, Brian (University of British Columbia); Janelle, Donald G. ()",29,4,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1538-4632.1993.tb00299.x,https://app.dimensions.ai/details/publication/pub.1032034511,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
151,200,pub.1014500189,10.1111/j.0033-0124.1993.00216.x,,,"GIS, Geography, and NCGIA: Response to Jerome Dobson*",The Professional Geographer,,,1993-05,1993,45,2,216-220,Closed,Article,"Goodchild, Michael F.; Mark, David M.",,"Goodchild, Michael F. (University of California, Santa Barbara); Mark, David M. (University at Buffalo, State University of New York)",6,0,,,,https://app.dimensions.ai/details/publication/pub.1014500189,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
152,100,pub.1058153236,10.1068/a250383,,,A Framework for the Areal Interpolation of Socioeconomic Data,Environment and Planning A Economy and Space,,,1993-03,1993,25,3,383-397,Closed,Article,"Goodchild, M F; Anselin, L; Deichmann, U",,"Goodchild, M F (University of California, Santa Barbara); Anselin, L (University of California, Santa Barbara); Deichmann, U (University of California, Santa Barbara)",215,27,,,,https://app.dimensions.ai/details/publication/pub.1058153236,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics
153,100,pub.1024942771,10.1080/02693799208901923,,,Integrating GIS and spatial data analysis: problems and possibilities,International Journal of Geographical Information Systems,,,1992-09,1992,6,5,407-423,Closed,Article,"GOODCHILD, MICHAEL; HAINING, ROBERT; others†, STEEN WISE and 12",,"GOODCHILD, MICHAEL (University of California, Santa Barbara); HAINING, ROBERT (University of Sheffield); others†, STEEN WISE and 12 ()",194,23,,,,https://app.dimensions.ai/details/publication/pub.1024942771,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
154,100,pub.1037011934,10.1080/02693799208901915,,,NCGIA education activities: the core curriculum and beyond,International Journal of Geographical Information Systems,,,1992-07,1992,6,4,309-320,Closed,Article,"GOODCHILD, MICHAEL F.; KEMP, KAREN K.",,"GOODCHILD, MICHAEL F. (University of California, Santa Barbara); KEMP, KAREN K. (University of California, Santa Barbara)",32,4,,,,https://app.dimensions.ai/details/publication/pub.1037011934,1302 Curriculum and Pedagogy; 13 Education,1302 Curriculum and Pedagogy,13 Education,,,
155,100,pub.1047845734,10.1111/j.0033-0124.1992.00181.x,,,Teaching GIS in Geography*,The Professional Geographer,,,1992-05,1992,44,2,181-191,Closed,Article,"Kemp, Karen K.; Goodchild, Michael F.; Dodson, Rustin F.",,"Kemp, Karen K. (University of California, Santa Barbara); Goodchild, Michael F. (University of California, Santa Barbara); Dodson, Rustin F. (University of California, Santa Barbara)",53,6,,,,https://app.dimensions.ai/details/publication/pub.1047845734,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
156,100,pub.1046685562,10.1016/0098-3004(92)90069-4,,,Geographical data modeling,Computers & Geosciences,,,1992-05,1992,18,4,401-408,Closed,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",227,19,,,,https://app.dimensions.ai/details/publication/pub.1046685562,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
157,100,pub.1034730128,10.1002/esp.3290170303,,,The fractal properties of topography: A comparison of methods,Earth Surface Processes and Landforms,,,1992-05,1992,17,3,217-234,Closed,Article,"Klinkenberg, B.; Goodchild, M. F.",,"Klinkenberg, B. (University of British Columbia); Goodchild, M. F. (University of California, Santa Barbara)",144,7,,,,https://app.dimensions.ai/details/publication/pub.1034730128,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
158,100,pub.1019146306,10.1111/j.1467-8306.1992.tb01899.x,,,Modeling Interregional Interaction: Implications for Defining Functional Regions,Annals of the American Association of Geographers,,,1992-03,1992,82,1,86-102,Closed,Article,"Noronha, Valerian T.; Goodchild, Michael F.",,"Noronha, Valerian T. (); Goodchild, Michael F. (University of California, Santa Barbara)",17,4,,,,https://app.dimensions.ai/details/publication/pub.1019146306,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
159,100,pub.1011626542,10.1080/02693799208901898,,,Development and test of an error model for categorical data,International Journal of Geographical Information Systems,,,1992-03,1992,6,2,87-103,Closed,Article,"GOODCHILD, MICHAEL F.; GUOQING, SUN; SHIREN, YANG",,"GOODCHILD, MICHAEL F. (University of California, Santa Barbara); GUOQING, SUN (Ressler & Associates (United States)); SHIREN, YANG (University of California, Santa Barbara)",137,4,,,,https://app.dimensions.ai/details/publication/pub.1011626542,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
160,100,pub.1049172880,10.1016/1049-9652(92)90032-s,,,A hierarchical spatial data structure for global geographic information systems,Graphical Models,,,1992-01,1992,54,1,31-44,"All OA; Green, Accepted & Submitted",Article,"Goodchild, Michael F; Shiren, Yang",,"Goodchild, Michael F (University of California, Santa Barbara); Shiren, Yang (University of California, Santa Barbara)",77,11,,,http://www.ncgia.ucsb.edu/technical-reports/PDF/89-5.pdf,https://app.dimensions.ai/details/publication/pub.1049172880,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
161,100,pub.1012414626,10.1080/02693799208901893,,,Geographical information science,International Journal of Geographical Information Systems,,,1992-01,1992,6,1,31-45,Closed,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",412,66,,,,https://app.dimensions.ai/details/publication/pub.1012414626,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
162,200,pub.1036187867,10.1177/030913259101500205,,,Geographic information systems,Progress in Human Geography,,,1991-06,1991,15,2,194-200,Closed,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",26,3,,,,https://app.dimensions.ai/details/publication/pub.1036187867,"16 Studies in Human Society; 2002 Cultural Studies; 1604 Human Geography; 20 Language, Communication and Culture",16 Studies in Human Society,2002 Cultural Studies,1604 Human Geography,"20 Language, Communication and Culture",
163,100,pub.1029058555,10.1007/3-540-52208-5_25,,,Tiling large geographical databases,Lecture Notes in Computer Science,Design and Implementation of Large Spatial Databases,,1990,1990,409,,135-146,Closed,Chapter,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",4,0,,,,https://app.dimensions.ai/details/publication/pub.1029058555,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
164,100,pub.1032196831,10.1007/bf02097802,,,Coverage problems and visibility regions on topographic surfaces,Annals of Operations Research,,,1989-12,1989,18,1,175-186,Closed,Article,"Goodchild, Michael F.; Lee, Jay",,"Goodchild, Michael F. (Western University); Lee, Jay (Western University)",52,4,,,,https://app.dimensions.ai/details/publication/pub.1032196831,08 Information and Computing Sciences; 0802 Computation Theory and Mathematics,08 Information and Computing Sciences,0802 Computation Theory and Mathematics,,,
165,200,pub.1022033243,10.1111/j.1467-8306.1988.tb00227.x,,,Questions Regarding “Specialization in the Structure and Organization of Geography”: A Reply,Annals of the American Association of Geographers,,,1988-09,1988,78,3,547-549,Closed,Article,"Goodchild, Michael F.; Janelle, Donald G.",,"Goodchild, Michael F. (Western University); Janelle, Donald G. (Western University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1022033243,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
166,100,pub.1029030392,10.1007/bf00890580,,,Lakes on fractal surfaces: A null hypothesis for lake-rich landscapes,Mathematical Geosciences,,,1988-08,1988,20,6,615-630,Closed,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (Western University)",27,2,,,,https://app.dimensions.ai/details/publication/pub.1029030392,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
167,100,pub.1058152807,10.1068/a200891,,,Space-Time Diaries and Travel Characteristics for Different Levels of Respondent Aggregation,Environment and Planning A Economy and Space,,,1988-07,1988,20,7,891-906,Closed,Article,"Janelle, D G; Goodchild, M F; Klinkenberg, B",,"Janelle, D G (Western University); Goodchild, M F (Western University); Klinkenberg, B (University of British Columbia)",32,3,,,,https://app.dimensions.ai/details/publication/pub.1058152807,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
168,100,pub.1046661460,10.1111/j.1467-8306.1988.tb00189.x,,,Specialization in the Structure and Organization of Geography,Annals of the American Association of Geographers,,,1988-03,1988,78,1,28-Jan,Closed,Article,"Goodchild, Michael F.; Janelle, Donald G.",,"Goodchild, Michael F. (Western University); Janelle, Donald G. (Western University)",39,3,,,,https://app.dimensions.ai/details/publication/pub.1046661460,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
169,100,pub.1015628850,10.1111/j.1467-8306.1987.tb00158.x,,,The Fractal Nature of Geographic Phenomena,Annals of the American Association of Geographers,,,1987-06,1987,77,2,265-278,Closed,Article,"Goodchild, Michael F.; Mark, David M.",,"Goodchild, Michael F. (Western University); Mark, David M. (University at Buffalo, State University of New York)",221,23,,,,https://app.dimensions.ai/details/publication/pub.1015628850,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
170,100,pub.1046847881,10.1080/02693798708927820,,,A spatial analytical perspective on geographical information systems,International Journal of Geographical Information Systems,,,1987-01,1987,1,4,327-334,Closed,Article,"GOODCHILD, MICHAEL F.",,"GOODCHILD, MICHAEL F. (Western University)",134,14,,,,https://app.dimensions.ai/details/publication/pub.1046847881,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
171,200,pub.1024567960,10.1111/j.0033-0124.1986.00279.x,,,A HOUSING STOCK MODEL FOR SCHOOL POPULATION FORECASTING AND PLANNING*,The Professional Geographer,,,1986-08,1986,38,3,279-286,Closed,Article,"Taylor, H. W.; Code, W. R.; Goodchild, M. F.",,"Taylor, H. W. (Western University); Code, W. R. (Western University); Goodchild, M. F. (Western University)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1024567960,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
172,100,pub.1049602179,10.1007/bf02027381,,,Discrete space location-allocation solutions from genetic algorithms,Annals of Operations Research,,,1986-02,1986,6,2,35-46,Closed,Article,"Hosage, C. M.; Goodchild, M. F.",,"Hosage, C. M. (Western University); Goodchild, M. F. (Western University)",82,6,,,,https://app.dimensions.ai/details/publication/pub.1049602179,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0802 Computation Theory and Mathematics,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0802 Computation Theory and Mathematics,,
173,100,pub.1053967994,10.1068/a160807,,,The City around the Clock: Space—Time Patterns of Urban Ecological Structure,Environment and Planning A Economy and Space,,,1984-06,1984,16,6,807-820,Closed,Article,"Goodchild, M F; Janelle, D G",,"Goodchild, M F (Western University); Janelle, D G (Western University)",59,5,,,,https://app.dimensions.ai/details/publication/pub.1053967994,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
174,100,pub.1031896860,10.1007/978-94-017-3048-8_3,,,Geocoding and Geosampling,,Spatial Statistics and Models,,1984,1984,,,33-53,Closed,Chapter,"Goodchild, Michael F.",,"Goodchild, Michael F. (Western University)",7,0,,,,https://app.dimensions.ai/details/publication/pub.1031896860,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
175,200,pub.1070920099,10.2747/0272-3638.4.4.317,,,Transportation Indicators of Space-Time Autonomy,Urban Geography,,,10/1/83,1983,4,4,317-337,Closed,Article,"Janelle, Donald G.; Goodchild, Michael F.",,"Janelle, Donald G. (); Goodchild, Michael F. ()",10,0,,,,https://app.dimensions.ai/details/publication/pub.1070920099,"12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 16 Studies in Human Society; 1506 Tourism; 1604 Human Geography; 1205 Urban and Regional Planning",12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",16 Studies in Human Society,1506 Tourism,1604 Human Geography
176,100,pub.1046514141,10.1080/01490408109512981,,,The importance of urban milieu in predicting recreation participation: The case of day hiking,Leisure Sciences,,,1981-01,1981,4,4,459-476,Closed,Article,"Fesenmaier, Daniel R.; Goodchild, Michael F.; Lieber, Stanley R.",,"Fesenmaier, Daniel R. (); Goodchild, Michael F. (); Lieber, Stanley R. ()",5,1,,,,https://app.dimensions.ai/details/publication/pub.1046514141,"1506 Tourism; 1504 Commercial Services; 15 Commerce, Management, Tourism and Services",1506 Tourism,1504 Commercial Services,"15 Commerce, Management, Tourism and Services",,
177,100,pub.1101020969,10.1080/00222216.1980.11969446,,,Correlates of Day-Hiking Travel: The Effects of Aggregation,Journal of Leisure Research,,,1980-07,1980,12,3,213-228,Closed,Article,"Fesemaier, Daniel R.; Goodchild, Michael F.; Lieber, Stanley R.",,"Fesemaier, Daniel R. (); Goodchild, Michael F. (); Lieber, Stanley R. ()",3,1,,,,https://app.dimensions.ai/details/publication/pub.1101020969,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
178,100,pub.1003308874,10.1007/bf01035241,,,Fractals and the accuracy of geographical measures,Mathematical Geosciences,,,1980-04,1980,12,2,85-98,Closed,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (Western University)",169,13,,,,https://app.dimensions.ai/details/publication/pub.1003308874,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering; 0102 Applied Mathematics; 0403 Geology; 01 Mathematical Sciences; 04 Earth Sciences,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,0102 Applied Mathematics,0403 Geology,01 Mathematical Sciences
179,100,pub.1049249201,10.1016/b978-0-12-267180-7.50015-3,,,THE EFFECTS OF GENERALIZATION IN GEOGRAPHICAL DATA ENCODING,,Map Data Processing,,1980,1980,,Cart. J. 6211969,191-205,Closed,Chapter,"Goodchild, Michael F.",,"Goodchild, Michael F. (Western University)",5,0,,,,https://app.dimensions.ai/details/publication/pub.1049249201,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
180,100,pub.1024512776,10.1111/j.1541-0064.1979.tb00661.x,,,The Spatial Structure of the Rural‐Urban Fringe: a Multivariate Approach,Canadian Geographer / Le Géographe canadien,,,1979-09,1979,23,3,255-265,Closed,Article,"Fesenmaier, Daniel R.; Goodchild, Michael F.; Morrison, Sandra",,"Fesenmaier, Daniel R. (Western University); Goodchild, Michael F. (Western University); Morrison, Sandra (Western University)",9,3,,,,https://app.dimensions.ai/details/publication/pub.1024512776,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
181,200,pub.1032667068,10.1111/j.1541-0064.1971.tb00157.x,,,Temporal Trends In The Spatial Organization Of A Service Agency,Canadian Geographer / Le Géographe canadien,,,1971-09,1971,15,3,193-206,Closed,Article,"MASSAM, BRYAN H.; GOODCHILD, MICHAEL F.",,"MASSAM, BRYAN H. (McGill University); GOODCHILD, MICHAEL F. (Western University)",24,4,,,,https://app.dimensions.ai/details/publication/pub.1032667068,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
182,100,pub.1092600949,10.1080/04353684.1969.11879334,,,Some Least-Cost Models of Spatial Administrative Systems in Southern Ontario,Geografiska Annaler Series B Human Geography,,,1969-10,1969,51,2,86-94,Closed,Article,"Goodchild, M.F.; Massam, B. H.",,"Goodchild, M.F. (Western University); Massam, B. H. (Western University)",11,0,,,,https://app.dimensions.ai/details/publication/pub.1092600949,"15 Commerce, Management, Tourism and Services; 16 Studies in Human Society; 1506 Tourism; 1604 Human Geography; 1601 Anthropology","15 Commerce, Management, Tourism and Services",16 Studies in Human Society,1506 Tourism,1604 Human Geography,1601 Anthropology
