,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Bernard Kirtman. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,200,pub.1057692295,10.1063/1.1290022,,,Determination of vibrational polarizabilities and hyperpolarizabilities using field-induced coordinates,The Journal of Chemical Physics,,,2000,2000,113,13,5203,"All OA; Green, Published",Article,"Luis, Josep M.; Duran, Miquel; Champagne, Benoı̂t; Kirtman, Bernard",,"Luis, Josep M. (); Duran, Miquel (); Champagne, Benoı̂t (); Kirtman, Bernard ()",58,5,,,https://dugi-doc.udg.edu/bitstream/10256/3226/1/561.pdf,https://app.dimensions.ai/details/publication/pub.1057692295,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
121,100,pub.1013152141,10.1002/1097-461x(2000)80:3<471::aid-qua17>3.0.co;2-b,,,Calculation of static zero‐point vibrational averaging corrections and other vibrational curvature contributions to polarizabilities and hyperpolarizabilities using field‐induced coordinates,International Journal of Quantum Chemistry,,,2000,2000,80,3,471-479,Closed,Article,"Luis, Josep M.; Champagne, Benoît; Kirtman, Bernard",,"Luis, Josep M. (University of California, Santa Barbara); Champagne, Benoît (); Kirtman, Bernard (University of California, Santa Barbara)",31,4,,3.82,,https://app.dimensions.ai/details/publication/pub.1013152141,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
122,200,pub.1058070301,10.1063/1.479373,,,"Finite field treatment of vibrational polarizabilities and hyperpolarizabilities: On the role of the Eckart conditions, their implementation, and their use in characterizing key vibrations",The Journal of Chemical Physics,,,7/15/99,1999,111,3,875-884,"All OA; Green, Published",Article,"Luis, Josep M.; Duran, Miquel; Andrés, Jose L.; Champagne, Benoı̂t; Kirtman, Bernard",,"Luis, Josep M. (); Duran, Miquel (); Andrés, Jose L. (); Champagne, Benoı̂t (); Kirtman, Bernard ()",62,7,,,https://dugi-doc.udg.edu/bitstream/10256/3224/1/566.pdf,https://app.dimensions.ai/details/publication/pub.1058070301,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
123,100,pub.1060820594,10.1103/physrevlett.83.694,,,Electric Field Dependence of the Exchange-Correlation Potential in Molecular Chains,Physical Review Letters,,,1999-07,1999,83,4,694-697,"All OA; Green, Published",Article,"van Gisbergen, S. J. A.; Schipper, P. R. T.; Gritsenko, O. V.; Baerends, E. J.; Snijders, J. G.; Champagne, B.; Kirtman, B.",,"van Gisbergen, S. J. A. (VU University Amsterdam); Schipper, P. R. T. (VU University Amsterdam); Gritsenko, O. V. (VU University Amsterdam); Baerends, E. J. (VU University Amsterdam); Snijders, J. G. (University of Groningen); Champagne, B. (); Kirtman, B. (University of California, Santa Barbara)",264,8,,,https://research.vu.nl/ws/files/1622524/L83.pdf,https://app.dimensions.ai/details/publication/pub.1060820594,02 Physical Sciences,02 Physical Sciences,,,,
124,100,pub.1009586861,10.1016/s0301-0104(99)00072-5,,,Vibrational versus electronic first hyperpolarizabilities of π-conjugated organic molecules: an ab initio Hartree–Fock investigation upon the effects of the nature of the linker,Chemical Physics,,,1999-07,1999,245,3-Jan,213-226,Closed,Article,"Champagne, Benoı̂t; Kirtman, Bernard","Champagne, Benoı̂t","Champagne, Benoı̂t (); Kirtman, Bernard (University of California, Santa Barbara)",51,2,,,,https://app.dimensions.ai/details/publication/pub.1009586861,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
125,200,pub.1058069276,10.1063/1.479106,,,"Erratum: “Assessment of conventional density functional schemes for computing the polarizabilities and hyperpolarizabilities of conjugated oligomers: An
                    ab initio
                    investigation of polyacetylene chains” [J. Chem. Phys.
                    109
                    , 10489 (1998)]",The Journal of Chemical Physics,,,6/15/99,1999,110,23,11664-11664,All OA; Gold,Article,"Champagne, Benoı̂t; Perpète, Eric A.; van Gisbergen, Stan J. A.; Baerends, Evert-Jan; Snijders, Jaap G.; Soubra-Ghaoui, Chirine; Robins, Kathleen A.; Kirtman, Bernard",,"Champagne, Benoı̂t (); Perpète, Eric A. (); van Gisbergen, Stan J. A. (); Baerends, Evert-Jan (); Snijders, Jaap G. (); Soubra-Ghaoui, Chirine (); Robins, Kathleen A. (); Kirtman, Bernard ()",30,0,,,https://aip.scitation.org/doi/pdf/10.1063/1.479106,https://app.dimensions.ai/details/publication/pub.1058069276,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
126,100,pub.1010780582,10.1016/s0009-2614(99)00375-9,,,Major intermolecular effects on nonlinear electrical response in a hexatriene model of solid state polyacetylene,Chemical Physics Letters,,,1999-05,1999,305,2-Jan,132-138,Closed,Article,"Kirtman, Bernard; Dykstra, Clifford E.; Champagne, Benoit","Dykstra, Clifford E.","Kirtman, Bernard (University of California, Santa Barbara); Dykstra, Clifford E. (Indiana University – Purdue University Indianapolis); Champagne, Benoit ()",43,1,,,,https://app.dimensions.ai/details/publication/pub.1010780582,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
127,100,pub.1035814899,10.1007/3-540-48972-x_8,,,Local Space Approximation Methods for Correlated Electronic Structure Calculations in Large Delocalized Systems that are Locally Perturbed,Topics in Current Chemistry,Correlation and Localization,,1999,1999,203,,147-166,Closed,Chapter,"Kirtman, Bernard",,"Kirtman, Bernard (University of California, Santa Barbara)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1035814899,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
128,200,pub.1058066997,10.1063/1.477731,,,"Assessment of conventional density functional schemes for computing the polarizabilities and hyperpolarizabilities of conjugated oligomers: An
                    ab initio
                    investigation of polyacetylene chains",The Journal of Chemical Physics,,,12/15/98,1998,109,23,10489-10498,"All OA; Green, Published",Article,"Champagne, Benoı̂t; Perpète, Eric A.; van Gisbergen, Stan J. A.; Baerends, Evert-Jan; Snijders, Jaap G.; Soubra-Ghaoui, Chirine; Robins, Kathleen A.; Kirtman, Bernard",,"Champagne, Benoı̂t (); Perpète, Eric A. (); van Gisbergen, Stan J. A. (); Baerends, Evert-Jan (); Snijders, Jaap G. (); Soubra-Ghaoui, Chirine (); Robins, Kathleen A. (); Kirtman, Bernard ()",335,14,,,https://pure.rug.nl/ws/files/71288161/1.477731.pdf,https://app.dimensions.ai/details/publication/pub.1058066997,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
129,200,pub.1058066832,10.1063/1.477665,,,Relationship between static vibrational and electronic hyperpolarizabilities of π-conjugated push–pull molecules within the two-state valence-bond charge-transfer model,The Journal of Chemical Physics,,,12/8/98,1998,109,22,9987-9994,Closed,Article,"Bishop, David M.; Champagne, Benoı̂t; Kirtman, Bernard",,"Bishop, David M. (); Champagne, Benoı̂t (); Kirtman, Bernard ()",79,4,,,,https://app.dimensions.ai/details/publication/pub.1058066832,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
130,200,pub.1058065606,10.1063/1.477289,,,"Effect of solid-state interactions on the vibrational hyperpolarizability of all-
                    trans
                    polyacetylene chains from
                    ab initio
                    Hartree–Fock calculations",The Journal of Chemical Physics,,,10/15/98,1998,109,15,6450-6455,Closed,Article,"Champagne, Benoit; Kirtman, Bernard",,"Champagne, Benoit (); Kirtman, Bernard ()",14,0,,,,https://app.dimensions.ai/details/publication/pub.1058065606,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
131,200,pub.1058062747,10.1063/1.476461,,,Additional compact formulas for vibrational dynamic dipole polarizabilities and hyperpolarizabilities,The Journal of Chemical Physics,,,6/22/98,1998,108,24,10013-10017,"All OA; Green, Published",Article,"Bishop, David M.; Luis, Josep M.; Kirtman, Bernard",,"Bishop, David M. (); Luis, Josep M. (); Kirtman, Bernard ()",106,7,,,https://dugi-doc.udg.edu/bitstream/10256/3194/1/568.pdf,https://app.dimensions.ai/details/publication/pub.1058062747,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
132,200,pub.1058062746,10.1063/1.476460,,,Simple finite field method for calculation of static and dynamic vibrational hyperpolarizabilities: Curvature contributions,The Journal of Chemical Physics,,,6/22/98,1998,108,24,10008-10012,"All OA; Green, Published",Article,"Kirtman, Bernard; Luis, Josep M.; Bishop, David M.",,"Kirtman, Bernard (); Luis, Josep M. (); Bishop, David M. ()",68,2,,,https://dugi-doc.udg.edu/bitstream/10256/3274/1/569.pdf,https://app.dimensions.ai/details/publication/pub.1058062746,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
133,200,pub.1058061363,10.1063/1.475845,,,"Comment on “The hyperpolarizability of trans-butadiene: A critical test case for quantum chemical models” [J. Chem. Phys. 106, 1827 (1997)]",The Journal of Chemical Physics,,,3/8/98,1998,108,10,4355-4357,All OA; Gold,Article,"Kirtman, Bernard; Toto, Joseph L.; Breneman, Curt; de Melo, Celso P.; Bishop, David M.",,"Kirtman, Bernard (University of California, Santa Barbara); Toto, Joseph L. (Rensselaer Polytechnic Institute); Breneman, Curt (Rensselaer Polytechnic Institute); de Melo, Celso P. (Federal University of Pernambuco); Bishop, David M. (University of Ottawa)",10,0,,,https://aip.scitation.org/doi/pdf/10.1063/1.475845,https://app.dimensions.ai/details/publication/pub.1058061363,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
134,200,pub.1058061279,10.1063/1.475810,,,"Nuclear relaxation contribution to static and dynamic (infinite frequency approximation) nonlinear optical properties by means of electrical property expansions: Application to HF, CH4, CF4, and SF6",The Journal of Chemical Physics,,,3/8/98,1998,108,10,4123-4130,"All OA; Green, Published",Article,"Luis, Josep M.; Martı́, Josep; Duran, Miquel; Andrés, José L.; Kirtman, Bernard",,"Luis, Josep M. (); Martı́, Josep (); Duran, Miquel (); Andrés, José L. (); Kirtman, Bernard ()",53,4,,,https://dugi-doc.udg.edu/bitstream/10256/3238/1/570.pdf,https://app.dimensions.ai/details/publication/pub.1058061279,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
135,100,pub.1030174001,10.1016/s0166-1280(97)00138-3,,,Double harmonic vibrational second hyperpolarizabilities of polyyne chains,Computational and Theoretical Chemistry,,,1998-02,1998,425,2-Jan,115-122,Closed,Article,"Perpète, Éric A.; Champagne, Benoît; André, Jean-Marie; Kirtman, Bernard","Perpète, Éric A.","Perpète, Éric A. (); Champagne, Benoît (); André, Jean-Marie (); Kirtman, Bernard (University of California, Santa Barbara)",17,0,,,,https://app.dimensions.ai/details/publication/pub.1030174001,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
136,200,pub.1058057311,10.1063/1.474337,,,Differences between the exact sum-over-states and the canonical approximation for the calculation of static and dynamic hyperpolarizabilities,The Journal of Chemical Physics,,,10/15/97,1997,107,15,5780-5787,Closed,Article,"Bishop, David M.; Kirtman, Bernard; Champagne, Benoı̂t",,"Bishop, David M. (); Kirtman, Bernard (); Champagne, Benoı̂t ()",71,4,,,,https://app.dimensions.ai/details/publication/pub.1058057311,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
137,200,pub.1058058796,10.1063/1.474892,,,"Ab initio
                    static polarizability and first hyperpolarizability of model polymethineimine chains. II. Effects of conformation and of substitution by donor/acceptor end groups",The Journal of Chemical Physics,,,1997-10,1997,107,13,5076-5087,Closed,Article,"Jacquemin, Denis; Champagne, Benoı̂t; Kirtman, Bernard",,"Jacquemin, Denis (); Champagne, Benoı̂t (); Kirtman, Bernard ()",50,1,,,,https://app.dimensions.ai/details/publication/pub.1058058796,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
138,100,pub.1020529602,10.1080/014423597230181,,,"Nonlinear optical properties of quasilinear conjugated oligomers, polymers and organic molecules",International Reviews in Physical Chemistry,,,1997-10,1997,16,4,389-420,Closed,Article,"Kirtman, Bernard; Champagne, Benoit",,"Kirtman, Bernard (); Champagne, Benoit ()",115,3,,,,https://app.dimensions.ai/details/publication/pub.1020529602,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
139,200,pub.1058057803,10.1063/1.474588,,,"Linear and nonlinear polarizabilities of polydiacetylene and polybutatriene chains: An
                    ab initio
                    coupled Hartree–Fock investigation",The Journal of Chemical Physics,,,8/15/97,1997,107,7,2463-2480,Closed,Article,"Perpète, Eric A.; Champagne, Benoı̂t; Kirtman, Bernard",,"Perpète, Eric A. (); Champagne, Benoı̂t (); Kirtman, Bernard ()",56,0,,,,https://app.dimensions.ai/details/publication/pub.1058057803,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
140,100,pub.1060585975,10.1103/physrevb.56.2273,,,Comment on “Molecular first hyperpolarizability of push-pull polyenes: Relationship between electronic and vibrational contribution by a two-state model”,Physical Review B,,,1997-07,1997,56,4,2273-2274,Closed,Article,"Bishop, David M.; Kirtman, Bernard",,"Bishop, David M. (University of Ottawa); Kirtman, Bernard (University of California, Santa Barbara)",31,0,,,,https://app.dimensions.ai/details/publication/pub.1060585975,02 Physical Sciences; 03 Chemical Sciences,02 Physical Sciences,03 Chemical Sciences,,,
141,200,pub.1056123151,10.1021/jp962751m,,,Ab Initio Coupled Hartree−Fock Investigation of the Static First Hyperpolarizability of Model all - trans -Polymethineimine Oligomers of Increasing Size,The Journal of Physical Chemistry A,,,1997-04,1997,101,17,3158-3165,Closed,Article,"Champagne, Benoît; Jacquemin, Denis; André, Jean-Marie; Kirtman, Bernard",,"Champagne, Benoît (); Jacquemin, Denis (); André, Jean-Marie (); Kirtman, Bernard ()",67,0,,,,https://app.dimensions.ai/details/publication/pub.1056123151,"0306 Physical Chemistry (incl. Structural); 0307 Theoretical and Computational Chemistry; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
142,100,pub.1019407594,10.1016/s0379-6779(97)80146-4,,,Analysis of the vibrational static and dynamic second hyperpolarizabilities of polyacetylene chains,Synthetic Metals,,,1997-03,1997,85,3-Jan,1047-1050,Closed,Article,"Champagne, Benoît; Perpète"", Éric A.; André, Jean-Marie; Kirtman, Bernard",,"Champagne, Benoît (); Perpète"", Éric A. (); André, Jean-Marie (); Kirtman, Bernard (University of California, Santa Barbara)",22,3,,,,https://app.dimensions.ai/details/publication/pub.1019407594,0204 Condensed Matter Physics; 0912 Materials Engineering; 02 Physical Sciences; 09 Engineering,0204 Condensed Matter Physics,0912 Materials Engineering,02 Physical Sciences,09 Engineering,
143,100,pub.1047504171,10.1016/s0009-2614(96)01196-7,,,Local quantum chemistry. Incorporation of pseudospectral methodology into the local space approximation,Chemical Physics Letters,,,1996-12,1996,263,2-Jan,313-316,Closed,Article,"Kirtman, Bernard; Sekino, Hideo",,"Kirtman, Bernard (University of California, Santa Barbara); Sekino, Hideo (Analatom (United States))",4,0,,,,https://app.dimensions.ai/details/publication/pub.1047504171,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
144,100,pub.1029588967,10.1016/s0301-0104(96)00262-5,,,Exploratory Pariser-Parr-Pople investigation of the static first hyperpolarizability of polymethineimine chains,Chemical Physics,,,1996-12,1996,213,3-Jan,217-228,Closed,Article,"Jacquemin, Denis; Champagne, Benoît; André, Jean-Marie; Kirtman, Bernard",,"Jacquemin, Denis (); Champagne, Benoît (); André, Jean-Marie (); Kirtman, Bernard (University of California, Santa Barbara)",14,1,,,,https://app.dimensions.ai/details/publication/pub.1029588967,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
145,200,pub.1058051046,10.1063/1.471863,,,"Ab
                    initio
                    finite oligomer method for nonlinear optical properties of conjugated polymers: Nonresonant frequency dispersion in polyacetylene",The Journal of Chemical Physics,,,1996-07,1996,105,1,186-191,Closed,Article,"Hasan, Muhammad; Kim, Seung‐Joon; Toto, Joseph L.; Kirtman, Bernard",,"Hasan, Muhammad (); Kim, Seung‐Joon (); Toto, Joseph L. (); Kirtman, Bernard ()",26,0,,,,https://app.dimensions.ai/details/publication/pub.1058051046,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
146,200,pub.1058050495,10.1063/1.471547,,,Hartree–Fock static longitudinal (hyper)polarizability of polyyne,The Journal of Chemical Physics,,,1996-06,1996,104,21,8586-8592,Closed,Article,"Toto, Joseph L.; Toto, Teressa Tangredi; de Melo, Celso P.; Kirtman, Bernard; Robins, K.",,"Toto, Joseph L. (); Toto, Teressa Tangredi (); de Melo, Celso P. (); Kirtman, Bernard (); Robins, K. ()",52,1,,,,https://app.dimensions.ai/details/publication/pub.1058050495,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
147,100,pub.1012839216,10.1016/0039-6028(95)00740-7,,,Oscillations in the energy of adsorption on metals for finite cluster models of varying size,Surface Science,,,1995-11,1995,341,2-Jan,162-171,Closed,Article,"Matos, Maria; Kirtman, Bernard","Kirtman, Bernard","Matos, Maria (Pontifical Catholic University of Rio de Janeiro); Kirtman, Bernard (University of California, Santa Barbara)",6,0,,,,https://app.dimensions.ai/details/publication/pub.1012839216,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
148,100,pub.1030907886,10.1016/0009-2614(95)00907-l,,,Ab initio finite oligomer method for nonlinear optical properties of conjugated polymers. Effect of electron correlation on the static longitudinal hyperpolarizability of polyacetylene,Chemical Physics Letters,,,1995-09,1995,244,2-Jan,59-64,Closed,Article,"Toto, Teressa Tangredi; Toto, Joseph L.; de Melo, Celso P.; Hasan, Muhammad; Kirtman, Bernard",,"Toto, Teressa Tangredi (Federal University of Pernambuco); Toto, Joseph L. (Federal University of Pernambuco); de Melo, Celso P. (Federal University of Pernambuco); Hasan, Muhammad (Kuwait University); Kirtman, Bernard (University of California, Santa Barbara)",82,0,,,,https://app.dimensions.ai/details/publication/pub.1030907886,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
149,100,pub.1039398944,10.1002/qua.560550204,,,Local quantum chemistry: The local space approximation for Møller–Plesset perturbation theory,International Journal of Quantum Chemistry,,,7/15/95,1995,55,2,103-108,Closed,Article,"Kirtman, Bernard",,"Kirtman, Bernard (University of California, Santa Barbara)",12,0,,,,https://app.dimensions.ai/details/publication/pub.1039398944,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
150,200,pub.1058047138,10.1063/1.469150,,,"Effect of vibration on the linear and nonlinear optical properties of HF and (HF)
                    2",The Journal of Chemical Physics,,,1995-05,1995,102,17,6778-6786,Closed,Article,"Bishop, David M.; Pipin, Janusz; Kirtman, Bernard",,"Bishop, David M. (); Pipin, Janusz (); Kirtman, Bernard ()",43,0,,,,https://app.dimensions.ai/details/publication/pub.1058047138,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
151,200,pub.1058047250,10.1063/1.469262,,,"Ab initio
                    finite oligomer method for nonlinear optical properties of conjugated polymers. Hartree–Fock static longitudinal hyperpolarizability of polyacetylene",The Journal of Chemical Physics,,,1995-04,1995,102,13,5350-5356,Closed,Article,"Kirtman, Bernard; Toto, Joseph L.; Robins, Kathleen A.; Hasan, Muhammad",,"Kirtman, Bernard (); Toto, Joseph L. (); Robins, Kathleen A. (); Hasan, Muhammad ()",87,0,,,,https://app.dimensions.ai/details/publication/pub.1058047250,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
152,100,pub.1050301417,10.1016/0379-6779(94)03008-t,,,Alternative electrostatic potential formalism for the polarizabilities of long finite chains of conjugated polymers,Synthetic Metals,,,1995-04,1995,71,3-Jan,1695-1696,Closed,Article,"Fonseca, T.L.; de Melo, C.P.; Kirtman, B.",,"Fonseca, T.L. (Federal University of Pernambuco); de Melo, C.P. (Federal University of Pernambuco); Kirtman, B. ()",2,0,,,,https://app.dimensions.ai/details/publication/pub.1050301417,0204 Condensed Matter Physics; 0912 Materials Engineering; 02 Physical Sciences; 09 Engineering,0204 Condensed Matter Physics,0912 Materials Engineering,02 Physical Sciences,09 Engineering,
153,100,pub.1033404870,10.1016/0379-6779(94)02998-e,,,Ab Initio nonlinear optical properties of polyacetylene from finite oligomer calculations,Synthetic Metals,,,1995-04,1995,71,3-Jan,1671-1674,Closed,Article,"Robins, K.A.; Kim, S-J.; Toto, J.L.; Hasan, M.; Toto, T.T.; de Melo, C.P.; Kirtman, B.",,"Robins, K.A. (University of Nevada, Las Vegas); Kim, S-J. (University of California, Santa Barbara); Toto, J.L. (Federal University of Pernambuco); Hasan, M. (Kuwait University); Toto, T.T. (Federal University of Pernambuco); de Melo, C.P. (Federal University of Pernambuco); Kirtman, B. (University of California, Santa Barbara)",7,0,,,,https://app.dimensions.ai/details/publication/pub.1033404870,0204 Condensed Matter Physics; 0912 Materials Engineering; 02 Physical Sciences; 09 Engineering,0204 Condensed Matter Physics,0912 Materials Engineering,02 Physical Sciences,09 Engineering,
154,100,pub.1003366118,10.1039/ft9959101641,,,Static vibrational polarizability of all- trans polyethylene and polysilane,Physical Chemistry Chemical Physics,,,1995,1995,91,11,1641-1646,Closed,Article,"Champagne, Benoît; Perpète, Éric; André, Jean-Marie; Kirtman, Bernard",,"Champagne, Benoît (); Perpète, Éric (); André, Jean-Marie (); Kirtman, Bernard ()",18,0,,,,https://app.dimensions.ai/details/publication/pub.1003366118,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
155,200,pub.1055652257,10.1021/j100085a016,,,"Transition State for 1,2 Hydrogen Halide Elimination from Ethyl Halides",The Journal of Physical Chemistry,,,1994-08,1994,98,34,8359-8370,Closed,Article,"Toto, Joseph L.; Pritchard, Glyn O.; Kirtman, Bernard",,"Toto, Joseph L. (); Pritchard, Glyn O. (); Kirtman, Bernard ()",20,0,,,,https://app.dimensions.ai/details/publication/pub.1055652257,,,,,,
156,100,pub.1093308093,10.1109/stsm.1994.836119,,,Ab-initio nonlinear optical properties of finite polyacetylene oligomers,,International Conference on Science and Technology of Synthetic Metals,,1994,1994,,,685-685,Closed,Proceeding,"Robins, K.A.; Kim, S.-J.; Toto, J.L.; Hasan, M.; Toto, T.T.; de Melo, C.P.; Kirtman, B.",,"Robins, K.A. (University of California System); Kim, S.-J. (); Toto, J.L. (); Hasan, M. (); Toto, T.T. (); de Melo, C.P. (); Kirtman, B. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1093308093,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
157,200,pub.1058043829,10.1063/1.465821,,,"Local quantum chemistry. Implementation of the local space approximation at the
                    ab
                    initio
                    Hartree–Fock level",The Journal of Chemical Physics,,,1993-11,1993,99,9,6777-6786,Closed,Article,"Robins, Kathleen A.; Kirtman, Bernard",,"Robins, Kathleen A. (); Kirtman, Bernard ()",16,0,,,,https://app.dimensions.ai/details/publication/pub.1058043829,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
158,100,pub.1003381082,10.1002/qua.560430113,,,Nonlinear optical properties of conjugated polymers from ab initio finite oligomer calculations,International Journal of Quantum Chemistry,,,7/5/92,1992,43,1,147-158,Closed,Article,"Kirtman, Bernard",,"Kirtman, Bernard (University of California, Santa Barbara)",38,0,,,,https://app.dimensions.ai/details/publication/pub.1003381082,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
159,100,pub.1029184296,10.1016/0009-2614(92)85459-n,,,Absorption spectra and electronic properties of alkali-metal-doped C60,Chemical Physics Letters,,,1992-05,1992,192,3-Feb,243-248,"All OA; Green, Accepted & Submitted",Article,"Srdanov, V.I.; Saab, A.P.; Margolese, D.; Poolman, E.; Khemani, K.C.; Koch, A.; Wudl, F.; Kirtman, B.; Stucky, G.D.",,"Srdanov, V.I. (University of California, Santa Barbara); Saab, A.P. (University of California, Santa Barbara); Margolese, D. (University of California, Santa Barbara); Poolman, E. (University of California, Santa Barbara); Khemani, K.C. (University of California, Santa Barbara); Koch, A. (University of California, Santa Barbara); Wudl, F. (University of California, Santa Barbara); Kirtman, B. (University of California, Santa Barbara); Stucky, G.D. (University of California, Santa Barbara)",22,2,,,http://www.dtic.mil/cgi-bin/GetTRDoc?AD=ADA251006&Location=U2&doc=GetTRDoc.pdf,https://app.dimensions.ai/details/publication/pub.1029184296,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
160,200,pub.1058039355,10.1063/1.461344,,,"Solitons in polyacetylene: Magnetic hyperfine constants from
                    a
                    b
                    i
                    n
                    i
                    t
                    i
                    o
                    calculations",The Journal of Chemical Physics,,,11/15/91,1991,95,10,7698-7716,Closed,Article,"Kirtman, Bernard; Hasan, Muhammad; Chipman, Daniel M.",,"Kirtman, Bernard (); Hasan, Muhammad (); Chipman, Daniel M. ()",14,0,,,,https://app.dimensions.ai/details/publication/pub.1058039355,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
161,100,pub.1001904264,10.1002/ijch.199100035,,,Single‐Reference Coupled‐Cluster Calculations of the Triplet Ground‐State O2 Dissociation Potential,Israel Journal of Chemistry,,,1991,1991,31,4,303-309,Closed,Article,"Cole, Samuel J.; Hasan, Muhammad; Kirtman, Bernard",,"Cole, Samuel J. (University of Utah); Hasan, Muhammad (University of California, Santa Barbara); Kirtman, Bernard (University of California, Santa Barbara)",2,0,,,,https://app.dimensions.ai/details/publication/pub.1001904264,03 Chemical Sciences,03 Chemical Sciences,,,,
